page 2	社評米內的難關議會重開前之日本政局
page 3	浙東日軍大勢已去蕭山城郊在肅清中鄂北殘日增援圖作最後掙扎
page 3	蘇美報紙痛斥日汪勾結日本野心圖滅亡中國汪為私慾竟飲酖止渴
page 3	上海大雪貧民凍斃街頭一日間三百人
page 3	劉侯武今日離桂赴韶
page 3	川推廣禁政將向夷人宣傳
page 3	滬各院校聯電向蔣總裁致敬
page 3	美國反日輿論的動員
page 3	渝定期擴大舉行春禮勞軍運動各界分別組織送禮隊各長官亦將親身倡導
page 3	華北戰區慰勞視察團由李元鼎率領自渝出發
page 3	滬中美日報昨被令停刊兩星期華報宣佈自動停刊
page 3	滬海關搜獲巨量鴉片約值二百萬元
page 3	戰時人才調協會渝總站即成立辦理求才及擇業登記並將自設各種訓練班
page 3	美公路專家薛恒返美渝運輸機關設宴歡送
page 3	陳燄光余述懷捐資興學國府明令嘉獎
page 3	崑崙關戰利品將送渝展覽蔣委長對此役有功杜軍除撥款犒賞外另電嘉獎
page 3	桂省各地紛組慰勞團赴前線慰勞將士
page 3	粵北災情慘重李主席親自出巡各地並電僑胞請募款救濟
page 3	滬西問題將解決傳賭窟準備遷移南市益記總筒炸傷十餘人
page 3	判若天壤皖未淪陷區民生優裕米價較之淪陷區內每石約低十元以上
page 3	奇文英等抵渝談綏遠軍民打成一片老百姓均自動參戰包頭大勝已寒日膽
page 3	美使詹森今日離漢返滬
page 4	津日軍狂言恫嚇租界封鎖益嚴界內食品愈感缺乏對美僑亦同樣檢查
page 4	英美對遠東局勢採取平行動作歐亞戰爭並非截然兩事美以政治干涉替代中立
page 4	義方否認曾向日建議締防共新協定日被出賣猶不覺悟尚欲德國繼續防共
page 4	西慈將返蘇
page 4	暹經濟代表團二十九日抵日
page 4	達拉第廣播痛罵希特勒霸道蠻橫歷史未見法國前途絕對樂觀
page 4	日議會明日重開米內有田决定施政報告
page 4	日本大鬧煤荒工廠無電可用
page 4	民脂民膏德納粹黨經費每年九萬萬鎊
page 4	德六島嶼劃為軍區築有海機根據地
page 4	德機乘天氣昏黯猛襲英東岸英輪十艘被投彈薛特蘭島亦被炸
page 4	歐戰通訊之六法國國民製造忙由法國說到中國一月十七日巴黎航信
page 4	淺間丸事件英日談判迄無進展克萊琪今日將再晤有田
page 4	蘇機襲芬西南境城市被炸達十五處芬軍右翼戰事緊張
page 4	一片吠聲偽報主張排外
page 4	傳法在近東派有經軍駐紮目的在防德侵入巴爾幹墨索里尼與將領商防務
page 4	蘇日關係
page 4	無法配合
page 4	汪派囈語
page 5	廣州形勢緊急日軍積極增援中石岐穩定小黃圃無日蹤
page 5	上海南市的厄運日偽籌組復興委員會以賭窟烟館復興市面
page 5	粵桂我軍進展順利克復牛岡久隆
page 5	贛北前線青訓班教育紀實下
page 5	無錫大獄偽縣長遇剌後被捕者數千人
page 5	滬西花會流毒蔓延租界當局決力謀遏阻
page 6	日艦向漁船騷擾撕毀註冊牌照或予沒收漁民逃回長洲不敢出海
page 6	三院新總理下月舉行交代復函允任者已有十四名街坊人士表示無限快慰
page 6	中華青年會董事會議推出本年各部職員九龍支會設口琴班
page 6	九龍貨倉苦力公寓星期六舉行開幕禮
page 6	年貨上市年宵攤位在搭架中
page 6	星禁港貨入口羅旭龢表示關注向當局解釋廠商之困難廠商聯合遞呈本港當局
page 6	印警伊俞甸海中捕逃犯泅水而追達三百碼
page 6	本港義勇隊第二批昨開粉嶺
page 6	大夏大學本屆招生開始報名大夏大學去歲秋季在港
page 6	肉價較前倍增嘉利談原因在來源困難泰國已有大批牛豬運港
page 6	出版消息
page 6	華納鉅片錦綉河山娛樂定期獻映兩場收入捐給國際和平醫院本港各名流均踴躍購票
page 6	學生賑濟會電影籌欵請新靚就登台表演
page 6	防空處新署工程大致完竣將於三月初旬遷入辦公樓下戰時可作救傷醫院
page 6	娛樂消息
page 7	今日足球慈善賽華聯戰征滬軍下午四時一刻在加山舉行記者陸運會上午十時揭幕
page 7	農曆元旦埠際賽上海代表昨產生
page 7	越港足球賽門票預銷市道旺南華強華謀得利三處有代售欲免向隅請早到定座
page 7	仿林退出籃球聯賽
page 7	港匯市昨略趨緊日圓對港匯值低跌申匯市况依然穩定
page 7	股票市況穩定全日成交八萬餘元
page 7	八九金市依然況寂
