page 1	三中全會以後
page 2	改組政府漸具體化今中常會將有重要決定民社黨商討參加國府委會人選
page 2	國府委會改組本月內可完成彭學沛答記者問
page 2	憲法法規續審議中立院昨通過國大組織法
page 2	日本半月四通貨膨脹與黑市經濟
page 2	美國對華政策傳華府正考慮修改
page 2	清理對美債務我將同意談判
page 2	我將派連絡組赴旅大中長路理事長傳已內定陳延炯
page 2	冀省擬定清鄉計畫第一步將在平津間各縣實行
page 2	關於平市捕人何思源在京談話
page 2	王鳳喜案美方賠償一千萬元
page 2	陝北國軍進駐安塞共軍有反攻延安企圖魯西國軍繼續進展中
page 2	內政部通令查禁報刊一批
page 2	配售米麵折發差價煤斤亦可照此辦理行政院例會昨日通過
page 2	箇舊錫礦均已復工要求當局貸款維持
page 2	察綏經濟建設決定發展步驟
page 2	我照會義國修改和約須在實施之後
page 2	菲總統邀晤陳公使中菲條約將恢復談判
page 2	台南秩序恢復白崇禧返抵台北公教人員死傷損失即予救濟
page 2	台南變亂經過防衛司令部發表
page 2	戴笠公葬典禮定今日在京舉行蔣主席將親自主持
page 3	延長英蘇同盟貝文與史達林晤談馬歇爾建議減少德境佔領軍法國提出對德問題詳細計劃
page 3	外次討論對奧和約古塞夫對數項次要問題讓步奧境德國資產問題未獲協議
page 3	重訪英倫之七訪堪村話農業
page 3	美援韓計畫國務院不久將提交國會
page 3	美菲軍事援助昨已開始談判
page 3	七國賠償代表應麥帥邀赴日
page 3	鼓勵日本出口貿易威脅英人生活水準英工黨一議員不滿美國
page 3	印尼獨立協定昨在巴達維亞簽字
page 3	塞浦魯斯島問題英不滿美國慷他人之慨美國務院謂非最後聲明
page 3	巴拉圭內戰益熾革命軍向京城推進
page 3	比總理演說主張英美蘇諒解
page 3	泛亞會議分組開會一組討論殖民經濟轉變問題
page 3	美國務院發表國際會議祕密協議美蘇協議德賠款二百億半數歸蘇各國與土開談判修正蒙特婁公約
page 3	克里米亞會議重要附文二件
page 3	美一議員提貸款條件租用希土基地在商業上兩國亦應向美讓步陸海兩長陳述援助希土意見
page 3	維琪國務部長旭丹判處死刑
page 3	聯合國永久會址昨舉行接受儀式
page 3	麥帥總部發言人稱日本須追隨美國向共產主義作戰
page 3	柏林會議未公佈部份
page 3	美電話工人總罷工投票決定四月七日起實行要求每週增加工資十二元
page 3	胡志明重申越盟要求
page 3	德黑蘭會議軍事結論
page 4	公教人員配售實物價格業經規定公布
page 4	木漿機件供應困難造紙業前途多窒礙紙業中人昨對記者談話
page 4	物價不受管制區域工資可以評議評議委會組織公布
page 4	女工四百餘人昨至社局請願要求樂華煙廠收回開除工人
page 4	滬市失業工人總數二十五萬
page 4	行總停發麵粉失業工人恐慌
page 4	商務工潮底薪折扣起點資方允加一元
page 4	益友社今日開始徵募運動目標定國幣一億元
page 4	中英文協滬分會二屆年會
page 4	全國航運空模型比賽上海代表業已產生四月四五兩日在京舉行
page 4	體協會員大會定下月十九日舉行
page 4	少女擺蛋攤無賴搶耳環夏斌　崗警追獲
page 4	清寒學生貸金月底截止申請
page 4	教局訂定辦法積極掃除文盲
page 4	美大學生四名在華研究國畫
page 4	捲煙業貨物稅三月廿六日起調整
page 4	利息所得稅非金融機關借貸者稅局昨發公函催繳
page 4	銀樓業代表謁市當局請示復業辦法希望供求不平衡時有所補救
page 4	毛紡羊毛分配會明日會議輸入原料不足請求放寬
