page 2	松岡的打擊
page 3	嶺東日軍西犯揭陽我軍正奮勇堵剿中贛北日師團長大賀被我擊斃
page 3	蘇浙邊境我軍殲日經過日軍萬餘分三路犯長興苦戰半旬日方全線崩潰軍事觀空家談日軍兩種企圖失敗
page 3	蔣委員長悼韓國鈞氏將請國府予以表表揚
page 3	粵優待抗屬准八折付舟車費用省行將設長沙分行
page 3	蘇日談話完全無結果松岡昨日赴羅馬
page 3	松岡談話大言不慚謂日尚能作戰十年
page 3	德注重南政變對松岡轉冷淡
page 3	英國的戰爭經濟一二月十四日倫敦航訊
page 3	蘇聯紅星報論中日戰局日軍企圖着着失敗我空軍數量已大增
page 3	不是戰國時代的重演而是人類解放時代之來臨二
page 3	高斯返抵美京即將來華履新
page 3	鎢砂第三批抵美
page 3	發展驛運川湘鄂驛運網即完成
page 3	美艦長駐南太平洋對日將發生大影響南國之政變使日躊躇不敢輕於進犯新加坡
page 3	桂省農貸共約三千四百萬
page 3	滬德貨船偷駛出口日驅逐艦予以接應
page 3	銅陵縣民七人為國捐生皖省府予以撫卹
page 3	川各界開會紀念黃花節遙祭七十二烈士
page 3	重光葵在英為德辦情報英少校予以揭發
page 3	廢除苛雜粵規定兩項標準飭各縣遵照施行
page 3	郭大使演講讚揚美租借法案闡述我抗戰決心
page 3	滬中農各行定明日復業
page 3	推行新縣制縣鄉鎮代表候選人由考選會常期檢試
page 3	滬一汪卒被狙重傷
page 4	南國恢復榮譽蘇聯致電慶賀德南關係益見緊張南內部謀加緊團結
page 4	南都秩序尚平靜
page 4	德對南加緊厭迫
page 4	東地中海海戰結果義艦四艘被擊重傷
page 4	西南太平洋的反侵略陣線一吳逸生三月十六日新加坡航訊
page 4	聚利亞法軍槍殺土人各地曾舉行示威要求取得自治權
page 4	美海岸防軍接管留美義輪防止義人自行破壞
page 4	美總統廣播促人民團結時代需要美國更多行動人民必須作更大之努力
page 4	南國京城傳出怪消息義大利發生革命墨索里尼已被殺
page 4	美國工潮有擴大勢
page 4	澳兵源充足加緊訓練空軍擴大募兵制度
page 4	德在挪威嚴刑峻法規定死刑罪名多種嚴懲挪人反德親英
page 4	愛爾蘭糧食短缺今年若告失收將有饑荒之虞
page 4	李察森調海軍總部任職
page 4	東非各線英軍活躍阿境義軍已成弩末
page 4	倍文演說人人務必生產
page 4	加羅爾情婦產業被政府沒收共值羅幣一萬萬
page 4	松岡囈語
page 4	為富不仁身陷囹圄紐約唐人街火案房東將被判有罪
page 5	粵北雨水均預防春耕旱患加緊修築塘井限四月底完成妥備旱物種籽厲行推廣山禾
page 5	川東工合運動迅速開展中改良技術指導精益求精增加產量爭取外匯
page 5	西康日記二五六第十三編永寧麗江途中
page 5	東戰場我大軍向滬郊推進各路已取得密切聯繫先後收復各重要據點
page 5	廣東省府會議公務員補助費續給三個月李則謀調五華會樞長和平
page 5	日方謠言不攻自破張國利談赴渝經過
page 5	蔣委員長稿賞閩省傷病官兵並附慰勞書以資激勵
page 6	華聯隊十人應戰西聯獲得勝利四經二侯律花利亞阜拉立功陳德輝傷肘影響大局
page 6	曾仲雲等昨晨赴菲
page 6	足球總會今日調整賽程
page 6	滬足球三傑名位表續完
page 6	恩德杯排球賽培英智取英皇三比一勝來未見費力
page 6	東山大勝崑乙崑崙甲二比一擒西園園志雄隊一比一戰和南強
page 6	仿林校友球隊清明征澳蘇炳漢領隊仿林校友會乘清明假之
page 6	禺北籃球打勝旋風
page 6	秩序編定今晚有兩場
page 7	政府推出存米後米價仍未見下跌米商希望當局盡量推出多方取巧黑市情形如故
page 7	港韶交通新線旅費最低約國幣三百元四種交通工具需十餘日
page 7	藝術界獻機運動昨推出各組委員聘社會名流任財務委員積極進行定六月底結束
page 7	移民局調查委會收到稱讚信三封二十九日開庭時曾宣讀
page 7	鍾聲救護隊奉令成立派赴惠州永湖官村
page 7	關德興日內返港將攜來金雞納霜十萬顆在菲義演籌得三十萬元
page 7	鯊魚淡築路工人毆斃督工日軍百餘人由工頭率領逃遁日軍多患疫病死亡相繼
page 7	歌詠比賽報名展期初賽決賽日期照舊
page 7	勞大同學四月一日聚餐
page 7	公共圖書館開始過遷移後備察遷入團辦公圖書暫存九龍英童書院遠東情報局遷往交易行
page 7	香港扶輪社賣旗籌款成績已收入一萬二千餘元胡惠德特向各界致謝
page 7	霍亂傳染勢似轉疲三月來共死三百零三人共計發生五百五十九宗
page 7	飛天老鼠失手被擒懷中搜出當票百張起贜物召認失主
page 7	西施擬運美義演
page 7	職業工會昨召開全體大會請求當局清糞暫緩官辦定今日派代表謁見嘉利
page 7	糧食統制當局昨發出油豆暫行入口證入口油豆須先存入公倉並與政府　貯者作交換
page 7	兒童音樂會昨日舉行歸不得故鄉一曲令聽眾為之淚下
