page 2	社評今後的粵局
page 3	中央最高軍事會議華南戰局有新決定某戰略家擔任副司令長官粵省府將改組人選已內定
page 3	東莞有戰事Ｘ軍損失慘重現已潰退新塘
page 3	英艦抵省載到婦孺十二人
page 3	Ｘ機炸連縣醫院附近落彈湘贛亦遭空襲
page 3	武漢Ｘ軍ＸＸ民眾無辜被捕市面空氣緊張
page 3	贊皇Ｘ軍潰滅晉境我軍屢獲勝利
page 3	英帝國外交兩個根本原則
page 3	川滇公路黔段定期通車
page 3	平漢我軍反攻長台關
page 3	陳光甫赴紐約中美貨幣談判告一段落信用借款談判尚未結束
page 3	贛北我軍襲擊Ｘ運輸站
page 3	日拒絕開放長江英美法三國駐日大使晉謁有田抗議無結果
page 3	對華貿易問題英應採強硬態度聶柯森投函泰晤士報勿任日單獨開發中國
page 3	渝蘇使館衛士誤傷身死
page 3	華北各省民眾組救亡團體電蔣委員長致敬決擁護抗戰到底
page 3	滬杭Ｘ軍疊遭我軍重創
page 3	將士衣單公務員捐薪情形極踴躍
page 3	英使離湘赴渝在長沙晤蔣委員長交換中英關係意見
page 3	Ｘ艦追我漁船
page 3	Ｘ巨型客機在九州試飛失事
page 3	黃水委會移陝辦公廿七年度工程業已完成三項
page 3	立院開會討論警校條例案
page 4	英政府重視中國海關完整已促日政府充分明瞭外次答覆保守黨質問
page 4	艾登發表警告呼籲整飭軍備
page 4	首相將訪法國討論國際時局
page 4	伍德爵士報告擴充空軍情形
page 4	麥克唐納演講巴勒斯丁問題
page 4	英王夫婦明年赴加日期將在五月中旬
page 4	美改選結果民主黨優勝共和黨增七十九席對遠東政策不變
page 4	日將答復美牒聲明退出九國公約堀內決於月終提前赴美企圖調整美日兩國邦交
page 4	溫莎公爵傳將飛返倫敦
page 4	義皇壽辰羅馬大舉慶祝
page 4	休戰紀念英王向紀念碑致祭美國熱烈慶祝
page 4	土耳其總統殷紐魯繼任各政黨一致擁護凱末爾殯儀定期舉行
page 4	黔省實業抗戰一大動力
page 4	大地作者柏克夫人獲得諾貝爾文學獎金義青年獲物理學獎金
page 4	近衛擬實施全部總動員法因感經濟窘迫日甚Ｘ閥積極整頓海運
page 4	英美商務協定傳已簽字英國官方即將宣佈
page 4	阿魯辛島附近發生地震昨午後第一次震動
page 4	拉資殞命後排猶風復熾搗毀商店拘捕猶人德宣傳部主持其事
page 4	猶阿糾紛將舉行共同商討
page 4	Ｘ人愈窘困了
page 4	美日邦交無法調整
page 5	福建培育佐治人員陸續開班加緊訓練縣政人員明年一月調訓警官訓練所三期將畢業保安幹部十二月初開學
page 5	漢口外籍記者十七人飛返滬
page 5	河口佛山陷落記Ｘ軍兵力甚少全係騷優性質我方缺點尚多否則不難收復
page 5	川軍抗戰九日舉行週年紀念
page 5	由省抵港某西人談廣州現狀兩日前近郊無戰事市內漢奸歹徒橫行
page 5	中山九區自衛團收復潭洲縣府民眾派員慰勞
page 5	許世英關心避澳難民
page 5	澳門紀念和平
page 5	廣州灣物價騰貴
page 5	福州疏散難民
page 6	本港親聞歐戰和平廿週年昨擧行隆重紀念港督軍政長官皇像前獻花華人紀念碑下僑團參加行禮
page 6	英駐華海軍司令赴廣州巡視巴炳頓荷露談港航空設備消防隊大會操十七日舉行
page 6	慧星小輪今晨返省
page 6	婦女聯會紀念總理誕辰今晨在女青年會
page 6	振委會派何崇傑
page 6	本港播音事業發達
page 6	鑛務專員建議開發本港鑛藏新界鑛產計有銀鉛鐵錳等政府應頒佈探鑛統制法例
page 6	港昨晨地震受倫敦劇震影響
page 6	省港輪船航行計劃各公司開會商討省輪昨晚未抵港
page 6	經濟部將頒新法令嚴密統制產品外輸包括織物原料茶糖藥材農產進出口亦予以管制
page 6	尖沙咀渡輪撞沉小艇十四人均墜海尚幸全數救起
page 7	近萬迷民眼花撩亂爭看文員勝軍聯李惠堂單騎退敵兩腳定天山洋門將出神入化保持二比一
page 7	今日甲組足球聯賽南華南戰香港會光華會出擊警察隊
page 7	學界籃球今日共有四塲
page 7	今天足球共十三場
page 7	勃琪正式下海
page 7	九龍小球賽
page 7	陸運大會昨晨開幕各組競爭劇烈余啟恩能跑善跳大有苗頭朱教新老當益壯低欄稱霸
page 7	收入激增支出銳減國際收支漸趨平衡統制外匯穩定幣值均已收效金融調整抗戰前途愈見光明
page 7	錫市扶搖直上來源困難售價日昂
page 7	生油奇漲澳門商人暢購轉運粵省戰區
page 7	統丁玉萍公債在滬抽籤還本
page 7	堅強抗戰鞏固基礎政府確立經濟防線
