page 2	歐洲與遠東
page 3	我軍連日進攻晉城沁縣附近在激戰中冀南我軍繼續進行反掃蕩清豐濮陽克復後進迫內黃
page 3	一週戰況八月八日至十四日軍事委員會發表
page 3	我的和平下
page 3	Ｘ機分批襲桂
page 3	文匯報出版執照吊銷汪派大為沮喪
page 3	鄧錫侯出巡畢返省
page 3	滬特區法院Ｘ方圖接收法總領已拒絕
page 3	粵省將士嚴斥汪逆全省將動員鋤奸
page 3	北路慰勞團離鄂赴豫轉陝
page 3	滬兩租界撤除戒備
page 3	外滙黑市之長期穩定對策一
page 3	行政院會議定孔子誕辰為教師節余井塘繼任教部常次
page 3	蒙偽邊境戰事繼續進行蘇蒙機發揮威力
page 3	摑頰與道歉津Ｘ對美僑之態度
page 3	天津水災將極度惡化
page 3	美國務部考慮禁原料運日副國務卿韋爾士否認美被邀參加國際會議
page 3	Ｘ對歐政策有田擬定原則將再召開五相會議通過
page 3	嶺大慰勞團向余漢謀獻旗
page 4	英否認考慮交出存銀東京談判擱淺郭大使再訪英外部促注意引渡案反感
page 4	歐洲兵力估計民主軸心勢均力敵蘇聯紅軍舉足重輕
page 4	歐洲外交活躍局勢將有新開展和平希望不絕如縷斯洛伐克醞釀復土
page 4	戰時的安徽五
page 4	瑞典外長演說武器可解決戰爭但不能解決和平
page 4	救世軍領袖年老告退繼任人物選舉中
page 4	溫哥華僑胞愛國情殷反對運廢鐵赴日本包圍輪船卒獲勝利
page 4	波重申態度決不受威脅
page 4	傳羅馬教廷將出面調停
page 4	義報表面上支持德要求
page 4	火車慘劇南太平洋鐵路被破壞列車出軌死傷百餘人
page 4	捷克排猶當局頒布命令剝脫猶人權利
page 4	西班牙新閣今日開會決定建國大計
page 4	邱吉爾抵法參觀馬奇諾防線
page 4	英駐日使館武官將易人麥拉萊十月履新
page 4	英法軍事當局將舉行會議下週在新加坡舉行
page 4	渝市黨部歡迎桂慰問團
page 4	有田折衷案
page 4	粵省之正氣
page 4	港渝港菲通話
page 4	三國軍事談話英接獲報告政府將發新訓令俾得有迅速進步
page 5	軍事當局計劃三路反攻廣州北路我軍已迫近江村
page 5	Ｘ機狂炸興寧城內起大火投彈八十枚幾盡成焦土豐順留隍死傷亦極慘重
page 5	惠陽沿海發現大批Ｘ艦Ｘ軍增援石龍企圖蠢動
page 5	江門會城前晚發生火警我斃Ｘ十餘人
page 5	克復區域內偽鈔處理辦法限人民七日內自動呈繳
page 5	粵教育學院招考公費生
page 5	從七七到八一三
page 5	粵省各縣早造豐收米荒期平安渡過
page 6	港渝港菲無線電話昨舉行通話典禮港督與孔院長互相致賀本報經理與渝分館通話
page 6	顏惠慶昨抵港將赴加出席太平洋學會提案與代表名單即決定
page 6	用戶通話今日開始
page 6	燈火管制之夜違例者共四宗事屬初犯法官從輕處罰三宗各罰二元一宗了結
page 6	聖約翰教授伊理過港該校同學今晚歡宴地點在華商俱樂部
page 6	周爵紳賀市長通話
page 6	千里相隔談如對坐
page 6	商會一號獻金台展期三日結束一日人在中華公司獻金小販義賣昨分四區舉行
page 6	軍分校招生明日開始報名周雍能進行組織考委會檢驗體格後廿三日考試
page 7	公開棒球已結束國際賽週末舉行
page 7	雙打人村缺乏美將喪失台杯
page 7	新紀錄
page 7	老惠　鴻
page 7	域多利會所重建問題昨日遭否決
page 7	夏令籃球虹虹打勝仗
page 7	三椿事
page 7	德權鼎小球月星出兵國民上陣迎抗
page 7	港游泳錦標賽泰羅短泳稱雄女背泳僅得五人參加
page 7	荷匯牌價縮一咽英美匯市仍穩靜申匯續趨好轉銀行較少拋出
page 7	英金微跌英銀再漲
page 7	股票微露生氣賣戶態度轉強不再遷就今日成交共十三萬餘元
page 7	八九金市仍屬堅穩買賣猶少價格略緊
