page 1	社評辦清一個問題國民大會並不等於人民
page 2	國大會期延長十天憲草停止廣泛討論
page 2	彭學沛答問國府政院即將改組可望有各黨派及無黨派參加
page 2	憲法與財政經濟下
page 2	憲草今起分組審查
page 2	國大花絮
page 2	深圳事件向英方交涉中我暫不作表示
page 2	胡適侃侃答記者憲草顧到了全國人民意見預料國大不致有根本修正
page 2	建都君擇何處我有權不奉告
page 2	蘇北又成拉鋸戰延安方面承認退出冀南濮陽
page 2	中共態度
page 2	絕不組黨志在學術獨立評論獨立難
page 2	和談能否再開張厲生說不致立即恢復
page 2	英報評我局勢
page 2	李宗仁辭職不確
page 2	代表資格審查昨日分組舉行
page 2	駐滬美軍在遞減中美艦曾運物資赴大連柯克昨招待記者談話
page 2	軍調部冷冷清清美記者稱之為臥佛寺職員讀英文開演講會
page 2	北平攤販問題當局審慎辦理
page 2	冀省徵糧冀東未開徵
page 2	吳鐵城昨歡宴國大邊疆代表
page 2	瀋陽軍紀需整飭影院被打大車被抓趙家驤談決心整飭
page 3	印度僵局難望打開印回領袖都不願讓步艾德禮的折衝可能是失敗了
page 3	倫敦隨筆
page 3	英關心印國防將保留喀喇嗤海空基地
page 3	法政局搖擺不定社會黨議員不支持共黨陶雷士爭取總理失敗了
page 3	英蘇商務談判即可成立協定
page 3	爭執的焦點回聯堅持組織省集團不受中央政府的統轄
page 3	麻醉品委會通過我建議
page 3	聯合國會址仍在爭辯中
page 3	我對弗朗哥態度贊同美不干涉之建議顧維鈞在政委會表明
page 3	裁軍問題漸開朗蘇贊同美建議作討論基礎對管制軍備不使用否決權
page 3	英美軍器標準共同化原則已商妥
page 3	日捕鯨隊出發英美等國均極重視
page 3	希正式請求安理會調查邊境上的糾紛
page 3	澳洲與美國訂航空協定
page 3	日本與外國往來須由盟軍總部轉達
page 3	在日台胞不被看作外國人
page 3	美工潮案判決路易士罰鍰一萬美元礦工聯會也判罰鉅款
page 3	韓南美軍責惡毒份子傷害上韓國
page 3	建都問題
page 3	伊朗政府軍傳開進亞省
page 3	美明年度經濟專家們多數預料將趨衰落樂觀派則稱有防止的機構
page 3	本月九日月蝕
page 3	錢玄同之子研究放射學在法獲獎金
page 3	豐慶輪上越人與華僑衝突
page 3	中美農業考察團向我提十項建議
page 4	行總物資售資委會價值七百餘萬美金價款以美金計算三年內付清合同已呈政院備案昨日公布
page 4	沈克搖身一變昨在美軍法庭充證人
page 4	茅盾夫婦昨啟程赴蘇
page 4	商店已成驚弓之鳥一聲玻璃碎一片打烊聲
page 4	方處長等慰問受傷長警
page 4	攤販事件嫌疑犯又有十五名送警備部
page 4	警察呼冤待遇菲薄還遭誹謗
page 4	行總協助工廠復興將以一部物資售與公私廠家
page 4	本市昨日集會紀念武訓一○八週誕辰欒仙渠捐資籌創武訓學校武訓傳將出中英對照本
page 4	二批敵屋今日招標定於十二日開標
page 4	中央航空公司京滬加班飛航
page 4	國際經濟協會舉行座談會
page 4	教員的喜訊教局撥五億元津貼
page 4	國立上海音專校舍依舊被駐軍所佔領上課問題發生嚴重困難
page 4	菲黑白籃球隊最後一批離滬蕭華陀定十一日返菲
page 4	擊大學籃球聯賽本月十二日起開始報名分男女兩組廿二日揭幕
page 4	怪胎昨施手術肉球割去女嬰健在
page 4	勒索袁雪芬宋炎華判刑
page 4	莊志國通姦案和解未成劉慧玲又要慰藉金
