page 2	社評遠東歷史之新頁
page 3	中美友誼深厚之又一表證兩外交當局換函保證建立互惠關係美國決全部廢棄不平等條約
page 3	慷慨從戎英德縣民江錫炎君申請准予提前入營
page 3	何部長發表談話縱論國際大勢我與英美命運業經聯擊一起美援華程度大體上頗為滿意
page 3	泰報駁斥日方造謠
page 3	泰代表在星商購煤談判甚為順利
page 3	未曾主張解散第十八集團軍
page 3	倫敦金融界對法幣信念堅定日迫令淪陷區人民停止使用想盡抵制方法始終未獲成功
page 3	日圓走投無路日政府與銀行界訂協定謀鞏固日圓對英鎊匯率倫敦取觀望態度
page 3	蒙古和碩親王安抵陪都晉謁總裁致敬
page 3	日機襲渝彈落江北工業區美醫院亦被炸毀
page 3	美派員赴馬尼拉磋商輸出領證制菲擬向美購買超齡軍艦
page 3	滬日軍汽車駛入美防區載有可疑包件日竟拒絕檢查
page 3	東江戰事甫結束西江形勢又轉緊福州西北我克復大湖中條山反攻極為得手
page 3	各省經濟建設實況仍着重於民生工業
page 3	荷印實施限制旅行
page 4	英伊戰事結束成立休戰協定德機已由伊境撤退
page 4	克里特英軍集中南部海岸德轟炸機加緊壓迫軍事形勢愈趨暗淡
page 4	美新主力艦南達哥大號將下水
page 4	達蘭公開主張德法合作認為乃法國生存之保障軸心利用敘利亞美極表關切
page 4	達蘭指斥英國轟炸突尼西亞
page 4	希斯奔英餘波挪威德海軍總司令自殺傳因希斯奔英影響所致
page 4	德炸南愛京城災區範圍遼闊
page 4	英國宣布實行憑券購買衣料一年內男子限購衣服兩套女子購買衣料亦祗限六件
page 4	英人三十萬開始登記英人服兵役者已達五百餘萬
page 4	魏南返美使命重大傳攜有國際爆炸性報告曾與總統用電話作長談
page 4	全美民眾擁護總統措施白宮收到函電甚多贊成施行緊急命令
page 4	羅馬教皇將作兩項宣言撰公禱文呼籲世界和平廣播演辭述前教皇言行
page 4	安第瓜島協定英美經已簽署
page 4	美逐漸統制物資以推進國防政府宣布優先使用銅類委出專員統籌油類供應
page 4	下年度美國防費用將增至五百萬萬元
page 4	英海軍繼續搜索德國萬噸巡艦英海長發表談話
page 4	鳥露圭學生反軸心示威
page 4	美航委會表示將再徵用商輪
page 4	何部長談話
page 4	加羅爾對記者談話希望不致使人生厭讀美古巴環境優良
page 5	惠博光復後積極辦理善後中央散振人員抵惠辦急振惠陽被縱火焚燒損失慘重
page 5	瓊崖日軍騷擾民眾紛紛逃避最近冒險渡海者為數甚多
page 5	振濟合浦北高災民
page 5	高雷區開中教研會
page 5	遂溪公耕推動民運
page 5	桂省合作事業發展異常迅速全省擁有社員五十八萬餘人
page 5	桂省各地組檢疫所本月起開始工作
page 5	粵省推行夏令衛生南路一帶鼠疫積極進行撲滅
page 5	委座飭各部隊協助農民耕作依照當地季節發揮自動精神
page 6	警察司對記者暢談整頓港警政計劃煙賭情形猖獗駭人聽聞標本兼治計劃在草擬中
page 6	全港三百餘工廠響應勸募戰債教團明日舉行出發典禮紅磡居民募債進行積極
page 6	荔枝角青年會游水棚蘇炳輝昨溺斃獨自下水突發生心臟病浸在水內多時始被發覺
page 6	青年會少年夏令營定八月十六日開始露營昨日舉行會議進行籌備
page 6	青年會服務團舉行授旗禮今日在青年會禮堂港粵基督教青年會隨軍
page 6	紀念孔子誕我當局頒布辦法秩序
page 6	港存米極充足足供全港人口六月之需憑證購辦官米三日開始
page 6	公平糶米委員會積極籌設大飯堂擬採用無煙油爐煮飯
page 6	大量柴薪陸續運港柴價可望回跌
page 6	開發大嶼山計劃經費過大當局未能接納醫務總監擬用私人資本
page 6	升學問題青年會舉行討論會
page 6	兒童教養會捐款兩次結束總計港幣八萬三千餘元
page 6	夏季大馬票今日開彩首獎約可得十萬元所銷票數較去年為少根據爛頭島讓賽派獎
page 6	九龍保衛團昨晚首次出勤在上海街及彌敦道兩處其餘街道短期內可成立
page 6	香烟增價已醞釀成熟
page 6	衞生局擬令各屋主每層樓厠所奉通告後六個月內完成目的係欲促進公共衞生
page 7	愛殊和不堪一擊港啤輕取勝利十比一最後一局中連取五分香港隊十三比五贏南華
page 7	太古體育會十年前由職工合級而成現正籌劃改建會址發展會務
page 7	南華隊再傳捷報大勝雪蘭峨結果三比零李惠堂獨取兩關士氣百倍僑胞騰歡
page 7	華仁陸運會成績美滿
page 7	星洲男女籃球聯軍陣容檢討
page 7	東星奏捷四比二勝南岸
page 7	華人二百接力泳星島創新紀錄一分五十七秒打破全國何惠瓊百米泳粉碎舊賬
