page 2	社評湘北大捷與日本醜態
page 3	智謀軍死傷約達八萬汨羅江上屍體壅塞我軍仍加緊圍殲擴在戰果各地祝捷會紛紛熱烈舉行
page 3	殲敵奪路北潰經我節節堵擊
page 3	我在湘北大勝國際間極重視
page 3	湘北大捷舉國騰歡各方電薛長官祝賀粵各界組勞軍團赴前線慰勞
page 3	古巴定期舉行一碗飯運動
page 3	振會增撥鉅款辦理湘北急振
page 3	格拉第昨抵陪都美援華大會盛大舉行威爾基等均參加演說
page 3	德夫古柏飛往印度
page 3	滬第一富孀羅迦陵逝世
page 3	日承認湘北大敗影響美日談話諾克斯演講警告日本
page 3	陝北各界公祭季鸞先生榆林全城下半旗誌哀
page 3	美參議員提案調查日僑活動
page 3	普法姆飛抵菲島出席重要會議擴大援華為主要任務
page 3	日人反戰同盟節約獻金中央會予嘉獎
page 3	荷印以煤油輸蘇日作虛聲恫嚇認此舉為不友誼行動
page 3	敵潛艇一艘在九州沉沒
page 3	國民參政會駐會委員會聽取軍事外交報告
page 3	桂桐油增產令各縣選購桐子
page 3	河內我領館被劫維希表示歉意電令越督切實保護華僑
page 3	國民身份證制蔣委長手令渝市實行
page 4	列寧格勒以南蘇軍大舉反攻又克復重要據點數處
page 4	從蘇聯內部說到蘇德戰事四在中國文化協進會講辭
page 4	甘地氏生辰全印舉行慶祝
page 4	前普拉格市長又被處死刑德國秘密警察到處捕人捷人慘遭厭迫自殺風盛
page 4	澳總理辭職工黨領袖寇丁組閣
page 4	三國會議人代表簽署備忘錄其中包括六委會最後方案
page 4	高爾將軍演說法人意志齊一除甘心投降者外萬眾一心誓恢復獨立主權完整領土
page 4	兩個顯明對照英國糧食日形充裕德國衣料一再限制
page 4	英德交換俘虜海峽將暫休戰
page 4	希特勒將廣播
page 4	義民心乘離對政府存消極譏刺態度人民生活陷於悲慘境遇
page 4	羅斯福總統撰文力主修改中立法國會方面表示擁護
page 4	巴黎納粹橫行猶太禮拜堂屢被投彈淪陷區法人大批被捕
page 4	美與南美訂約保留戰略原料
page 4	幽默的一問
page 5	今日甲組聯賽好戲星島出兵戰光華下午五時在嘉露連山南華場另有洋隊四場亦有看頭
page 5	星光會議南華名譽有效
page 5	甲組聯賽形勢
page 5	光華能勝星島否
page 5	東南大戰兩軍勝負談實力東方勝士氣人和南華贏畢竟是一場劇戰
page 5	銀牌籃球賽昨日停戰鑼
page 5	鐵城杯今天有兩戰昨日平正挫警察
page 5	公開游泳冠軍賽今晚演壓軸戲九時七分在域多利池五十碼自由式有噱頭
page 5	明日足球刺激戰南華借將戰東方劉榮光脫離國際軍拔刀相助許竟成決上陣保衛金龍大營
page 5	學界籃球賽開代表會十六開始比賽中青會舉辦之學界籃球
page 5	心血來潮集
page 6	港九工商百餘團體聯名電當局祝捷今日僑團學校慶祝勝利舉行慰勞湘北戰士大會
page 6	女青會家庭婦女團昨舉行秋季聯歡會決定舉辦家庭製品展覽提倡貧苦已婚婦女節育
page 6	黃炎培昨返港在菲募債望得二千萬元曾晉謁菲律賓總統奎松
page 6	港府增賃寫字樓擴充辦公機關工務司已通知業主注意凡經通知後七日內遷出
page 6	中日並未宣戰孤軍應予釋放林文傑君投函西報主張譚雅士謂應提具體辦法
page 6	防空工程案史美　安德生供承做鐵桶之經過
page 6	鄭褧裳個展
page 6	李國欽昨由美過港即晚飛重慶
page 6	葉淺予重慶行畫展劉邦琛
page 7	廣海克復殘餘肅清江會敵軍陷入重圍余李電慰將士及被難同胞分別揆款四十萬辦理急振
page 7	滬市民熱烈響應秋節獻金救難節省糜費移作有益用途愛護國家同胞不願後人
page 7	抗戰以來中國文藝之發展老舍在西南聯大演講
page 7	金陵大學創辦社會福利行政組上月二十二日已在成都開課現係試驗性質明年準備擴充
page 7	廣東企業公司積極籌備中基金暫定二千萬元續招商股業務以農工商礦為整個對象
page 7	外匯牌價不動申匯略趨松弛
page 7	股票市況續趨好轉
page 7	滬標金略漲
page 7	國幣略趨下游
