page 1	社評論港日貿易與香港商業的前途
page 2	翁文灝昨報告施政方針強調全力作戰開源節流立委大舉質詢今天繼續進行
page 2	管理金融輸出物資平抑物價加強建設改革節農業期與工業配合平均地權節制私人資本
page 2	窮人負擔加重鹽稅每擔將附加十萬元給地方政府作自衛經費
page 2	動亂時代
page 2	外交政策加強聯合國並瞭解美國反對日本侵略勢力再起
page 2	立委質詢撮要新閣人物三朝元老施政報告逃避現實軍事失利由於肚子不飽肅清貪污先要改善待遇
page 2	美國確在扶日本報滬館座談日本問題與會者一致指出這事實
page 2	麥唐納謁總統
page 2	監院副院長未選出劉哲田炯錦今晨決勝負
page 2	考試院即改組考選 委會改為考選部總統正考慮該院人選
page 2	平學生昨復課津戒備森嚴防學生遊行
page 2	張群謁蔣總統
page 2	要糧不要錢蓉在鄉軍官赴市府請願市府職員被迫停止辦公
page 2	兗州大戰揭幕汶上曲阜等地激戰
page 2	使用美軍事援華款項美陸長說要嚴密監督中國政府應按月提出報告還要拿發票或文件作證據
page 2	美削減援華款項霍夫曼說不贊成
page 2	保警隊人數湊不足宋子文請桂省府代為徵募一保一警運動決定放棄
page 2	電信事業荊棘滿途粵省線路柔腸寸斷目前只有穗港間業務賺錢鄒茂桐對記者談話
page 2	甘冒風雨看龍舟傷時感事弔屈原古老的節日帶來了漲風廣州端午節即景
page 3	聖地休戰開始砲火未息阿猶互責不遵守停戰令調解專員請英供給飛機艦隻
page 3	日為貿易開路舉行會議著重外商利益
page 3	拿人命開玩笑美機練習投彈濫炸南韓漁船
page 3	日贓物續被發現華南鋼鐵廠設備認出一部
page 3	只要麥帥點頭日人到處可去
page 3	美焦煤二萬噸五月內運日本
page 3	倫敦通訊苦酒
page 3	華僑一千人在暹被扣留
page 3	且慢與日恢復貿易先訂好了和約再談菲駐美大使說來有理
page 3	暹羅越僑民反對阮文春
page 3	抗議
page 3	遠東經濟委會秘書處設上海
page 3	捷新議會成立總統繼任人選尚未決定共產黨主使選舉高德華
page 3	日發展紡織業內閣通過計劃本年生產目標大增
page 3	星洲醞釀工潮職工會需求釋放被捕職員否則將號召五萬工人罷工
page 3	美參院通過徵兵案十九至廿五歲青年服役一年陸軍的人數將增加三十餘萬
page 3	國際武力建立無期賴伊主先組警衛軍召募一千人由安理會指揮
page 3	三艘貨輪在日被扣據說搜出大批私貨
page 3	雜誌界致書美大使
