page 2	揭破日閥的宣傳週
page 3	整軍工作順利進行南北各線實力日見充實鄂中戰事我居主動地位
page 3	粵省府議決加強海南抗戰委楊永仁瓊山縣長何清雅為瓊東縣長
page 3	兩航空公司目前缺乏飛機
page 3	京Ｘ感受威脅我軍勢力侵入南郊下關變成軍事區域
page 3	中緬試航機昨午抵昆明英籍機師五人隨行
page 3	三位日本弟兄參加我八路軍工作受到了熱烈的歡迎
page 3	第二期抗戰宣傳綱要二
page 3	全國教育會議昨全體大會
page 3	地質學會昨繼續舉行
page 3	滇建設廳發展蠶業分區推進培育
page 3	壯丁請纓閩省民氣勃發
page 3	滬江灣路日人被炸斃因玩弄炸彈肇禍
page 3	華北傀儡謀統治對外貿易
page 3	滬南京路炸彈係Ｘ人製造恐怖新任駐華法國大使將由河內赴滬視察
page 3	薛漢光就曲江縣長
page 4	九國公約英決仍維護
page 4	弗朗哥請求義首相撤退在西義軍法決努力結束西內戰並委貝當為首任大使
page 4	Ｘ對粵經濟戰Ｘ貨大量運輸入境當局力謀防範辦法
page 4	蘇日漁約糾紛板垣貴院宣佈決準備維護權益
page 4	教皇選舉結果尚未揭曉
page 4	張伯倫開英歷史先例赴蘇使館宴會
page 4	龐萊在眾院報告海南島事件謂日外相曾提供保證此次佔據係暫時性質法對義不能再有所讓步
page 4	墨京破獲間諜機關一共拘捕八人
page 4	日大阪附近大火軍械庫全部焚毀延燒範圍廣達一英里災情慘重死傷數百人
page 4	英阿代表正式擧行會議阿方不滿意英政府建議猶人集會討論談判問題
page 4	日內閣通過特別軍事預算
page 4	關島設防案美參院落海軍委員會進行研究翻案步驟
page 4	整軍建軍的進步
page 5	中央新頒難民移墾規則粵省積極救濟難民獎勵墾殖期為難民造產教育難童訂定助費辦法
page 5	粵輪廻審判制度三月一日開始實行檢察官將嚴檢三事
page 5	粵政訓所宣告延期開學
page 5	鶴山游擊隊夜襲河清空軍出動斃Ｘ甚眾
page 6	廣州撤退後省銀行業務狀況星洲設分行便利僑胞雲照坤曾曉峰昨招待新聞界
page 6	泛美巨型機波音三一四今日正午抵港昨抵馬尼拉今晨北來港九上空將環飛一週
page 6	羅湖被炸事件英日昨開談判輔政司將電英廷報告日允賠償最多二萬元
page 7	本週督憲杯足球賽兩會人選已產生協會軍容茂盛前後實力平均預料者番相逢總會必要拼命
page 7	女子籃球賽定期頒獎聯隊人選亦決定
page 7	體育教育上的一個貢獻二
page 7	記者小球隊昨敗於天南
page 7	外匯一致不動英美匯沉寂申匯微緊銀行尚多買賣
