page 2	社評日本的所謂中立
page 3	波軍全力保衛華沙德西線又被法突破但澤附近波軍仍堅守不退英空軍炸沉德最大主力艦
page 3	各線情形均緊波軍在苦戰中德方傳佔領克拉科
page 3	倫敦警報頻傳擊落德機一架全市空防有條不紊
page 3	波遷都魯伯林德軍距華沙僅三十哩
page 3	法機飛德轟炸襲火中心佛蘭克福
page 3	英對海約義務宣佈無期廢止英法實行經濟合作再共同貸波以鉅款
page 3	捷人圖復故土在英成立新軍英工黨促捷人奮起勿忘在倫敦之國旗
page 3	英國海外屬地情緒激昂行動一致南非與德正式定宣戰
page 3	德國內部不穩各地不時發生騷動遠東德輪逃避日本
page 3	歐局拾零
page 3	伊拉克決與德斷絕外交關係
page 3	法國報紙預測將組國防政府
page 3	雅典尼亞船員領得政府撫卹
page 3	被擊英輪船員抵葡京里斯本
page 3	阿根廷已決定保持中立地位
page 4	晉西又起激戰汾陽Ｘ軍圖犯軍渡鄂南通崇之Ｘ陷困境傷亡過半正向西潰退
page 4	一週戰況自八月三十日至九月六日軍事委員會發表
page 4	滬兩暗殺案前上海市黨部民訓主任許也夫在勞工醫院被刺
page 4	滬市場混亂貨價漲落一定一般生活愈困難
page 4	北路慰勞團即將由晉入陝
page 4	美注視遠東局勢對日方所採中立不遽樂觀認中國能自給自足抵抗侵略日仍勸告英法撤兵
page 4	波蘭能保衛國土嗎鄔侶梅譯自世界評論八月號
page 4	全國一致討汪
page 4	赫爾重要談話
page 4	美將修改中立法擬召集國會臨時會議討論巴拿馬運河派艦設防
page 4	美艦隊司令哈特由滬返青
page 4	潘公展電唁吳志騫家屬
page 4	寺內等一行到達羅馬
page 4	鄂動員會代表電津英法領致敬
page 4	褚民誼附逆開除黨籍通緝辦法
page 4	歐洲戰局之焦點
page 4	德國內部的危機
page 4	滇省法僑返國
page 5	九江Ｘ騎兵續向佛山撤退圖打通江佛路不逞我迫會城發生激戰
page 5	粵北增從線我續克新村Ｘ軍傷亡慘重狼狽潰退曹洞黃茅我已取得優勢
page 5	增強各縣鄉鎮防護設施廣東省防空司令部擬定辦法切實施行
page 5	粵省府嚴禁運米出口
page 5	東沛返茂名奉安封翁窀穸
page 5	佛山附近游擊隊縱橫夜襲石頭殲Ｘ卅餘
page 5	運輸機構亟應整頓鎮南關大批貨物被炸因好處問題未決不及早運
page 5	粵省府維護歸國僑胞不得妨碍其自由並嚴防欺詐壓迫
page 5	西蒙邊情達理扎布從西北赴渝帶來了不少興奮消息
page 5	港澳中華義學決定辦完本期失業教員設法運送韶關未派工作之前酌給生活費
page 5	應征壯丁家屬民眾致送賀儀規定每逢年節或入營期
page 5	嶺東我軍勇戰衝入潮城包圍Ｘ司令部焚燬西湖車站
page 5	駐軍協助農民收割運動熱烈軍民團結感情融洽向所罕見動員官司兵二萬割禾一千餘畝
page 6	鞏固戰時金融港府實施統制外滙由港滙欵受相當限制有正當用途方得購買
page 6	昨日米市價格每擔暴漲二元越南禁米出口消息不確大中華輪運來萬五千包
page 6	以防萬一播音台祗播送唱片防止間諜傳達消息
page 6	統制糧食專員公布糧食足用勸諭商人不得居奇壟斷居民不必大批存儲糧食
page 6	集中營內德僑親友探監營中起居飲食均極安適奧人猶人可望當局釋放
page 6	婦女會發起徵募寒衣運動秋風初起前方將士待用捐助各軍善團藥物甚多
page 6	廠商聯會理事會議報告海關領證手續
page 6	戰時寄發郵件領特許證手續函報檢查司批准後發給發電姓名住址准用華文
page 6	本港公私醫院救護準備完成醫院廿六所床三千五百醫生三百人護士逾千名
page 6	航政局通告輪船出口概須提前呈報港澳糧食昨已如常通運亞洲皇后郵船今晨來港
page 6	防空救護員加緊訓練設免費班報名從速
page 6	我駐緬總領梁長培返國述職昨日抵港
page 6	嶺大新生揭曉新生定今日在港大註冊各學院十一日同時上課
page 6	光華醫學院遷往前山地點較佳適於修學在短期內即可開課
page 6	先施公司各校應用書運到
page 7	時局發生影響北圻隊改變行期將於下週動程來港
page 7	昨日夏令籃球賽大中智取虹虹四九比三七戰情緊張買花成績得款廿餘元
page 7	南遊日記
page 7	學界籃球比賽十日開始報名比賽規程昨正式頒佈
page 7	排球女子隊產生
page 7	拳壇掌故上一頁黑幕拳鬥史李安那隻手勤王
page 7	華人水球賽明日決賽今天無戰事
page 7	小型球
page 7	昨日本港外匯市先沉寂後略趨緊美菲瑞越申匯牌價俱告回漲申匯市況略淡銀行仍多拋出
page 7	八九金市漲勢稍挫買賣不多起落亦少
page 7	股票略見轉機惟人心未定給價仍低全日成交共四萬餘元
