page 2	侵略者的良心譴責
page 3	南昌附近激戰正酣贛戰重心移至贛江我Ｘ兩軍隔江砲戰激烈牛行車站一帶發生劇戰
page 3	南昌外圍緊張我軍戰鬥力堅強
page 3	湘北克新開塘羊樓洞Ｘ軍蠢動
page 3	離石我軍奏捷Ｘ機昨慘炸潼關
page 3	晉南農民在安澤重創Ｘ軍奪獲軍用品甚多
page 3	皖境有激戰Ｘ由長江沿岸調兵貴池一帶我獲勝利
page 3	二期抗戰第二次宣傳週宣傳辦法中宣部制定公布
page 3	冀偽軍反正在滄縣附近殺Ｘ
page 3	劉峙宣誓就職
page 3	薛岳演說勉勵所屬努力
page 3	吳鼎昌就綏靖副主任職
page 3	川康視察團東路今日出發
page 3	吉安疏散人口
page 3	汪兆銘已遷居乘專機由河內飛暹羅
page 3	寧偽組織排外北平兩個傀儡南飛參加偽政府紀念
page 3	孫科已抵莫斯科
page 3	克萊琪將赴滬與卡爾大使會晤
page 3	漁約糾紛日對蘇讓步願放棄漁場三十七處東鄉訪李維諾夫商談
page 3	Ｘ擬召開地方官會議聆取詳細報告
page 3	法軍司令即將離滬返國
page 3	我游擊隊進襲蘇州城郊
page 3	武康Ｘ進犯我軍分頭堵擊
page 3	國勞農委會二次會議定期下月舉行我代表即首途
page 3	粵黨政軍訓練團五月一日開課黨政機關職員均受訓
page 4	法總理將發表宣言說明對義觀點義相演說法反應良好將乘機重開外交談判
page 4	墨索里尼演說語氣尚屬溫和對法國未作直接要求並竭力強調擴充軍備
page 4	英蘇軍事合作海參崴及堪察加兩地蘇建議供英自由利用
page 4	匈斯兩軍又發生激戰斯代表團昨晨抵匈京即舉行首次勘界會議
page 4	羅國當局採軍事措置防匈改變途徑向東進展
page 4	土國會改選結果揭曉
page 4	愛爾蘭問題
page 4	希特勒昨日抵明興
page 4	波蘭防德正積極備戰決不容人破壞國土完整波蘭走廊尤其不肯割讓
page 4	西戰雙方談判決裂國民軍攻瑪德里英報傳昨晨業已攻入弗朗哥拒絕保證安全
page 4	英國援華運動上
page 4	敘利亞傳將改君主國
page 4	艾登主張組無黨派政府集中一切增厚軍事力量並採取強硬之外交政策
page 4	英政府無意實施徵兵制張伯倫辭職說不確
page 4	波外長下月三日抵英會商國際問題
page 4	贛北戰事
page 4	三使行踪
page 5	西江產米各縣輸路阻塞米價昂貴李專員談米潮原因在失調節江門關明日准免稅洋米入口
page 5	Ｘ機前日肆虐汕頭鹽倉被炸毀投彈中的似有漢奸作祟本報記者災塲踏勘記
page 5	丘譽高信等入川受訓下月入桂飛渝
page 5	反攻大良袁帶有功省府致電獎勉
page 5	進犯容桂不逞Ｘ擾中山小黃圃企圖側擊順德我軍當被團隊奮勇擊退
page 5	澳督述職日間赴港返國賴濟喇氏隨行
page 5	政治工作的演變與下政工人員應具備的條件對軍委會政治部直屬第五政工大
page 5	新會區署成立
page 6	保障住客條例期滿後勢必延展羅文錦律師昨日談話時局未安定不致取消
page 6	遠東航校學生黃佐治駕機失蹤單獨飛行考取二級執照超過規定時間未能返校
page 6	九龍塘區防空壕視察記九龍山麓建築極鞏固內有床位門窗皆鋼板
page 6	中大服務團徵集書報携贈軍民
page 6	時人往來
page 6	聯美公司第二架波音機昨抵港今晨返美搭客廿五人帝航飛船將展至本港
page 6	欲以五日時間環飛世界英女飛行家下月來港副手在港曾有羅曼斯
page 6	粵漢奸宣傳掉換新契從中截留日後吞產民眾返省幸勿上當
page 6	義演黃花崗得款撫卹陣亡將士家屬賑聯會昨日常會通過今日大會中提出討論
page 6	太平劇團藕斷絲連觀者交口稱贊
page 6	駐港日領半年三易新任為田尻愛義葡領亦易莫加度
page 6	國民宣誓華僑學院昨舉行
page 6	由澳來港旅客日多本港人口有增無減
page 6	防空委員會防空站大部解決一部分住客尚未盡了解希望居民能與政府合作
page 7	星洲中華足球隊昨日已乘機抵港全軍實力雄厚在菲四勝一負啟程前夕二比零勝全菲選手
page 7	歡迎星洲中華足球隊
page 7	明年世運會芬蘭發出請柬後已有十九國參加
page 7	公開草地網球大小林珍雙打又獲勝徐氏兄弟今天有節目
page 7	勃琪大顯身手七擒潘雷
page 7	海外風光
page 7	公開男子籃球賽南華克服港大乙組比賽南華廣中亦均獲勝
page 7	唐宣慶昨由滬南返
page 7	義相演辭和緩港外匯緊後趨定英美匯需求略多申匯仍穩靜
page 7	英金回漲英銀均跌
page 7	八九金市略形堅挺買戶較多價格微漲
page 7	股票市益沉寂全日成交僅二千餘股但各種股價仍甚穩定
