page 2	社評我們只有一條路
page 3	李宗仁將軍前線談話鄂皖戰事進行順利我軍控制武漢外圍ＸＸ方竭不能再應付大戰
page 3	川康視察團全體團員返渝材料搜集極為豐富將送政府採擇實行
page 3	滬兩租界拘獲嫌疑者千餘俟八一三後始能釋放偽方又揚言接收法院
page 3	鶴山實踏記四
page 3	南路慰勞團在高安獻旗
page 3	李逆道軒被志士投彈未中
page 3	比商被Ｘ毆傷
page 3	滬各團體電呈中央發動民力以除奸逆黔文化界請為汪逆鑄鐵像
page 3	Ｘ機襲浙
page 3	薛西爾獻旗蔣委員長現已寄到重慶
page 3	傀儡難作Ｘ令陳逆覺民籌繳法幣百萬
page 3	王世傑談話盼英積極援華Ｘ偽製造返英運動意圖威脅意思顯明
page 3	滇教育廳培植專門人材
page 3	中央公務員雇員公役空襲損害救濟辦法國府前日明令公布
page 3	美新貸欵將成立總數三萬五千萬美元羅傑士公畢昨已離滬返港
page 3	Ｘ在蘇北誘騙無知農民以赴華北開礦為名秘密運往東北訓練
page 4	對津法幣及存銀問題美法態度嚴正聲明與英一致行動英亦表示決不讓步
page 4	內閣參議會中平沼四面楚歌白鳥向美國記者談話對科摩會議洋洋自得
page 4	英海空軍演習意義極重大英法報紙咸加以評論認係以實力支持和平
page 4	戰時的安徽二
page 4	美國在遠東之命運經濟制日現尚易力坐失時機則非戰莫屬
page 4	美海陸軍決組資源顧問部以便海陸空擴充
page 4	德義集中大軍圖壓迫南斯拉夫使其在戰時為軸心國家利用德義外長將在薩爾斯堡會晤
page 4	波蘭走廊方面德波又起糾紛德武裝巡員越境受傷福斯德將作重要演說
page 4	法土商約談判妥協
page 4	傳英蘇法談判商妥新方案外相與史德隆秘密會商
page 4	東京談判僵持
page 4	國際新曙光
page 5	Ｘ軍大舉來犯中山形勢又緊睦州一帶昨再起激戰企圖登陸我嚴陣以待
page 5	成吉思汗的生平
page 5	東戰場我軍反攻嘉興戰事激烈我流動部隊共約三萬人同時分向京杭兩處推進
page 5	Ｘ進襲閘坡被我擊退南路沿海情勢突緊雷州海外Ｘ艦大增
page 5	增城自衛團襲Ｘ奏捷李主席傳令嘉獎
page 5	發展內地小工業建廳撥欵十萬
page 5	Ｘ機六架狂炸韶關中廠鈎嶺投彈卅餘枚
page 6	紀念全面抗戰開始全港獻金昨開始昨日成績國幣萬五千元五百貨公司各設獻金台
page 6	亞細亞火油倉已作防空設備用堅固之障壁隔離各倉雖中彈着火亦不致蔓延
page 6	港吧婦女會獻救傷車十四日舉行獻車禮
page 6	永祥金鋪劫案拔萃書院教員供述追匪經過英探目普比勇擒一匪華探何福追兩匪未獲
page 6	六獻金台昨日成績
page 6	尖沙嘴兒童響獻金日光小球隊發起
page 6	民鋒第二期已於昨日出版
page 6	李綺年造像展覽昨日開幕成績甚佳何甘棠購一幀一百元
page 6	全港藝術界義演成績甚佳收入打破演劇籌賑紀錄今晚節目較昨更為精采
page 6	交通機關招請汽車技術人員
page 6	七七花款共得二萬餘元
page 6	省府會計員初試揭曉二十七人今日覆試
page 6	國立各院校新生考試完畢主試人員趕辦結束覆命一連四日試場秩序甚佳
page 6	粥少僧多兒童保育院難童名額已滿聽候收容者有一二八名何錦姿辭職曹秀羣代理
page 7	今天排球義演仿林女中戰南華下午三時起在鐵崗保羅場第一幕影人出馬現身說法
page 7	本屆奧林匹克芬蘭長跑展望名將過剩問題極為嚴重萬米將打破三十分雄關
page 7	德權鼎小球週末賽程昨日正式發表
page 7	南華水藝大會成績頗佳
page 7	國立學院統一招生體育術科標準昨在南華場舉行試驗
page 7	南遊日記
page 7	公開水球賽今宵兩場補賽秩序公佈
page 7	申匯牌價續漲英美匯先緊後靜申匯市況復淡銀行仍多拋出
page 7	股票略見穩定各低價股票買戶較多
page 7	八九金市仍堅但靜價格起落為烽甚微
page 7	英金不動英銀俱漲
