page 2	社評民族資本的苦悶
page 3	荷印停止對日匯兌日本貿易大受打擊紐西蘭亦宣布廢止紐日商約
page 3	菲島積極戒備美否認艦隊離珍珠港
page 3	日本戰時食糧政策的破綻二
page 3	蘇代表團抵華盛頓即分別訪晤美當局
page 3	我朝野讚揚英迅速處置予日經濟重大打擊盼能採進一步行動
page 3	日本對當前危局將不發正式聲明樞院會議結果未發表
page 3	美油商表示願禁油輸日
page 3	虹口日人肆意搜查外僑將遷出侵佔區
page 3	朝日新聞預測美將對日禁運
page 3	美國輿論界一致警告日本如蔑視民主國吼聲將遭遇極嚴重後果
page 3	星洲日僑驚惶失措
page 3	滬匯市呈混亂物價亦盤旋無定
page 3	日本甫攫越南又向泰國威脅日軍傳已在南圻港口登陸
page 4	德軍攻勢失敗閃電戰轉為陣地戰
page 4	關於張學長
page 4	中央各部會編製明年度地方預算
page 4	中共觀察日將攻蘇
page 4	墨西哥地地震居民幸無死傷
page 4	日本侵略動向北進重於南進上海方面之觀察
page 4	英報讚揚蘇聯戰術
page 4	和平絕望返國無期粵敵兵切腹自殺豫北濟源西開敵兵中伏受創
page 4	倫敦里丁各地舉行攻守演習多佛海峽天空以生空戰
page 4	印度軍官衣錦勞歸
page 4	日輪九艘徘徊海上
page 4	阿富汗官方發宣言聲明守中立
page 4	霍金斯在英播講盡量援助中英蘇
page 4	加拿大以物資輸往同盟國家
page 4	黔合作社發達貸款達千萬元
page 4	印度無黨派領袖要求承認新憲法
page 4	日本仍徬徨
page 4	閩浙湘贛設置鹽務督運處蔣經國兼處長
page 5	太平洋局勢突緊馬來亞積極備戰防務配備完善足以應付敵人各界組織炸彈處置隊
page 5	中國教育大勢一
page 5	韶市物價繼續趨漲當局加緊平抑米價
page 5	粵省改革役政中央准予減低課徵額並改進機構人事待遇
page 5	珠江敵軍調動繁忙江會方面縮短防線
page 5	國府明令公布各省市直接稅局組織條例
page 5	粵教廳利用暑期訓練小學校長分北江南路十一區舉行
page 5	粵省各地匪黨將次第肅清攜械投誠者為數亦不少當局並厲行縣與縣聯防
page 5	浙江省銀行設韶關分行
page 5	東江船戶生活困難向政府請求救濟
page 5	粵糧管局下月改組
page 6	輔政司史美談目前港局之形勢當局保衛香港深具決心糧食之供應已密切注意
page 6	余俊賢昨日歡宴教育界各領袖對改進僑教提六項意見余氏定明日離港赴菲島
page 6	美銀行照常兌付各存戶美金白銀丸佛山輪如常行駛旅港日僑六百未擬撤退
page 6	留港參政員即將赴渝開會參政會八月中旬集會
page 6	肉食果菜價格轉穩雞肉等均回跌
page 6	旺角售菜站營業尚屬順利現時菜產稀疏收購不易菜產增加時當另設分站
page 6	招募特務警察參加者頗踴躍羅棟勳解釋參加者資格須有純正思想健全體格
page 6	和合石墳場招商趕期建築全部工程需費五十萬元將來建小鐵路遷運棺柩
page 6	中英邊界安靜無事
page 6	九龍關公布查禁敵火柴
page 6	織造業發達失業女工減少
page 6	中大招生報名展期八月一日截止
page 6	本港募戰債達千五百萬
page 6	前日銀礦灣海面水雷炸斃十三人被炸傷者計亦有多人
page 7	國際棒球大比賽將有五國參加中華南華組成中國際印度人將獨自組隊加入戰團
page 7	孤島體育談
page 7	鐵城杯籃球揭幕華僑旗開得勝五十四比廿八銀聯敗北第二幕黑貓打退友聯隊
page 7	美路杯賽今日有兩場
page 7	全馬足球錦標賽星聯贏空軍一比零陳來泉一箭安定天山上場勢均力敵下場勝負乃分
page 7	港澳九理想隊打勝星島結果三比一
page 7	歷屆戰績
page 7	夏令籃球賽育賢對團結
page 7	中華會二次水藝會下月二日舉行
page 7	美菲荷匯牌價略漲英匯沉寂申匯仍淡
page 7	股票仍乏生氣人心趨淡買賣依然不多昨日成交總值三萬餘元
page 7	國幣市況依然疲弱價格又繼續下跌
