page 2	社評日本之無力與無信
page 3	我軍挺進克復長樂閩江口殘敵將肅清軍委會發表東南戰場赫赫戰果
page 3	美第二批油船亦將抵海參崴
page 3	胡適大使訪美國務卿赫爾對我提出保證
page 3	蘇軍代表團一批飛抵美境
page 3	日本遭遇空前危機
page 3	日南進北侵尚彷徨歧途因內政及經濟均不穩西貢人士如是觀察
page 3	泰國否認與日訂經濟協定
page 3	中蘇商務增進大批國產在運蘇途中雙方易貨將逐步開展
page 3	國民參政會駐會委員會郭外長報告國際形勢
page 3	紐約時報著論警告日本美國決不妥協出賣友人
page 3	星洲舉行軍事演習情形將甚逼真
page 3	中荷關係密切我植物學家秦仁昌榮獲該國龍佛獎金
page 3	農林部加緊推動羊群增產計劃在西北六省劃分十三區實施
page 3	滬兩大煤廠均被人投彈為高抬物價之警告
page 3	澳駐英代表人選將發表澳駐華公使過荷印
page 4	列寧格勒外圍血戰德軍攻勢受阻中路紅軍繼續反攻
page 4	英蘇兩國軍隊控制伊朗西部
page 4	美國援助波政府建軍羅斯福總統核准得適用租借法案
page 4	英相邱吉爾歡宴加總理英加首揆發表演說加緊團結爭取勝利
page 4	八月份美機產量達千八日餘架
page 4	英相將向議會詳細報告戰局並將辯論援蘇問題
page 4	敵機對重慶的疲勞轟炸二
page 4	美陸軍部將請撥巨款用以擴充坦克車及砲隊
page 4	英當局公開邀請美議員訪英俾能體驗英國實况消除所有讕言誤解
page 4	美總統駐教廷代表首途赴羅馬
page 4	美國派員訓練玻空軍兩國已簽署協定
page 4	美墨舉行貨款談判將成立平準貨幣協定
page 4	波蘭暗無天日波人一批被判死刑
page 4	荷天主教領袖強被納粹罰款
page 4	十足謠言德傳蘇土軍隊衝突
page 4	大西洋美驅逐艦被潛艇放雷突襲
page 4	法國人心不死內奸及德軍又被擊
page 4	美艦被襲
page 5	加強經濟制裁馬來亞對日禁運一切原料停止輸日中國淪陷區包括在內
page 5	運輸貨物出口辦法
page 5	桂省貿易公司決設蒼梧重要職員已決定
page 5	湘省人口除臨湘岳陽二縣外共二千八百餘萬人
page 5	渝市點滴
page 5	粵本年冬耕貸款定額三百萬元省府籌設南路畜疫防療所
page 6	總督夫婦今晨離港紳商名流均參加話別禮英殖民部特電港督致意
page 6	防空工程案馬士文經理供述防空洞之建造謂已完成者二十一座全數可容納二十萬人
page 6	介紹黃君璧畫師
page 6	黃炎培演講青年問題今日在青年會
page 6	外聯演講會朱羲農講戰時經濟香港外動記者聯誼會主
page 6	防衛當局倡導居民身上設置標誌防衛處長談此舉之目的使空襲下便利救護工作
page 6	海陸空軍事演習試驗各種部隊動員效能昨日港九各處戎馬倥傯
page 6	漁人冼基又獲水雷海軍當局曾予嘉獎
page 6	婦女慰勞會四週年紀念
page 6	華商會負責籌備回國慰勞視察團現向各方接洽進行中
page 7	服役團足球第一戰星東對抗軍聯第二幕南華南遊隊出戰西聯兩隊遠征軍陣線排定
page 7	體協會糾紛事件前途展望
page 7	中青水球隊出戰澳僑隊
page 7	棒球慈善賽港聯戰美艦中國隊將代表港聯上陣職日打勝可穩得錦標
page 7	銀牌籃球大戰各路兵馬題名
page 7	游泳冠軍賽職員選定九日開始預賽
page 7	樂斯杯民大先戰悠悠星島鬥新青
page 7	協會泳籃兩部定期開會
page 7	外匯牌價俱無變更美匯沉寂申匯靜穩
page 7	股票漲勢受挫昨日成交僅六萬餘元
page 7	國幣市況仍無進展
