page 2	社評樂觀在自己
page 3	羅斯福總統正式宣布美援華清單已開列所需物資全部備就胡大合偕宋子文氏謁見羅氏中美平準基金協定即將實施
page 3	倫敦使館之盛會郭大使臨別招待貴賓英當局及各國使節踴躍參加
page 3	郭大使歸途中將赴美國訪問
page 3	美米蘇裏大學一九四一年榮譽章決定贈予本報本報已電請盧祺機關報君代表接受
page 3	蘇聯總領館將在滬重開
page 3	何部長赴陝純為視察
page 3	貿易部長人選未定
page 3	克萊琪訪大橋控聽日方態度
page 3	美將重新考慮對蘇日政策蘇美商務談判暫停
page 3	蘇日協定價值可疑日報對蘇仍不信賴
page 3	秋田又發生狂論侵略南洋南美
page 3	敵陸軍大將西義一病死
page 3	滬又一漢奸被槍擊殞命
page 3	美轟炸機將續運星洲日將向荷印提新要求
page 3	我軍克復海豐潮陽近郊亦在血戰中
page 3	滬工部局華董我方推定四人王曉籟等致電凱自威
page 3	上海慘案迭出巡捕開槍射擊罷工工人滬西大火焚燬茅舍千所
page 3	懲治貪污張萬湘處死刑
page 3	全國財政會議定七月間舉行
page 3	行政院會議通過筑市府組織規則李壽雍任蘇財政廳長
page 4	南國形勢悲觀停止正面抵抗阿境希軍安然撤退參加英軍左翼作戰
page 4	澳總理孟席斯論中東之戰形勢雖然險惡無須失望嚴重試鍊時期即將來臨
page 4	北非戰局漸趨穩定英軍堅守強固陣地
page 4	美航空工業有長足進步
page 4	西北工業建設之一瞥
page 4	阿國義督與英談判
page 4	墨西哥京城發生劇烈地震樓宇傾圯交通斷絕
page 4	美參院外委會討論處理外輪案喬治提議授權總統承購徵用沒收外輪
page 4	德在波蘭境內構築新防線並建大批地下機場蘇亦加緊鞏固防務
page 4	我們的感愧
page 4	敵南侵動向
page 5	南僑籌賑總會第一次大會詳情各屬熱烈參加通過提案十件加強籌振工作宣言團結抗戰
page 5	蘇浙三角地區敵軍兵力薄弱抽調半數開赴浙皖邊境蘇嘉四郊幾已全部放棄
page 5	中山方面敵軍又竄擾橫琴島聲言將截斷我出海交通
page 5	廈門敵偽軍擾劫歸僑巧立名目從中勒索敲詐販運煙土蓄意毒化同胞
page 5	輿論一斑
page 6	美駐港總領事談本港最近可保無事日人南進當待十二月間渠乘港局安定回美度假
page 6	今晚六時至十時演習燈火管制軍事演習同時繼續舉行居民無事勿在街中遊逛
page 6	官米昨開始發售各分站昨售出四千餘包今日仍無限量供應米店
page 6	舊金山中國廣播港下午四時半可收
page 6	新警司伊雲斯尚屬旁坐辦公
page 6	獻機運動藝術界積極進行譚進將首捐萬元
page 6	照相業商會昨日成立俞鴻鈞揭幕並致詞
page 6	大嶼山新村計劃當局注意新村社會教育前教育司任教育組主席
page 6	防癆協會明日開執委會討論工作及財政報告建議該會設療養院等
page 6	我郵政總局招考機工監事
page 6	購機大彩票幸運兒印警得汽車證實登報五千元出售
page 6	貨物出口領取執照手續填寫表格交簽證處職員再往昌興公司領取執照
page 6	富勵士日前因病入院
page 6	孖剌西報記者為小販呼籲希望政府當局社會人士體恤貧苦小販勿予壓迫
page 6	程天固飛墨履新中大學生設宴餞行
page 6	霍亂症似已達最高峰
page 6	酒樓茶室等五行決定斬增茶價會員亦有持反對意見者主辦一碗飯運動被否決
page 6	付英郵件大批遺失一部分為擔保信
page 7	港澳埠際足球賽澳門人選排定陣線整齊堪與港隊一爭長雄星島遠征開拔無確期
page 7	籃球聯會新委員產生
page 7	東方籃球征菲隊明日啓程回港六戰五勝一負戰績彪炳繼續舉辦義賽在商討中
page 7	體壇漫筆下
page 7	華員會泳場日間將開放
page 7	華人游泳會五一開放徵求展期結束
page 7	從體育訓練起說到道德修養
page 7	中學籃球賽初級隊伍名單正式公布
page 7	外匯牌價仍無變更美匯微緊申匯穩定
page 7	桂林球事
page 7	國幣市況殊乏生氣
page 7	股票市況疲弱買賣不多價格略形低跌昨成交總值僅三萬餘元
