page 2	侵略者之坦白自供
page 3	邕寧日軍圖窺扶南正面仍在三塘激戰
page 3	粵本年度省政以實幹為主緊要政務將先付實施食糧問題正在籌商中
page 3	達賴坐床大典極為隆重嚴肅全國各地亦熱烈慶祝蔣委長親臨渝長安寺瞻禮
page 3	日旅團長被我擊斃
page 3	日人反戰同盟下月初演劇募款慰勞我前線將士
page 3	桂婦女團體籌備紀念三八節
page 3	全國各地慶祝盛況
page 3	兩院院長致電祝賀
page 3	工合新計劃積極開發藏金在湘設立淘金合作社並大舉開採西北金礦 
page 3	汪偽組織成立遙遙無期 
page 3	東京報載日汪條款係十二月商定阿部內閣核准
page 3	美使詹森今日由滇赴渝
page 3	滬法租界當局維護民生嚴禁擡高物價
page 3	合浦舉行春禮勞軍會火炬巡行盛況空前
page 3	賀國光報告川省施政近況
page 3	合作事業總會在渝成立推定職員
page 3	達賴喇嘛世系 
page 3	靈童尋獲經過
page 3	關於第十四輩達賴喇嘛第十四輩達賴喇嘛已於二十二日在西藏拉薩在中央特派大員蒙藏委員會委員長吳忠信主持之下舉行坐床大典同時行都及全國其他各地亦均分別舉行慶祝儀式之隆重情緒之熱烈有為前所未有者茲將呼畢勒罕靈童拉木登珠尋獲經過及達賴喇嘛世系分述於後以供讀者參考
page 3	綏西圍五原鄂北掃蕩中
page 4	蘇軍猛烈進攻在數哩外砲轟維堡傳伏羅希洛夫到前線
page 4	近東英法軍佈置已就緒進可以攻退可以守蘇聯艦隊演習完畢 
page 4	西線發生激戰法德飛機指導砲戰前哨部隊亦曾肉搏
page 4	蘇土談判傅蘇有意重開
page 4	澳將與我另訂入口條例保君建總領事交涉結果
page 4	天津炸彈案尚有多人未釋
page 4	有田擬與格魯賡續舉行談判日偽組織輪船公司獨佔長江下游航運
page 4	日竭澤而漁日藏相將再提三億追加預算
page 4	日在華北厲行統制外人商業陷於絕境
page 4	滬英方否認英日訂密約
page 4	法國發表宣言促中立國慎重如有放棄其中立權利聯軍將以行動謀應付
page 4	日方證實日汪密約
page 4	促進中英文化合作
page 4	請看日本的野心田中貢供出日方吞華計劃
page 4	貝薩莫發現英艦監視德輪行動蘇聯方面雖嚴加注視但相信不致對蘇不利
page 5	我軍猛烈反攻江門會城混戰中圖犯雙水口日軍受挫 
page 5	上海日傷兵群起反戰抗拒命令慘被腰斬
page 5	上海兩租界宵禁加嚴
page 5	湘災區遼闊內地藥物用品需要迫切紅十字會呼籲捐助
page 5	粵北戰利品公開展覽昨日在韶開幕參觀達二萬人
page 5	滬中美日報三度復刊獲得各方同情
page 5	劫後清遠滿目瘡痍日軍暴行非可想像全縣損失二百餘萬
page 5	馬來亞統制貿易日玩具被禁入口並限制日方採購樹膠數量
page 5	西康日記五九 
page 5	白俄屢次尋釁孤軍發表聲明自茲以後倘有事故祗有全軍奮鬥到底
page 6	美記者馬沙爾談日經濟日見枯竭布料缺乏人人皆穿舊衣汽油缺乏電力亦極微弱
page 6	阿根廷領事演講中阿兩國關係將訂立外交及通商條約相互同情可使彼此接近
page 6	克利蒲爵士今日可抵港
page 6	輪船出入口時嚴禁搭客攝影警察當局通告各船公司攜有攝影機者須交船主
page 6	百新書店贈品改為包書紙
page 6	英政府發表白皮書闡述殖民政策香港為英國殖民地之一亦得享殖民政策之利益
page 6	粵參議員朱念慈在澳門病故
page 6	羅忠恕碩士昨在中英文協演講講題促進文化中心的大學中英兩國應從文化方面合作
page 6	太平劇團洪承疇尚有今明兩晚
page 6	粵文物展明日提早開放便利學生參觀
page 6	防空訓練班昨頒證書得證者二百餘人
page 6	畫師關良印象記
page 7	特別銀牌足球賽東方巧逢蘇軍下午四時在掃桿埔場開火南華兄弟出兵攻九龍
page 7	公開女子籃球今晚舉行頒獎表演賽冠軍隊戰混合另有一場星島對鍾聲
page 7	滬西聯足球賽麗都無敵手三比一打勝勁旅西捕甲組冠軍一席愈穩固
page 7	今日排球賽逍遙戰平山
page 7	外匯牌價荷匯縮一咽申匯市況仍淡靜英美匯市穩定成交稀少
page 7	八九金市昨交易又停頓
page 7	買戶雲集市場股票漲風益厲電燈公司新措施予市況大刺激全日成交達七十萬元
page 7	南華徵求隊今晚授旗王正廷主禮
page 7	逆風為陣小許建功
page 7	調虎離山錦順中的
page 7	兩江體育學主安插辦法
page 7	明日旭和杯賽陸軍戰陣產生
page 7	東蘇之戰
