page 2	日本與越南
page 3	襄西完成包圍形勢克復沙市衝入江陵宜昌當陽間數萬日軍陷絕境
page 3	全國慰勞總會慰勞渝防護員
page 3	南僑慰勞團第二分團抵韶關
page 3	滬市場情形較前益混亂米價暴漲各貨滯銷
page 3	天津問題英日簽訂協定英外次報告經過及內容津租界封鎖自昨起撤除
page 3	蔣委長愷切指示現階段軍事政治自強奮發以完成時代使命
page 3	用磁鐵戰術來消滅日軍
page 3	滬法捕與日兵發生爭執結果和平解決
page 3	日機襲重慶我以少勝多
page 3	國民外交協會函羅斯福致謝安定遠東唯有實力對日制裁偉大使命舉世皆屬望於美國
page 3	滬西報評論日本圖窮匕見中國事變無法結束汪偽組織實無異贅瘤
page 3	查勘金沙江歷盡險苦卒告成功
page 3	國際巨變與日本
page 3	林康侯附逆說據接近林氏者稱不確
page 3	襄沙漢宜兩路我軍迭克要點
page 4	法國內部尖銳對立求和特使出發傳已有所商定海外將另設新政府領導作戰
page 4	四個月內歐洲饑荒難免東南歐收成殊惡劣德將飽受封鎖痛苦
page 4	日本對越南野心益露骨向法提出具體要求顯為準備行動張本
page 4	美共和黨開會製訂競選政綱指現行廣泛援助聯軍乃羅斯福政治上錯誤
page 4	阿里馬赫演講埃及之政策維持獨立履行義務義方傳柯錫加叛亂
page 4	德國飛機再飛襲英沿岸在英倫東北投彈英機曾起飛迎戰
page 4	羅斯福批准大海軍計劃
page 4	德國威脅烏露圭倘納粹領衲被放逐德將與烏斷絕邦交 
page 4	汪兆銘有了同志
page 4	人渣歸類
page 4	法西斯黨陰謀奪取加拿大首領被捕並搜獲計劃書
page 4	日陸軍參議官舉行會議日皇亦親自參加
page 4	美通告德義維持門羅主義不承認西半球領土之轉讓美倡議召開泛美會議
page 4	美國對蘇取銷禁運大批機器工具運蘇立德邊境蘇德互駐大軍
page 4	義大利參戰之日美總統演說全文
page 4	法大部殖民地均主繼續作戰
page 4	德軍猛進不已法境大部淪陷
page 5	粵省臨時參議會期望政府五點救濟米荒剷除貪污最為切要吸收僑資發展工業有待進行
page 5	桂省參議會第八次會議通過要案九項確定戰時增收稅捐原則扶植地方自治促進憲政
page 5	國民教育師資粵進行訓練定期開辦短期訓練班召集教育長先行講習
page 5	信仰三民主義爭取民族自由白副總長對政工人員訓詞
page 5	議員質詢財政金融廳行代表分別答覆
page 6	立法局昨通過增捐戰費十萬鎊輔政司答羅文錦之質問官立學校衛生水準滿意
page 6	官立學校不受限制
page 6	米價趨漲每擔較前日漲一元
page 6	對英捐輸增十萬鎊
page 6	防轉戰稅法例通過
page 6	中國科學社二種獎金獲選人揭曉
page 6	中蘇交換繪畫中蘇文協函港畫家徵求並於七七先在重慶展覽
page 6	前程萬里蔡楚生新作開拍
page 6	法名記者
page 6	安立德赴滬
page 6	真光電影刊
page 6	防禦降傘隊
page 6	空郵銳減
page 6	潘光迴談美對我深切同情朝野人士均能推誠相見希望協助應有統盤籌劃
page 6	內地視察途次王曉籟因病返港歷經川桂推進紅會組織附帶調查各地物價情形
page 6	記者圖書館
page 6	香港舊書店運到在批新書皇后大道中三十七號三
page 6	海軍當局公布港海封鎖地帶飭令船艘注意航行如遇危險自負其責
page 6	中國化學會將在本港設立分會
page 6	港鯊之行
page 7	中華體育協進會一年工作報告財政狀況收入頗佳滿人意廿五開選舉會改用會長制
page 7	梁焯雲明日做新翁
page 7	健康的意義
page 7	港圓昨再度低跌美匯略緊申匯穩靜
page 7	國幣市況昨依然堅穩
page 7	股票價格續跌香港匯豐銀行跌勢尤猛買戶乘勢吸進為數頗多
page 7	八九金市昨日再略堅挺
page 7	港啤不服裁判鬧出棒球官司昨日聯會曾開堂研訊審查結果照原判執行
page 7	公開籃球新編秩序
