page 1	社評矚望全運會
page 2	美國執行援華人選確定萊普漢下月初首途來華董顯光昨發表談話表示歡迎萊氏來華前吉爾派屈克代理
page 2	用美援來建設華南宋子文說原則確定已派員晉京商詳細項目四聯總處核准黃埔築港貸款
page 2	粵省當前政情開闢煤源建設水電加強縣政剷煙禁賭宋子文招待記者談話
page 2	海外購新車將為總統用
page 2	救濟特捐各區配額增加上海區先增三萬億元
page 2	北平通信彩繡的命運上
page 2	陳納德又來了
page 2	英國贈艦兩艘
page 2	英國文化委會設獎學金廿名
page 2	布列特酬酢忙傳他此行與軍事有關
page 2	李宗仁談改革正在草擬計畫
page 2	立委糾紛越鬧越僵民青兩黨發表聲明拒絕參加一黨包辦的立院
page 2	回協大會閉幕
page 2	羅森哈根抵京
page 2	調查地質平地質調查所派隊出發將赴平綏沿線甘鄂等地
page 2	陳誠辭職獲准傳張群仍將組閣
page 2	公用事業任意加價穗市參會電請中央制止粵省參會六月十八日開大會
page 2	豫西全面激戰鎮平內鄉情況不明魯西戰事轉移豫北
page 2	西南綏靖會議月中在渝舉行
page 2	寶雞蔡家坡一帶工廠設備多無捐
page 2	全經會昨天舉行討論公用事業加價等問題
page 2	拿出僑務政策來我們不作帝國主義的尾巴本報滬館座談會上的呼聲
page 2	美國一個軍人談論中國戰局
page 2	李廷安逝世
page 3	在美國的鼓勵下日本要在五年復興經濟經濟安定本部正草擬計劃謀逐漸恢復戰前生產水準
page 3	裕仁訪麥帥不知被稱呼做甚麼
page 3	新德里通信建國途中的印度
page 3	緬僧侶求總統赦免宇素一死
page 3	麥帥何其善忘澳報斥其讚揚日本
page 3	美國援英先運糧食第一批共值四千萬美元歐洲復興機構改稱經濟合作局
page 3	比內閣總辭
page 3	杜魯門將出巡定下月三日離開白宮赴各城市作政治旅行
page 3	羅馬尼亞全境展開整肅運動
page 3	英外交無辯論朝野兩黨唱和保守黨支援貝文政策
page 3	希政府濫殺共黨英人頗不以為然
page 3	美確考慮軍事援歐馬歇爾在眾院中予證實奧斯汀也喊加強友邦軍事力量
page 3	希內閣危機正副總理吵架
page 3	南韓兩領袖聯合聲明反對舉行局部的選舉宣布與北韓領袖獲七項協議
page 3	義總統不願蟬聯十日新總統前不返羅馬
page 3	西德工人反饑餓工潮擴大情勢嚴重
page 3	我國移民巴西不久就可開始郭泰祺發表談話
page 3	英拒延長聖地統治一般相信蘇將承認猶太國聯合國停戰委會與阿代表團會談
page 3	看日蝕數百專家在各地等候
page 3	聯大召開全會商討維護聖城
page 3	對奧和約問題四強禾獲協議蘇堅持修改疆界
page 3	阮景惠在越南奔走促成傀儡政府產生保大將再赴法國開談判
page 4	警察昨自白黎撤退汽艇巡邏防盜北竄前捕女子說是匪首表妹
page 4	華商會糾紛明朗化律師致函主席提出兩點質問革新派人又發表談話
page 4	便利遠東留英學生倫敦擬建交誼中心季思過港盛讚中國學生
page 4	參加工展本港代表在會場中會見英王英后說她喜歡吃糖薑
page 4	有獎儲蓄券兌換者寥寥
page 4	中華廠商會決定推動限制日貨入口運動
page 4	日昇工潮恢復談判勞資雙方尚有距離調處人請雙方再行考慮
page 4	高院判令遷移勝斯酒店不服
page 4	為醫姊病偷錢查出反被罰款
page 4	西環卑路乍街的悲劇幾年積蓄一旦蝕去夫妻雙雙變成瘋癲
page 4	續審殺的士司機案一被告自認在場但他事先不知亦未參加
page 4	為了名分未定少婦投海遇救
page 4	建築公共泳場計劃當局今年暫時放棄泳場管理暫行辦法延長一年
page 4	泳場管理暫行辦法
page 4	偽造一毫紙幣三被告昨受審一人認罪兩人自稱無關
page 4	三廟司祝公開投標
page 4	竹椅腳內藏煙土查出判刑九個月隨行小童交一婦人保育
page 4	乘客跳車斷足喪命
page 4	深水埔爆炸案兩傷者斃命
page 4	被控非禮少女富家子昨否認供辭涉及一西人
page 4	情侶被綑劫去財物
page 5	黃金市場突趨慘落定金大戶狂售新聞謠言環攻
page 5	國際金市依然看漲
