page 2	暴日對我認識錯誤就在這一點上
page 3	美日談話傳已破裂英國宣布艦隊東來越南日軍加緊作侵泰態勢英澳使節將訪問美國務部
page 3	英外相警告日本我官方表示欣慰
page 3	滇緬公路運輸量激增
page 3	泰政府考慮召集後備軍
page 3	仰光電台呼籲全亞洲團結共同赴湯蹈火抵抗日本
page 3	日恫嚇蘇聯氣比丸案要求賠償損失否則將以強暴手段對付
page 3	中央銀行鈔票將在西藏發行
page 3	德夫古柏抵奧克蘭
page 3	重慶冬景上
page 3	政院經濟會議擬定戰時勞動服役條例
page 3	滬美軍所遺防區傳一部由日接防
page 3	滬租界米店多家遭襲擊
page 3	陪都各界紀念防空節鄂省亦舉行紀念會
page 3	顧大使演說民主國必獲勝利
page 3	清華留美生已定期招考
page 3	糧食部擬定三年計劃徐堪手訂八點逐次實施
page 3	南昌外圍激戰我軍又克復重要據點中牟殘敵後路被切斷
page 3	韶關雜訊
page 3	防共協定五週紀念東京籌備慶祝
page 4	北非沙漠大戰里比亞邊境德軍被圍坦克車損失達四百輛
page 4	英軍撒開包圍網線德義遭遇內外夾攻
page 4	義南北非皆遭猛炸軸心航路大受威協
page 4	美人寄有重大期望蘇電台廣播非戰局
page 4	英國開闢新戰線北非戰場的瞻顧
page 4	維希內閣開會討論德國要求傳希特勒將會見貝當
page 4	史達林鼓勵前方將士特縮短陞遷期限
page 4	艾登邁斯基演說英蘇密切合作國際政策上無衝突無理由戰後更應合作致力和平
page 4	美煤礦工潮僵局迄未打開政府仍候勞方接納調解
page 4	德高級將領又一員陣亡
page 4	芬京又盛傳蘇芬將休戰
page 4	德軍猛攻莫斯科激戰達最高峰希特勒下令不計任何犧牲德宣傳佔領羅斯托夫
page 4	美日談話破裂
page 4	英艦隊已東來
page 5	網球慈善大比賽今午揭開戰幕二時半起在中華游樂會上演蔡惠全哈孟出場顯身手
page 5	義演雜掇鈴兒
page 5	網球在中國
page 5	嘉山甲組足球賽光華過江戰約瑟國際軍布新陣陳促賢統三軍雙方勢均力敵有劇爭
page 5	星島摧枯拉朽米軍走麥城五比一景祥英祺各兩球戰況平淡局勢成一面倒
page 5	東方大捷勝海軍六球
page 6	邊界日來平靜無事界外我游擊隊活躍日軍恐慌嚴限居民過境
page 6	港府昨公布法令多項加緊貿易統制礦產廢鐵棉油等入口須領證五金價格昨經規定公布
page 6	加軍遊覽酬酢忙對港氣候人情均感興趣軍警準備分批招待聯歡
page 6	青年會四十週年紀念昨日舉行慶祝晚間開游藝會情況熱鬧籌募基金已獲一萬餘元
page 6	蔣委員長令飭優待歸僑持有證明應予便利
page 6	冼秉熹律師將繼任保衛團副團長負責整理招足隊員三千特務警察在海旁建總部
page 6	英國節約券明年春季發行
page 6	粵分四區設發照處便利僑胞出入本港
page 6	嘉利對記者談和合石墳場將完成大角嘴建火葬場居民多反對石澳墳場遺骸限期遷葬
page 7	滬兩租界對一般零售物價全部實施管理違犯規定價格即予沒收今後平抑物價可望收效
page 7	法租界若干必需品業已宣布重訂限價
page 7	粵參會六次大會定下月中舉行鄒善群談提倡滑翔案已送請省府積極辦理
page 7	韶市政籌備處已正式成立明年元旦成立市警察局
page 7	農部在粵添設農場推廣北江農業
page 7	申匯市況靜穩美匯仍乏生氣
page 7	股票市況續趨好轉
page 7	國幣價格繼續上漲
page 7	海外商情
