page 2	泛論歐局
page 3	我不重視蘇日締約抗戰全局不受影響對蘇不再作表示仍靜觀維持友誼
page 3	陪都各報一致抨擊蘇聯達反中蘇協定
page 3	史汀生氏表示美應準備作戰名政論家李普曼促加緊援英
page 3	對於蘇日協定各國續有批評
page 3	蔣委長夫婦歡宴丘元榮
page 3	敵機連窺粵贛皖
page 3	省市臨參會條例國府修正公布湘臨會第二次大會開幕
page 3	敵機掠過滬市上空
page 3	倫敦泰晤士報撰文惜別郭使申述英國對我之同情郭氏向英相辭行
page 3	定黃帝誕辰為音樂節
page 3	敵閣召開會議近衛報告與蘇締約經過東條及川均承認日國力有限
page 3	滬租界華董中傳將加入漢奸
page 3	滬敵又捕人
page 3	浙車加緊反攻我軍向滬杭公路挺進
page 4	南國消息混沌柏林傳南已請求停戰領子電訊謂反攻正酣
page 4	華信爾遄返埃及應付德軍威脅將縮短防線退守梅薩馬特魯德坦克車千四百輛攻入埃境
page 4	飛行堡壘多架由美飛抵英國
page 4	本港英文南華早報論蘇日中立協定
page 4	大批義軍開抵法國為德軍填防
page 4	伊拉克加蘭尼組新閣
page 4	埃及內閣討論大局
page 4	多布魯克英軍反攻
page 4	英法日駐泰使節各有活動傳日壓迫泰國合作
page 4	土耳其表示對歐戰態度土境如受攻擊即將參戰伊斯坦坡美僑撤退
page 4	美總統請求追加陸軍預算共七萬二千餘萬
page 4	美國議會休假期滿將討論購買外輪案駐美丹使拒絕被召回國美國繼續承認丹使地位
page 4	美扣留船隻義再提抗議
page 4	中央亞細亞蘇聯邊境發生小衝突
page 4	增強自信
page 5	粵省籌備舉辦大規模企業公司擴大生產日用必需品以達平抑物價之目的
page 5	身擊囹圄不忘國難桂省永福在監人發起獻在監人號飛機
page 5	西康日記第十五編由麗江返昆明
page 5	桂露塘墾殖公司月中正式成立資本額暫定為一百五十萬元由美洲華僑及省府合資經營
page 5	瓊島文昌定安敵軍竄擾受創被我分途截擊損失慘重
page 5	中央大學林學會致書農林部請速成立林業實驗所
page 5	桂省府獎勵學術研究
page 5	苛捐雜稅粵省繼續廢除
page 5	楊華日談粵桂水利建設四行貸款桂省一千萬元將另組新機構負責辦理
page 6	美著名教育家孟祿博士昨抵港出席中華教育文化基金董事年會擬設法增派學生赴美實習
page 6	大嶼山島上擬闢建囚犯區考慮可行後即付諸實施解決本港監獄過擠問題
page 6	港九人口分配情形華人百廿六萬
page 6	商會昨日招待會席上鄺炳舜暢談中美貿易希望返美後與港商共謀商務發展美同情我國敵人之南進決不足慮
page 6	燈火管制演習明晚舉行日落開始遮蔽燈火警報指示交通停頓
page 6	救護總會規劃調整全省救護隊將由該會津貼服裝藥物杜絕不良分子藉名漁利
page 6	酒樓茶室等五行今日討論加價每茶一盅暫定起價一仙俟煤三元一擔即復原價
page 6	周守愚代表周崧歡宴鄺參政員由程天固五雲五等作陪
page 6	港陸空軍恢復演習開將繼續數日
page 6	滬五金日用品尚未禁止出口因有一部分為轉口貨日本貨大量運港推銷
page 6	女青年會設救傷班二十一日開課香港女青年會為適應戰
page 6	書畫展覽振災大會定下月二日舉行
page 6	壽星公練奶育嬰指導部恢復檢驗嬰兒
page 6	嶺南大學員生領受美大學獎金講師黃錫淩本年暑假赴美女生唐寶坤入韋爾斯大學
page 6	王蘊玉談菲島僑匯情形匯款每月達國幣千萬元閩省行港辦事處改分行
page 6	政府救濟米荒擬分區舉辦平糶撥出存米一部售與貧民昨運到米石二十餘萬包
page 7	督憲杯足球決賽華聯戰陣產生十一壯士能征慣戰較前近理想大家同心協力勝利可期
page 7	足球縱橫談十一
page 7	體壇漫筆上
page 7	中西田徑賽今日截止報名
page 7	光華足球隊征澳歸來成績頗不差
page 7	港澳足球賽戰陣將產生
page 7	恩德杯排球賽三強會戰有期比賽改在加山南華場東英大戰定廿七開火
page 7	晏榮杯賽明日開始報名
page 7	全港中學籃球賽下週揭開戰幕高級組各隊名單公布第一週賽程編定
page 7	外匯牌價均無變更美匯靜寂申匯仍穩
page 7	股票市況沉寂昨日成交僅一萬餘元
page 7	國幣市况淡而沉寂
