page 2	汎美會的新途徑
page 3	甬江南岸日軍肅清浙東我軍攻入蕭山
page 3	在華日本人民反戰同盟會在渝成立並舉行俘虜解放式會場情緒甚為激昂
page 3	國府明令褒揚謝英伯 
page 3	蔣委員長關懷粵民食余漢謀氏由渝返韶
page 3	大義滅親陳世英不願投偽贛黨部特予優待
page 3	滬日方報紙又肆意恫嚇謂被通緝及驅逐者偽組織將採有效處置
page 3	又少一漢奸尤逆漢文在滬被仇殺 
page 3	晉安邑偽軍被日軍繳械
page 3	黃河水利會與蓉各大學合作組林墾設計委會
page 3	津浦京滬兩路我游擊隊極活躍路軌車輛不時被大舉破壞大站十里外日兵不敢前往
page 3	陝省加緊查禁日貨成立專門辦理機關
page 3	政務巡視團西北組離甘返渝陳立夫留蘭休養
page 3	韶關大火焚去房屋三十餘幢
page 3	滬日海軍陸戰隊舉行實地演習蘇州河北宛如滬戰前夕
page 3	美國對遠東保持一貫政策不受內政變動之影響
page 3	英日妥協後日本猶有惋惜各家報紙大做文章  
page 3	川紳游光灼捐款勞軍國府特頒銀質獎章
page 3	滬偽海關監督變相增加稅率擅自提高關金單位價值
page 3	贛省黨部加強婦運規定三項辦法
page 3	屈映光由貴陽返重慶
page 3	今後國防經濟建設的重要性歷史上民族生存的定律二
page 3	晉南稷王山激戰中魯豫我軍迭獲小勝
page 4	齊亞諾離柏林德義談話結束羅馬高唱對英大進攻
page 4	羅斯福批准兩洋海軍案規定七年內建造完竣戰鬥艦將達三十五艘 
page 4	汎美大會今日開幕討論重心為經濟問題
page 4	韋爾斯分晤英法大使
page 4	法西斯報聲言無意干涉美洲
page 4	德機多架夜襲英倫沿岸南部海港曾被投彈兩方空戰頗形激烈
page 4	歐洲屏籓穩固蘇注視遠東對英日事態極表遺憾立愛拉將請加入蘇聯
page 4	真理報論近衛閣將成軍部傀儡日藏相人選昨已發表
page 4	日本軍閥又弱一個古莊幹郎病逝
page 4	美國購存錫與橡皮合同條文已發表
page 4	西班牙內戰四週年紀念墨索里尼電賀 
page 4	勞易喬治視察威爾士防務
page 4	德匈成立經濟協定加緊雙方經濟關係
page 4	荷蘭適用德國刑法海牙成立德法院
page 4	德義談話
page 4	美建兩洋艦隊
page 4	日民政黨醞釀內訌黨員不滿可田演說
page 4	關於西北交通二
page 4	蘇德義關係德義進攻英國之前勢須考慮對蘇關係 
page 5	江會我軍乘虛出擊汾水江展開激戰日偽狼狽退守沙堤橋
page 5	川省成立國民教育委員會義教民教兩委員會合併改稱自八月一日起實施國民教育
page 5	西康日記一二四第五編由榆林宮到梭坡 
page 5	南僑籌賑熱烈馬來亞募運貨車已達一百四十輛
page 5	粵民廳長警巡迴隊十二隊前日出發
page 5	日在廣州灣設立檢查支部日魚雷艦載來特務員總公使已由河內飛返
page 5	灕江雅集烽火中的文會 
page 5	粵一區專員馬耐園十六日在連縣就職
page 6	人口疏散進行蠕緩二批英婦孺下月赴澳洲粵僑期望當局予以指引
page 6	向菲島播音
page 6	結盧大嶼山
page 6	僑胞之期望
page 6	統考第二日秩序更良好惟缺場者多中外史地多與時事有關
page 6	港粵貨運恢復後有特殊關係者始可領取載位經過四重手續方得申領運輸米石每石獲利數元
page 6	運貨手續非常繁難
page 6	輸運米石獲利最厚
page 6	四大書局統一加成辦法減低折合率無異於減價定下月一日起實行
page 6	潮帮廣帮演全武行
page 6	前晚潮安碼頭兩幫苦力鬥毆爭為米店運米發生爭執結果捕七人有兩人受傷
page 6	華探彈壓鳴槍示威
page 6	潘小萼返港
page 6	傳訊鴿登記
page 6	本港人口減少
page 6	美人在台被扣
page 6	大隊警探馳至拘捕
page 6	蔡楚生新作前程萬里拍攝近況頗稱順利
page 6	節建儲運基督教團體積極推行第一期成績將達廿萬元聖保羅女書院工友購券
page 6	巴拿馬僑民
page 6	歐美來貨短絀日貨大量傾銷疋頭紙料海味源源而來港粵貨運恢復將更活躍
page 6	英婦孺赴澳
page 7	夏令籃球賽昨日戰績漢華克民大鮀青勝華僑
page 7	百樂無往不利
page 7	東方南征結束昨啟程返港和和杯賽勢將中止舉行但協會方面未接得報告 
page 7	東方體育會舉辦象棋賽
page 7	本年上半年度股票市漲落巨大三月份最旺盛六月份最慘淡歐洲戰局影響投機者多破產
page 7	公開乙組籃球今晚兩場長虹對抗精勵預料必有惡戰
page 7	滬合眾杯籃球戰事白熱化百樂人材濟濟四戰四勝群毅迭逢強敵苦戰不休
page 7	友聯擊退群毅 
page 7	南岷之役
