page 2	社評重慶今後的空防
page 3	戰局大勢側重鄂贛鄂北挫Ｘ鄂南進逼羊樓司我空軍飛三水轟炸Ｘ陣地
page 3	贛戰仍烈牛行得而復失
page 3	鄂北激戰鄂南曾克咸寗
page 3	豫晉穩定我破壞平綏路
page 3	我游擊隊縱橫廣州市內進襲台彎銀行分行刺刀殺死Ｘ軍三人
page 3	粵建廳長將由朱暉日繼任
page 3	河北在我們手中三重慶航訊
page 3	滬Ｘ非法捕人在福來飯店內拘走食客五名
page 3	白主任抵粵北召集黨政軍長官訓話認粵政治有極大革新
page 3	皖南我軍迭克重要據點
page 3	Ｘ機襲浙金華寧波慘遭轟炸
page 3	駐鄂偽軍胡笠武等反正
page 3	陳介遊漢堡參觀博物院
page 3	蔣委員長電謝英議員吾人為世界和平奮鬥望諸君維持公道真理
page 3	兩種公債昨日在滬抽籤
page 3	冀南漢奸紛紛悔悟投誠
page 3	華中偽銀行昨日未能開市
page 3	開發滇省資源華僑調查團考察完畢經過會商後開始辦理四月廾八日恩源寄自昆明
page 3	我外交部力爭滬市民懸旗自由對取締華文報紙言論亦向英使館提出交涉
page 3	厦門附近我軍確甚活躍Ｘ發言人自承
page 3	重慶美僑正義的呼聲電美當局勿以貨品輸日我駐英使館發重要聲明
page 3	五九之夜虹口起火焚燬碼頭棉花
page 3	東京化學廠爆炸結果死傷二百七十餘人
page 3	兩次空襲死傷三千
page 4	蘇聯官方宣布英國對案內容蘇主張須互相保證將對英另提新建議
page 4	英蘇外交當局繼續談話張伯倫將報告
page 4	波丹金抵華沙蘇波接近羅接受蘇保證
page 4	張伯倫否認向德提保證蘇德亦均闢斥進行談判流言
page 4	赫爾呼籲和平主召開國際會議教皇亦表示和平願望但否認發起五強會商
page 4	日南進政策與暹羅四
page 4	蘇聯艦隊現訪新加坡即赴海參崴
page 4	墨索里尼閱軍發表演說自誇實力雄厚
page 4	英徵兵法案下月內實施後備補充役法案在眾院二讀通過
page 4	越南限制生鐵運日法日新通商協定當局正在研究中
page 4	法國務會議今日上午舉行
page 4	侵略者若敢進攻紅軍必予殲滅軍官學校畢業生夜伏羅希洛夫之豪語
page 4	德外長返國晉謁希特勒報告在義談判經過戈林赴西晤弗朗哥
page 4	史丹萊表示英德商務談判暫時無重開可能德對外貿易銳減
page 4	印度感受日本威脅
page 4	比陸軍部長報告空防經費分配詳細情形
page 4	義增兵里比亞英關心埃防務里比亞總督訪問開羅竭力向埃當局表好感
page 4	國聯行政院本月十五日開會英外相後日啟程
page 4	英眾院討論遠東航運問題史丹萊謂政府正考慮航運委員會所提報告
page 4	德國在北歐又碰了釘子四國外長會議結果決定拒絕德國建議
page 4	英蘇交涉
page 4	上海租界
page 4	羅斯福調解礦業工潮勞資雙方代表正在進行談判
page 4	英報重視中日局勢
page 5	會城展開殲滅戰殘Ｘ向岡州路突圍都會江咀一帶戰況劇烈城西Ｘ我仍在沙隄對峙
page 5	濫炸汕頭四日粵省府撥欵振災官民協力救濟災黎
page 5	粵參議會秘書長鄭豐談參議會籌備情形定期開首次會參議員多報到會期定十五天限期截收提案
page 5	韋雲淞負責南路軍事
page 5	叙昆鐵路局長沈昌辭職日內即將離滇
page 5	粵省務會議決定各縣設立縣稅捐征收處佛岡新興五華縣長更換
page 5	徐聞禁柴出口
page 5	　山行原始社會的巡禮四
page 6	吳菊芳召集省賬會委員談話報告省賬會今後之工作何香凝等致詞語極沉痛
page 6	商華總會秘密會議討論停辦圖書館理由經費不敷地方缺乏反對者甚多無結果而散
page 6	蘇聯艦隊中止來港今日離菲赴海參威
page 6	閨秀名流義演練習期中素描痌　抱排演極為努力成績斐然唱作具臻佳妙
page 6	焚燬公債的弊害對國家是否有益不可知放棄債權可交財部註銷
page 6	建築商興建新屋一處在亞皆老街一處近拔萃書院
page 6	中工合作社推進委會明日舉行茶敘中國工業合作社香港推
page 7	公開網球雙打賽徐家將再度稱霸三比一戰勝何家鎏李汝榮頒獎典禮後全部功德圓滿
page 7	菲行瑣記
page 7	港菲足球界規定每年比賽日期二月港隊赴菲四月菲隊訪港
page 7	世運田徑節目略有更改
page 7	籃球義賽集全港名手星期六演出
page 7	我台杯實力不在歐美之下許承基蔡惠全成績優良外人觀察法國將遭淘汰
page 7	菲台杯選手十八日來港赴美
page 7	荷匯稍縮一咽英美匯市況穩靜申匯市況亦穩靜買賣均不多
page 7	股票繼續上騰半日成交逾十四萬元匯豐銀行股票買賣最多
page 7	米市略淡
page 7	生粉趨漲
page 7	英金不動英銀俱跌
