page 2	社評民主國家軍工廠的展望
page 3	邵大使電政府報告蘇聯不變對華關係陪都觀察易貨協定當繼續有效新外長郭泰祺離英飛美返國
page 3	蘇日簽約後澳洲加強警戒決聯合遠東英屬土抵抗侵略
page 3	泰越問題未了邊境糾紛迭起加藤赴任圖疏通維希承諾泰國所提各要求
page 3	滬華董問題仍懸而未決
page 3	話說當今英格蘭拾民治國家特色之一蕭乾倫敦航信
page 3	甘綏寧各界祭成吉思汗
page 3	日汪歹徒到處投彈汪紙行曾被火燒
page 3	紗布內運獎勵辦法經濟部已擬定
page 3	出錢勞軍陪都捐得四百萬元
page 3	日閥又擬發動外交新攻勢俟松岡返國將開會議
page 3	德經濟團將訪日本月底可抵東京
page 3	閩省貿易公司改變營業方針
page 3	湘教育建設積極進行中
page 3	美總統公子奉命飛來遠東向艦隊司令有所報告
page 3	日機昨犯湘
page 3	滬綁匪猖獗圖綁陸以銘不遂竟將其兩子架去
page 3	贛北我軍迫安義浙東殘日南犯正激戰中
page 3	贛北奏捷前後
page 3	荷蘭海軍增強
page 3	德秘密警察傳抵滬活動
page 4	西馬其頓前線聯軍作有秩序撤退希戰進入嚴重階段
page 4	德軍傾其全力集中三點攻擊
page 4	南軍全部投降
page 4	德機傾巢助陣
page 4	北非戰訊沉寂英機極活躍德義機場械庫皆遭空襲英海軍砲轟巴第亞
page 4	英國主力艦喬治五世素描艦身足以抵抗任何攻擊砲火綿密突襲勢難得逞
page 4	西歐展開激烈空戰倫敦柏林皆遭轟炸
page 4	英首相將報告戰局
page 4	錫考斯基行抵紐約波捷僑民熱烈歡迎
page 4	羅斯福總統威望益隆民眾大部表絕對信賴
page 4	美國精神動員總統促國人摒除陋習擧國動員以促進國防
page 4	美參議院檢討國防程序海長諾克斯出任諮詢人海軍器材陸續接濟英國
page 4	美財長摩根韜籌劃開徵新稅下年度不敷額達三十餘萬萬
page 4	議員關懷護航問題
page 4	美國加強各地防空佈置平民踴躍參加擔任瞭望
page 4	納粹將攻英
page 4	蘇聯之解釋
page 5	督憲杯足球決賽華聯隊三戰西聯雙方均出全力愉園勢有惡鬥錦標得失全繫今日一戰
page 5	足球縱橫談三
page 5	德權鼎小球賽今天三場慶昌少強有惡戰
page 5	東方征菲籃球隊在港賽程編定廿二晚首戰星島假中青會籃球房舉行
page 5	球圃菜根集五十上
page 5	五邑杯賽昨日戰績
page 5	銀行聯會公布球賽秩序
page 5	華人青年會舉行健康運動
page 5	東方籃球征菲軍最後兩戰華聯一勝一負足見主隊實力雄厚全隊定今夜離菲北返
page 5	學界籃球廿一開賽
page 6	中華教育基金會年會昨舉行正式會議通過補助費案二十一起任滿各職員大致均連任
page 6	慈善音樂會今明兩晚舉行華南婦女節制分會主辦夏理柯趙不煒參加演奏
page 6	日本國內已有分裂現象民眾不滿軍人取舉妄動海陸軍間暗鬥裂痕現深
page 6	德貞歌詠團聯歡慶祝今晚舉行聚餐會
page 6	前晚燈火管制成績不甚良好上空視察發現無數燈火銅鑼灣艇戶燈火未盡熄
page 6	港九人口一百三十萬名街邊露宿者數達二萬人最近調查成績足稱詳確
page 6	營養委會發表荳奶荳餅製法簡單價廉而又富於營養可用作食糧可將之哺嬰
page 6	商務印書館工友捐款勞軍
page 6	梁又銘個展昨日開幕今日最後一天
page 6	四行決繼續負責調劑滬市金融某要員談絕不放棄使命希望往來各戶不必恐慌
page 6	青支會舉辦單車競賽下月十日舉行
page 6	全港中學生文藝競賽揭曉冠軍為中華中學劉世植
page 6	世界僑教協進會籌備將告就緒發起人昨宣佈發動緣起歡迎熱心僑教人士參加
page 6	英皇書院舉行歌詠比賽
page 7	巡視七區災情林時清暢談觀感今後應健全團隊組織決澈底肅清區內散匪
page 7	江南我軍反攻一度克乍浦日軍倉皇應戰被殲甚眾
page 7	東江沿海日軍大舉搶奪糧食淪陷區民眾受禍慘重
page 7	粵桂湘省各地日機連日肆虐桂林着手疏散人口物資
page 7	外匯牌價不動美匯市況略緊
page 7	國幣市況依然平淡
page 7	股票市況靜滯人心渙散買賣寥落
page 7	四四金市略見起色
