page 2	社評日本的民眾還不起來嗎
page 3	粵北我軍繞襲新街殘日後路已被切斷國泰肅清軍田附近搜剿中
page 3	潛江日軍動搖隨縣入我包圍
page 3	中條山北我繼續掃蕩長子壺關在猛攻中
page 3	豫北我軍出擊獲勝利綏東綏南亦有斬獲
page 3	在日偽操縱下華北糧荒情勢嚴重麵粉公私價相差極鉅貧苦階級有絕糧之虞
page 3	崑崙血戰紀三
page 3	南洋各地僑胞組回國慰勞團蔣委長電覆陳嘉庚表示嘉獎
page 3	滬米商黃慶平被人強行綁架無踪
page 3	日運輪艦在皖南被擊傷
page 3	英議員克利浦由滇抵渝相信改造世界偉業中國實佔重要地位
page 3	焦作煤礦英職員備受日軍壓迫雖欲隻身赴平亦不可得英使出面交涉尚無結果
page 3	青島碼頭日方又開放一處
page 3	日軍車一列在平漢北段被炸燬
page 3	日偽狼狽為奸霸佔滬北土地組織所謂地產公司從事經營再轉租人民
page 3	桂省府嚴禁放火燒山並將嚴辦縱火者
page 3	美使詹森今日離平南下
page 3	日對外貿易去年度實際仍入超
page 3	汪兆銘眾叛親離高宗武陶希聖等離滬傳陳公博亦在同行中
page 3	李主席電港請救濟粵災民民廳派員赴戰區視察並擬款撫䘏遭難家屬
page 3	長沙壯丁踴躍入伍
page 4	阿部內閣昨倒坍米內奉命組閣重臣一度擬薦畑俊六
page 4	阿部內閣坍台經過
page 4	貴州縱行記續西南巡禮之一
page 4	蘇機四百架轟炸芬蘭西南部東線蘇軍進攻不逞卡列利亞戰況沉寂
page 4	波境蘇德軍實行密切合作兩軍聯駐波羅邊界便利國煤油運德
page 4	看米內怎樣組閣
page 4	埃經濟代表團三月初赴日參觀
page 4	法西商約定期正式簽字
page 4	英報所傳之德和平計劃臚列條件內容離奇
page 4	英機飛北海襲德驅逐艦西線大砲較前活躍
page 4	西門廣播演講決作戰到底籲請全國準備犧牲德國造謠詆譭英軍
page 4	我發展運輸路線積極增築鐵路公路以便推廣土貨輸出
page 4	荷比警戒軍隊不許請假
page 4	傳德派代表赴北歐活動並向各國提出兩項條件誘令拒絕英法假道援芬
page 4	美海陸軍週報論美日關係兩國關係將續臻嚴重狀態我勞工團體促美對日禁運
page 4	失道寡助
page 4	哀阿部
page 5	東江南岸我軍進攻石龍起激戰數席短兵相接殲日兵二百餘日兩路來援均遭擊退
page 5	西線日軍抽調空虛砲擊鶴山沿岸虛張聲勢江會戰事依然沉寂
page 5	西康日記四二
page 5	桂省發動發眾招待傷兵
page 5	東北抗日聯軍突襲德都攻入城內怖告安民
page 5	閩省積極提倡生產植物油推廣植物油產銷合作社每縣貸款五萬作為資金
page 5	閩登記錄用失業技工凡有一技之長均可請求登記
page 5	瓊崖海口日軍戒嚴日機裝運食品接濟桂南殘部
page 5	晉東南一帶日兵厭戰在前線發傳單要求停止侵略
page 5	李宗黃廣播講演新縣制之實際重慶航訊三
page 5	淪陷區地名鈔票行使辦法有特殊情形者仍照舊案辦理其餘不分地名均可通用
page 6	紅十字會理監事昨舉行聯席會議會長王正延述會務概况今晨討論提案下午閉會
page 6	袁美雲路明徐琴芳由滬來港將分別主演古裝片張善琨陳鏗然同來
page 6	港府公務員將可離港渡假有人提議當局尚未決定或將召集會議切實討論
page 6	琴齋書舍書展之熱鬧各校員生到場參觀求學者眾特設夜班
page 6	灣仔區自衛團員昨開聯歡大會
page 6	李佑泉函辭各要職
page 6	當局計劃闢新墳場將在新界擇地
page 6	世界語學會召開十屆會員大會
page 6	港內賭窟達五百家每日吸收現金六七萬元賭具五花八門應有盡有
page 6	港澳賑濟會今日召開成立會
page 6	新稅研究會工作已竣事報告書草稿亦經擬出審定後即可呈交政府
page 6	會文堂書局週年紀念半價兩週
page 7	愉園足球精采戰東方勢如破竹四比一聖約瑟遭慘敗
page 7	東華喪師記三比六意外敗於法商隊裁判存心偏袒非戰之罪
page 7	阿鍾妙傳李四銅頭開紀錄
page 7	再動干戈東方一連取三關
page 7	旭和杯賽陸軍陣容排出
page 7	伯南杯義賽得國幣四千多
page 7	甲組聯賽最近形勢
page 7	雛鳳將士用命四比三贏警察
page 7	兒童游樂協會舉行注冊
page 7	大生杯排球賽開代表會
page 7	棒球慈善賽美艦勝香港
page 7	歐戰後港對歐貿易銳減三千餘萬元美日貨物乘機活躍大見增加
