page 2	社評戰時財政的幾個問題
page 3	美總統接見日代表重申美國政策不變日閣討論對策結果未宣布
page 3	參政會對政府建議撮要
page 3	英報讜論美日談話勢將破裂
page 3	英大批援軍又開抵星洲
page 3	美菲緊急會商菲官方認時局嚴重
page 3	倫敦觀感對美日關係紛加揣測英報警告日本勿冒險
page 3	美態度堅強我表示欣慰王部長發表談話
page 3	越敵之陰謀趕修一通滇邊公路
page 3	賀屋狂吠肆意攻擊敵性國家力主解決中國事件
page 3	荷印準備完成空軍威力尤足驚人特都拉等即離美返荷印
page 3	保衛滇緬路美將組陸地護航隊保證作戰物資運華
page 3	孫院長論美日談話盼美國堅持經濟封鎖東四省問題為遠東和平樞紐我必抗戰到底收復全部失地
page 3	龍主席對滇省府職員訓話應有戰死守土決心
page 3	泰國防部提議作戰爭之準備
page 3	英美保證泰國獨立越敵國運頻繁似圖蠢動泰國務院長促泰人備戰
page 3	中埃關係密切雙方商洽交換使節
page 3	檀島美軍警戒武裝部隊奉令巡邏
page 3	澳外長談話日倘採進一步行動英國不能袖手旁觀
page 4	莫斯科兩翼德軍續獲進展加里寧蘇軍改取攻勢
page 4	滬美海軍陸戰隊最後一批撤退黃浦灘頭人山人海平美大使館重申撤僑令
page 4	史坦因哈特謁羅斯福報告蘇聯情況
page 4	美駐華海軍撤退問題
page 4	澳紐軍會師後交通線愈鞏固多布魯克守軍俘敵二千
page 4	陪都澈底進行平抑物價有關機關正分頭進行
page 4	菲要求取消糖出口協定現正向華府交涉中
page 4	引誘維希入彀德義意見分歧長敗國堅持領土要求德國反對認時機未到
page 4	北非英軍保持聯繫敵軍謀衝破包圍網埃邊境德軍已被擊潰
page 4	美秘密武器可以遠淵船隻飛機
page 4	東地中海英艦隊佈成封鎖網截斷軸心海上接濟
page 4	美與阿根廷成立鎢礦協定由美收購全部鎢礦杜絕日人高價收買
page 4	下沉之太陽
page 4	英政府提出動員人民案
page 4	李維諾夫抵新加坡
page 4	渝昆文化界追悼泰戈爾
page 4	公達爾義軍投降羅馬官方已承認
page 4	美海軍利器鋁屬驅逐艦設計中速率達五十二海里
page 4	美援英蘇工作有長足進展紅海區興建碼頭路軌近東交通線正改善中
page 5	實施人力總動員國民勞動服役條例擬定即由政院經濟會議公布實行
page 5	議程輪廓二二屆參政會二次大會旁聽記
page 5	傷兵慰問組返韶暢談前方近況犒軍十一單位士氣均極旺盛官兵咸有第一個入廣州豪語
page 5	村街長實行民選桂市積極進行市長陳恩元在紀念週之報告
page 5	朝嶽進香湘省禁止前往
page 5	粵計劃開闢八大驛運線全程共長約三千公里將分為四期進行
page 5	桂市七個月中犯罪統計賭博案人數最多
page 5	厓門敵軍被迫撤退古井殘餘不難肅清
page 5	粵僑資墾殖會開辦馬壩墾區事業費第一年約需八十萬闢地千餘畝建設僑樂新村
page 5	韶關一周
page 5	特侶塘水利粵積極建設中
page 6	保衛香港大演習今日完全進入戰時狀態港防軍民眾部隊總動員
page 6	防了部隊實行動員警察武裝保衛市區舉行轟炸式嚴擲彈演習
page 6	防空燈火管制演習　　　　　　　　警報發出後交通全停頓
page 6	中央海軍學校招生取錄港生三名全國共錄取新生二百名港　成績良好均列前茅
page 6	馮公夏在聯青社餐會講戰爭與物價比較兩次大戰物價情形指出戰物價上漲原因
page 6	港督昨參觀古畫展覽
page 6	旅港洪門同志歡宴司徒美堂司徒氏暢談返國之感想張子廉代表港同志歡迎
page 6	中委陳慶雲等飛渝出席會議九中全會下月中旬舉行留港中委現已奉到通告
page 6	國外華北僑業協會昨日在思豪舉行談話會積極進行徵求會員參加
page 7	大坑村網球義賽今午繼續上演蔡惠全對陶冠球單打有噱頭哈孟戰大徐必有劇爭
page 7	足球賽全部改期有史以來第一次
page 7	校際籃球賽頒獎有期今日開會決定
page 7	追念高頓北我怕心傷怕引起了我的愁腸祝跛老早昇天國
page 7	世界重量級拳王喬路易下野入伍當兵勝諾瓦為最後一次喬已成巨富拳壇第一人
page 7	文治排球賽定今日頒獎
page 7	居聯排籃義演全部改期
page 7	怒潮籃球厲害本報出師不利二九比五二輪得好慘下月三日向星島挑戰
page 7	申匯市況仍屬靜穩英匯美匯依然沉寂
page 7	股票轉趨鬆弛昨日成交共十七萬餘元
page 7	滬標金價先漲後降
page 7	國幣價格仍甚堅挺
