page 2	社評英國對日通牒以後
page 3	從化一帶仍有激戰湘鄂贛邊游擊隊大活躍風陵渡側我克重要據點
page 3	我夜襲包頭
page 3	行政院昨決議改組湘陝兩省府薛岳任湖南省主席
page 3	湘鄂我軍光榮的戰績
page 3	津Ｘ擾亂租界闖入大北道架人
page 3	滬救國捐
page 3	巴縣監獄囚犯感化隊第一批受訓完畢將走上前線殺Ｘ
page 3	國聯行政院會議昨日討論中日爭端代表舉行各別談話
page 3	美艦隊司令今日由滬赴蕪
page 3	悖入悖出漢奸家中被盜
page 3	廣東西北區
page 3	王纘緒返蓉談今後施政一本領袖指示推進抓住時機為國效力
page 3	我政界注意漁約僵局蘇方態度極堅定不同情日方論據
page 3	賭窟殺人滬飯店侍役跳樓
page 3	有田窘了所謂外交政策還是那麽一套
page 3	徵募戰士鞋襪中央社會部制定辦法
page 3	侵略教育Ｘ人着着進行
page 3	滬Ｘ勒索迫居民領銅牌
page 3	傀儡怪劇日本又導演了一齣異哉所謂防共協定
page 3	川湘公路事項由西南運輸局接管
page 3	蔣委員長獎勵黨員讀書擬就應讀書籍一覽表
page 4	英對日本正在考慮經濟報復英將再貸華二百萬鎊重慶熱烈讚揚英照會
page 4	英報強調聲稱英美須共同行動
page 4	日將答覆英美日報情急不擇辭
page 4	法將照會日本美國務院未評論
page 4	秘密文件案高爾定夫婦即將公開受審
page 4	希特勒接見匈外長薩基磋商關於兩各問題勾引工作已完全成功
page 4	但澤專員布哈特克辭職說不確
page 4	齊亞諾赴南斯拉夫京城
page 4	南國議會改選後首次開會
page 4	廣東南路地形
page 4	墨西哥總統將聘問華盛頓謀解決兩國貿易競爭甘瑪佐將繼任墨總統
page 4	德外長將提前聘波
page 4	羅斯福咨國會擴充社會保險法濟老憐貧增加救濟金
page 4	義國輿論界又作猛烈反法論調蓋達撰文抨擊法政府東非義軍抵法屬邊境
page 4	叙利亞內政部長宣稱欲得完全獨立
page 4	伊拉克總理否認不出席巴會
page 4	德土成立放欵協定德向土政府放欵一萬五千萬馬克
page 4	北愛爾蘭遏止境內騷亂內政部長裴資談話決軟禁共和軍領袖
page 4	美國購銀問題白銀派主張禁購外銀政府方面似不至採納
page 4	多瑙河流域各國會議討論商船協定
page 4	西班牙人民決英勇抗戰西駐英使舘發表宣言叛軍飛機襲巴薩隆納
page 4	捷匈邊境匈波集中軍隊
page 4	巴西外長下週赴美
page 4	日本的知己
page 4	德匈勾結成功
page 5	西江南路形勢轉緊北海高雷連日被炸貨渡民船炸沉數艘死傷十餘人潿洲島Ｘ築機場將組偽維持會
page 5	領袖最近的指示第一期三陛段抗戰所獲戰果極大今後抗戰有九要旨治軍有四要領
page 5	西江迂迴記
page 5	中山大學
page 5	瓊崖定下月某日開戰時行政會議十四區游擊部停止辦公守備部將改組為警備部
page 5	汕頭市長張虞韶尚未履新高信曾三省赴西江南路督導黨務
page 5	惠陽善後會改善救濟三辦法實行寓賑於教養工
page 5	澳門經濟局弛禁糧食今日可望實行
page 5	高要辦藥散賑
page 5	澳門演劇籌款
page 5	廣州灣響應還債
page 6	僑委會訓令僑胞應努力推行節約俾得增加戰時經濟力量頒佈大綱參酌環境遵行
page 6	本港上年度貿易破紀錄總額十一萬三千萬較前年增四千餘萬
page 6	君將結婚與讌客乎
page 6	中華廠商聯合會續辦國貨展覽會日期暫定二月十九日規模均較去年為宏大
page 6	英艦救護漁艇一艘
page 6	教聯會響應還債運動昨擬定辦法十項商會共收千三百
page 6	金山歸客話廣州
page 6	前省財局長麥健曾過港談粵自衛團組織前廣州財政局長麥健
page 6	香港南華日報林柏生昨被狙擊德輔道中被兩工人猛襲頭頸均為鐵錘擊傷甚重
page 6	華茶出口集中香港去年出入口額均達千六百萬
page 7	連日大戰全軍疲勞南華敗於全西貢結果三比一劉松生初建功勳麗華杯賽總會擬邀請李惠堂出馬
page 7	女子籃球今晚比賽三場
page 7	本屆世運美國開始籌備
page 7	抗戰期中的體育問題
page 7	東方體育會成立籃球隊
page 7	前世界拳王馬克斯比爾將拍演武俠影片
page 7	香港學界體育會決定工作進行方案本年會務計劃將分四期推進
page 7	荷瑞滙價略回漲英匯美匯仍乏生氣申匯市况再略趨淡
page 7	股票市仍無轉機昨日成交數量依然稀少預料最近期間不易見好
page 7	八九金市趨勢穩靜較前漲一毫零五文
page 7	英金不動英銀續跌
page 7	金條略有成交
page 7	財部商定四辦法收集川康金銀組採購委會實施收兌
page 7	米市疲弱
