page 2	社評德國現勢與反侵略談判
page 3	天津情勢嚴重英國考慮報復手段英美法三國保持密切接觸日方聲稱將和平侵入租界
page 3	封鎖情形日擬施煽動伎倆
page 3	英採報復日本態度仍頑強
page 3	排英傳單在交界寺方散放
page 3	日閣會議擬迫英接納要求
page 3	法報著論擅述日封鎖動機
page 3	一週戰況自五月九日至十五日軍事委員會發表
page 3	Ｘ艦三艘封鎖鼓浪嶼居民發生糧恐慌
page 3	國府命令嘉獎鄂省專員
page 3	Ｘ準備對我總攻各路均加緊佈置
page 4	史德隆交謁蘇外長商英蘇間問題並提出英方新折衷案法土協定祗兩點待決
page 4	英土波三國商軍事合作英軍代團抵土京波代表團抵倫敦
page 4	羅外長聘土任務完畢土政界設宴餞別
page 4	英增設情報部內閣在考慮中張伯倫定昨日提出報告
page 4	英王抵夏羅德受朝野熱烈歡迎加犯人蒙恩減刑
page 4	德軍二十五萬人集中斯波邊境野心勃勃圖再併斯省官方否認乃掩飾慣技
page 4	Ｘ閥發動戰爭結果人民受累所謂新物資動員計劃實際即剝削民脂民膏
page 4	我代表李平衡在國勞會演說贊同羅斯福總統提議召開全世界經濟會議
page 4	Ｘ駐德義大使在柏林開會對加強反共公約將企圖促其實現
page 4	堅忍抗戰自力更生孔院長對全國民眾廣播
page 4	英議會創舉共產黨議員加萊轍放映黨宣傳影片
page 4	暴徒何來
page 5	連Ｘ又出擾睦洲三江形勢頗緊難民逃亡三埠輪渡尚開
page 5	粵振會救濟難民組工程式隊籌設工廠
page 5	中山女救護隊員楊麗容女士之死這種死是由Ｘ人濫殺的
page 5	韶關零簡年撥十虧充實自治各縣黨費本月加增
page 5	伍智梅談督導黨務抵四邑各縣民眾抗戰情殷
page 5	Ｘ機艦肆擾潮汕緊張Ｘ有四艦泊汕海
page 5	戰雲籠罩的中山沿海視察記三
page 5	普寧從戎受獎
page 6	七七二周年將屆港僑籌備隆重紀念售花籌款辦法昨日決定肉行停屠酒樓茶室賣素救護團體擬聯合追悼殉職人員
page 6	菲島僑胞七七義舉
page 6	金銀貿易場昨選舉新職員鍾達清伍宜孫蟬聯主席撫卹華探尹文贈二百元
page 6	草裙春色皇后戲院優先獻演
page 6	黎明之前今日公演記聯合公演的四齣戲
page 6	香港學賑會青年
page 6	駐港英印兵昨晚軍事演習由海軍作假想敵來攻陸軍則協同空軍防守
page 7	明年世運田賽預選美反對提高標準認為違背奧林匹克之精神希望國際體協會收回成命
page 7	上海田徑收獲美滿創八項新紀錄華人實力分散屈居人後
page 7	名將大會串網球義賽醞釀組織中
page 7	南華出師仰光電港請救兵惠堂公務纏身無意歸隊李碩麥紹漢消息沉沉
page 7	一九四０年冬季世運內定二月初旬舉行
page 7	游泳對抗鍾聲不敵域多利
page 7	法國網球男子單打戰績
