page 2	美國大選的展望
page 3	宜當日軍陷於疲困襄河渡口被我控制湘北我軍向岳陽外圍突擊南昌近郊連日進展極順利
page 3	越南局勢嚴重滇省鎮靜應付文山縣民發起組織民軍以便保衛疆土為國效命
page 3	日機襲渝受創被擊落三架美蘇德使館均中彈
page 3	滇越車失事案公司承認賠償所款已交由我官方轉發 
page 3	汪屬偽軍在滬綁人被捕房擒獲解法院訊辦
page 3	滬暗殺案陳國義傷重殞命兇手一逃一被捕
page 3	傀儡溥儀赴日朝拜
page 3	南鄭縣壯丁踴躍投效陝軍管區傳令嘉勉 
page 3	翁部長演講工業建設祗要力行不怕落後迎頭趕上並非難事
page 3	雷鳴遠神甫在渝病逝蔣委長派員治喪
page 3	國府續令通緝附逆有據份子
page 3	大學畢業學生政府力謀安插後方建設事業需要入材甚我
page 3	滬大美晚報爆炸案犯被捕係該報僕役被外間收買
page 3	滇中蘇文協電慰蘇大使
page 3	西南建設與法幣問題
page 3	越南方面情勢愈緊張日人仍藉端製造口實桂南日軍向越邊推進
page 4	歐洲海戰醞釀中英軍出動偵察曾與德軍發生接觸非洲戰事英佔優勢 
page 4	英議會辯論檢討法國媾和原因
page 4	法國之投降英政府在貴院報告
page 4	貝當之妙論屈辱投 降仍謂光榮
page 4	日新黨運動滿途荊棘民政黨表示不改易黨名煨俊六告誡部屬勿妄言
page 4	美注視日行動對荷印現狀尤表關切巴拿馬運河地帶加強警戒傳一部分艦隊已調往演習
page 4	行政院例會討論歐局以及越南問題通過粵總概算審查報告
page 4	蘇德義對羅傳已有默契德國勸告羅馬尼亞將比沙拉比亞予蘇
page 4	法國海軍之謎 
page 4	委曲不能求全
page 4	悼雷鳴遠神甫
page 4	美共和黨決定外交政綱對民治國家表同情擁護建造強大海軍
page 4	美國對日軍火貿易三年來的清算中
page 4	德義官方發表對法休戰條款
page 5	港韶交通中斷沙魚涌昨晨淪陷全墟發生大火午後猶未熄滅惠屬沿海岸展開血戰
page 5	日軍大舉攻陷澳頭
page 5	鎮隆穩定惠城被炸
page 5	上海黃金黑市場內幕之一斑興風作浪任意投機操縱結果社會騷然市民叫苦
page 5	參加的商號
page 5	影響了民生 
page 5	造孽的一群
page 5	粵省兵役協會徵求征屬之友第一期徵求二十萬人以撫慰五萬戶為標準
page 5	桂省各界籌建傷亡將士公墓定七七紀念日舉行奠基禮全部建築費預計二十萬元
page 5	鶴山邊境緊張我嚴密戒備日軍犯黃寶坑不逞岐澳交通又遭封鎖 
page 5	淡水方面我軍勇戰
page 6	本港實施預防措置深圳河兩橋拆毀港義勇軍並無動員情事官方否認軍火經港運華
page 6	要隘防衛佈置
page 6	嚴查來往人口
page 6	嶺大昨舉行授予學位典禮碩士二人學士四十八人到校董來賓等五百餘眾
page 6	港府勸告難民回鄉謂與日軍商定辦法
page 6	日軍再築機場  
page 6	畢業生題名
page 6	領獎生題名
page 6	勳位名單
page 6	七七紀念
page 6	華僑中學
page 6	無線電學院 
page 6	筲箕灣小學
page 6	餐室工會 
page 6	政府華員會
page 6	藝術觀賞會現代畫展今明兩日舉行出品百餘點應有盡有地點在馮平山圖書館
page 6	廣州灣謠諑繁興人心浮動米糧百貨漲價碼頭候輪者達七千之眾
page 6	準備徵用汽車
page 6	憲報昨發號外頒佈新國防則例擴大非常時期政府權限使與英政府之權限劃一 
page 7	昨晚公開籃球戰培英壓倒鐘聲四十八比四十四戰事激烈中青甲勢雄大勝華僑
page 7	光華會球隊月底征澳廖延楷任領隊
page 7	蘇聯體育測驗
page 7	建公杯中級賽初賽完畢續辦小童賽
page 7	四屆夏令籃球賽下月六日揭幕今晚舉行代表座談會
page 7	最輕量級拳賽
page 7	港圓外匯牌價回漲英匯沉寂美匯仍淡
page 7	八九金市先穩定後沉寂
page 7	本港對外貿易五月份增加三千萬元進出口以糧食為大宗
page 7	股票每況益下各股價格繼續狂跌
page 7	國幣仍淡
page 7	華人游泳會水藝大會七月一日舉行
page 7	澳草地網球協會發表男女六怪傑
page 7	文治盾排球賽九月繼續舉辦
page 7	談談體操
