page 2	九一八九週年
page 3	九一八九週年紀念蔣委長告全國同胞 
page 3	九一八九週年中華海員工會電蔣委長致敬對前線將士及渝市同胞亦致電表示慰勞與敬佩
page 3	九一八前夕滬嚴密戒備日方繼續搜捕青年團員
page 3	　兩副面孔一面神氣活現一面向日乞憐
page 3	中央監察委員麥煥章病逝
page 3	日本對越南仍企圖恫嚇越南當局鎮靜應付假道人數在相持中
page 3	完成西南交通網滇康公路已擇定路線蔣委長手令限期趕築 
page 3	黔省壯丁紛紛請纓又組成一志願兵連
page 3	粵省救濟小學教師推行學米制
page 3	桂南兩路鏖戰晉東日軍受創
page 3	日本東部強烈地震
page 3	建川演說一片單相思無異說夢話
page 3	滬兩租界我孤軍死傷均甚重當局嚴防消息透露
page 3	淪陷九年的東北一
page 3	日機襲渝被我猛擊東逸 
page 3	粵各界舉行慰勞大會鄒琳等均就職
page 3	甘藏胞代表宣誓效忠並舉行獻旗禮
page 3	應該乘機報國粉碎日人狡謀
page 3	生無立足之地死無葬身之所 
page 3	東北境內同胞過著非人生活
page 4	美英澳三方商討美澳聯防設法防止日本南進羅斯福簽署徵兵案
page 4	英印合作尚未臻緊密對英人勇敢表示欽佩但拒絕接納印督提議 
page 4	西參政會主席桑納謁見希特勒談話內容尚未公表西軍事經濟專家抵柏林
page 4	黎本尼任美眾院主席
page 4	英續向美購飛機引擎六千至一萬具
page 4	侵埃義軍續獲進展英義軍曾發生接觸義在里比亞駐重兵
page 4	美國黃金世界通貨黃金美佔百分七十
page 4	加拿大沿岸颶風襲境損失相當重大
page 4	日新體制準備委員會開最後會議近衛曾致辭
page 4	節約儲畜運動今起擴大舉行各地勸儲網已佈置完成
page 4	山西戰事
page 4	美澳聯防
page 4	日荷談判正式開始
page 4	淪陷區內美僑商務一落千丈申訴函件猶如雪片飛來
page 4	赫爾反駁威爾基演說其中多捏造之辭
page 4	前越南總督行抵倫敦加入高爾組織
page 4	美三屆一碗飯運動現正熱烈舉行紐約市長任委會主席羅斯福上校懇切呼籲
page 4	瑞典總選社會民主黨優勝
page 4	羅馬尼亞避免與蘇衝突禁飛機在國界上飛行羅保代表查勘新國界
page 4	滿洲是誰的天下一
page 4	英倫海峽波濤洶湧德國侵英將益困難倫敦又遭遇猛烈空襲戈林曾駕機飛英視察
page 5	贛南各地生氣蓬勃周部就編邊區寧謐本報記者一週視察報告
page 5	工合西南區增款擴展業務總數增至五百五十萬湘佔四百萬餘用桂省
page 5	省澳航線又傳開放澳埠已收貨運客票尚無下文
page 5	中新兩地日軍調查江門新會日軍較多
page 5	節建儲蓄會滇分會成立陸廳長就主任委員各界領袖按月儲蓄
page 5	論要案誌次總動員每人至少儲一元 
page 5	白蕉日軍圖犯泥灣中山民眾熱烈勞軍
page 5	南洋隊赴桂獻旗昨由某地起程
page 5	江會日軍又增
page 5	大良日軍調動
page 5	過節不成月餅被扣中山難民又遭殃
page 5	西康日記一七三第九編九龍木裏途中
page 5	電領袖致敬並呈報成立
page 5	蔣經國任贛青年團支團長
page 6	今日九一八九周年各僑團學校不舉行儀式振聯商會籌備慶祝雙十
page 6	聯合開會慶祝
page 6	商會戶內贈旗
page 6	粵特種會計人員昨日考試完竣杜之英主試假廣大舉行百餘人應考名單即公布
page 6	基督教團體節建儲運今日第三期結算
page 6	港回教徒昨舉行懺悔節誦經掃墓並在教堂悔過教長演說以聖訓相勉勵
page 6	國貨公司舉辦綢布展覽會
page 6	天廚廠參觀記
page 6	時代書店九一八義賣
page 6	霍亂蔓延日烈已達六一三宗死者逾半數愈者僅七人連日注射防疫針者甚眾
page 6	經亨利退休
page 6	發現浮雷
page 6	某英輪被徵
page 6	世界語學會世界語初級講習班展期本星期日始業
page 6	畫虎名家張善子先生
page 7	東方電滬請援陣容煥然一新秋亭文奎士鑫準期週內抵港前後實力充沛足與星島頡頏
page 7	南華練習今日再戰砲兵
page 7	全港公開游泳昨日開始預賽吳年陳振南分列第一高妙玲演出亦居首席
page 7	文治盾排球七隊參加定期召開代表會議討論秩序編配事宜
page 7	南華週年水運細則修正公佈
page 7	上海籃球義賽百樂門勝混合名將雲集戰來精彩百出門票售出共達八千餘元
page 7	銀牌籃球賽今日揭幕首場住聯對精武
page 7	港圓外匯牌價回漲美匯穩定申匯淡靜
page 7	股票市況仍乏生氣買胃疲弱成交不多
page 7	國幣堅穩
page 7	四四金市尚稱穩定 
page 7	鍛鍊身體的科學二美國芝加哥喬治韋廉士大學生理學教授史汀浩斯博士
