page 2	義大利的動向
page 3	豫南我軍圍攻信陽隨棗殘日陷於絕境北江日軍滋擾被我全部擊潰
page 3	桂行政保安會議已圓滿結束對省政有重要議決
page 3	廣州缺糧日軍橫加截留人民餓斃日多
page 3	四聯辦事總處謀發展農貸正與各省商訂農貸合約
page 3	滬童軍服務團籌設分站趙慰祖率領團員本月杪出發浙湘 
page 3	東四省主席展緩就職省府組織法公布後省委即可依法任命
page 3	邢台日偽軍發生衝突日顧問數人被擊斃
page 3	川當局組織經建委員會負責推動經濟建設草擬辦法即可成立
page 3	工業合作運動中的投資問題一
page 3	南僑慰勞第二團在湘備受歡迎任務已畢轉赴韶關勞軍
page 3	于斌主教離筑赴桂勞軍
page 3	昆市國立院校解決膳食問題組伙食委員會合作辦理教職員家屬計口發米貼
page 3	槍擊漢奸滬一日中兩起
page 3	槍殺胡斯悌案滬法院已宣判陳一平被處有期徒刑七年
page 3	漢奸暗鬥益烈難免出乖露醜
page 3	陳嘉庚在甘拜會朱主席致敬
page 3	本報渝版設宴歡送邵張兩使
page 3	日人對汪偽組織的估價三
page 3	粵南克街口晉南攻陽沁
page 4	賽當衝出德軍已遭聯軍堵截法軍開始大規模反攻比利時政府並未遷移
page 4	荷軍簽訂降約比決堅強抗戰
page 4	德軍迫近瑞士邊界城市疏散
page 4	秘魯反侵略秘學生舉行示威運動日政府提出強硬抗議
page 4	美將加強海軍議員主張通過文生案建關島為海空根據地
page 4	英閣員陸續發表保守黨共二十九人
page 4	蘇報預測美日衝突難免蘇聯加強遠東軍力史丹將軍奉命回防
page 4	美總統電義相防止歐戰擴大義反南運動變本加厲
page 4	日軍又圖蠢動
page 4	如何才能放心
page 4	日人的狡辯英法美保證荷印現狀日方竟表示仍不放心
page 4	孫院長論歐戰二
page 4	英法加緊製機增強空軍實力
page 4	比境英法主力屢挫德軍攻勢 
page 5	沙堆官涌情況不明日艦艇窺伺厓西斗門梅閣形勢亦趨緊
page 5	某將領縱談潮汕軍事近勢我軍統一指揮實力雄厚反封鎖收效日貨已絕蹟
page 5	桂省民眾從軍勞軍熱獄囚請服兵役壯丁爭先入伍籌募傷兵蚊帳普遍獻金運動
page 5	大批米糧續運東江濟銷
page 5	組訓漁鹽民粵省黨部規定工作目標沿海各縣限設漁會
page 5	粵省加強婦女運動限各地組織婦女團體並吸收婦女入黨入團
page 5	推進戰地新聞宣傳在淪陷區附近辦報運入日軍後方地帶
page 5	吳其倫被殺案兇徒挾嫌誣攀顧竹軒矢口否認教唆
page 5	粵訂定各紀念日配合社會運動七七紀念舉行素食獻金雙十國慶發動徵募寒衣
page 5	桂省培養師資設教育研究所造就教育人材研究教育學術提供改進計劃解決實際問題
page 5	一個笑話
page 5	非我門生
page 5	客廳閒談
page 5	秋省建廳維持軍運商車遇有徵租不得藉故規避
page 5	西康日記九二
page 5	第四編康定及其附近西康風俗概述
page 5	一○五往二道橋途中
page 6	粵教廳再令僑校切實施行導師制如陽奉陰違即取銷立案學生無訓導證不給文憑
page 6	各校成績標準
page 6	學生訓導證書
page 6	施行困難三點
page 6	荷蘭銀行總行遷巴達維亞 
page 6	以利華籍朋友
page 6	徵求傷友運動決本月底結束六團體昨舉行聯席會議公布徵求結果以昭大信
page 6	廣東救委會駐港辦事處昨開首次大會推出常務委員九人二十三日舉行常會
page 6	徐繼莊兼任農行協理
page 6	太平戲院
page 6	解散後的武漢合唱團
page 6	皇后戲院
page 6	六婦女團體明日舉行憲政座談會
page 6	本港總督先赴錫蘭再定行止
page 6	王曉籟昨飛渝將轉黔滇再赴西北各省視察救傷工作行程未定
page 6	日僑冒稱華人罰款一千元活動三酒店間遷居不報與華人往還曾一度赴滬
page 6	偽報中華籍民
page 6	予以嚴重注意
page 6	分住於兩酒店
page 6	婦女盡自己一分力增強戰時經濟華南難民工業自助社參觀記 
page 6	工場一瞥
page 6	社員生活
page 6	社務計劃
page 7	本屆公開棒球賽全部秩序編定明日下午二時半即開戰鑼港啤對岷甸奴打頭陣
page 7	田徑小叢書賽跑術單行本出版
page 7	高級學界排球華仁力克英皇
page 7	日體育界一幕怪劇舉行東亞運動會
page 7	南華女籃球隊開始報名
page 7	大眾會球隊定明晨征澳
page 7	三屆小球埠際賽澳行瑣記
page 7	美菲瑞匯牌價再漲申匯好轉市況趨緊
page 7	八九金市漲勢稍挫
page 7	捷報頻傳人心振奮滬金融趨穩定投機商猛力吐出外匯黃金暴跌七百二十元
page 7	金條昨多成交
page 7	昨日國幣價格漲風益盛最高到達三成
page 7	股票市況疲弱各股價格均有不支之勢
page 7	東方征澳賽期再訂
page 7	八禺籃球隊在澳得利兩戰均操左券
page 7	九龍學界籃球亞軍決戰美爾頓對培正
page 7	體育界工作團召開理事會議擬款捐助各團響應傷兵之友匯呈中央千一元作救國獻金
page 7	焯雲杯小球賽廿二頒獎表演賽太古勝 
page 7	征貢埠際隊今日可抵港
page 7	九龍高組學籃十隊參加
