page 1	社評賀總統就職典禮文
page 2	總統副總統今晨就職國務會議昨會後結束
page 2	本年進出口貿易數額董顯光報告約略數字他說三個月已入超三萬多億
page 2	張群拒絕組閣何應欽長政院之說又熾
page 2	為人道主義呼籲由廢止體刑問題說起
page 2	總統就職禮服就是就任主席時禮服把四星肩章改為五星
page 2	顧祝同視事
page 2	五二零周年京滬學生集會上海將有二萬五千人與會交大抗議五校友被捕罷課
page 2	全國屯墾會議昨天在京舉行
page 2	東北工礦負責人開增加生產會議
page 2	珍本圖書在京展覽中央圖書館主辦
page 2	這場官司打不清汪少倫說沒接到胡適的信胡適說的確寫了封信給他
page 2	國立幼稚師範反對改為市立學生分組到各校控訴
page 2	陳納德的新主意要重組飛虎隊縱橫中國領空美對我執行美援人選有表示
page 2	臨汾棄守承德緊張平郊曾有戰事平綏路被截斷鄂北局勢仍緊鄭州以南激戰
page 2	英贈艦兩艘昨移交後天離英七月中旬抵港
page 2	中澳協定簽字
page 2	又要訓練國民兵了中央通令各省恢復辦理粵省經費無着不知如何是好
page 2	徐祖貽劉膺古談老河口棄守
page 2	督導防潦粵當局派員分赴各縣
page 2	沒有身分證寸步也難行
page 2	催兵緊急聲中豬仔頭亂拉丁六十歲老婆婆獨子失蹤接到來信纔知己被抓走
page 2	科學難解的謎重慶楊妹經衛生局查騐八天不吃飯一切都照常
page 2	中航台港線開航
page 2	薩福均等抵穗曾視察廣三路
page 2	紅衣主教要來穗市府準備歡迎
page 2	人命如草芥穗上月路斃一四零人
page 3	美正式拒絕史達林建議堅持由已有機構謀解決謂所提各問題不僅兩國有關
page 3	華萊士斥責美當局拒絕談判繼續冷戰顯然故意規避要緊問題
page 3	美蘇謀求協議蘇人尚未絕望蘇報譽華萊士為和平衛士
page 3	從地理國素看聖地糾紛上
page 3	美蘇單獨談判杜威極力反對
page 3	世界政府運動九月在盧森堡開會將給予日本表決權
page 3	失望朝鮮局勢金九決意歸隱朝鮮委會人員首批抵滬
page 3	美兵投向蘇聯出於思想還是感情美蘇兩方說法不同
page 3	美戰艦二十九艘將在地中海演習
page 3	英決繼續接濟阿人表示除非聯合國認為非法阿軍宣布完全控制聖城
page 3	猶太以色列國各國紛予承認
page 3	吉田倒蘆田展開全面運動推翻現任內閣
page 3	美助日復興又一新計劃大量擴充日商船力促恢復對華貿易鼓勵出口貿易儘少分散財閥獨佔建議政府設法遏止通貨膨脹
page 3	越南傀儡總統由四十人選舉
page 3	美六千萬貸日五家銀行簽署協定
page 3	英工黨年會決議要政府限制利潤
page 3	丹娜德賓初次接吻伊麗莎白遊罷返英
