page 2	社評從議會中看日本政局
page 3	西江北江連日激戰Ｘ軍繼續增援均遭擊潰天門Ｘ軍重創回竄皂市
page 3	李主席發表告粵民眾書以犧牲博取勝利
page 3	吳佩孚尚未受騙Ｘ威脅利誘兼施所發談話係偽造
page 3	行政院會議鄂省府部分改組嚴立三代理主席
page 3	同濟大學
page 3	額旗代表到蘭請示
page 3	別一個世界北平在Ｘ人統治下民眾不能自由呼吸
page 3	西安各界昨歡迎沙王
page 3	陝保安處長張坤生辭職徐經濟繼任
page 3	Ｘ商用機一架在嘉定被我軍焚燬
page 3	Ｘ眾院豫算會尖銳質問戰近衛說不索賠款證明是欺人之談
page 3	打斃漢奸滬偽隊長殞命
page 3	豫算總會展長一日
page 3	通貨膨脹昭然若揭
page 3	湘省新委就職國府派周震麟監誓
page 3	桂民氣旺盛磨拳擦掌以待Ｘ
page 3	薛岳就湘主席長沙仍設行署
page 3	陝西省府新廳長昨視事
page 3	蘇德接近之謎重慶方面之一種觀察可注意之真理報紀載
page 4	英揆在眾院報告訪義經過義擬恪守英義協定對西班牙不提要求
page 4	工黨詰責首相從容答辯
page 4	安定政策現已漸獲成功
page 4	辯論延會最後多數通過
page 4	英德兩國尚無談判準備
page 4	包爾溫氏讚美張氏政策
page 4	美總統羅斯福決民主國後盾應視法國為實際國疆與參院軍委會之談話
page 4	西叛軍續攻加泰隆納政府軍決抗戰到底倫敦民眾援西示威
page 4	英德出口協定赫德森建議首相重視兩國實界領袖將會談
page 4	蘇聯代表會
page 4	美總統英王訪美後將赴歐回拜
page 4	英積極援華議會正考慮援助辦法印度大臣澤特蘭演說
page 4	關島設防尚未全定
page 4	Ｘ文字獄河合榮治郎被撤職教授全無思想自由
page 4	義法西斯黨最高會議定本月四日舉行義相將發表演說
page 4	對希特勒演詞美持緘默德解釋援助義國一節義對法提早提出要求
page 4	巴勒斯丁會議本月七日在倫敦開幕猶太人領袖前往出席
page 4	有田狡賴
page 5	九江Ｘ兵已減鶴山城區再被慘炸死傷一百四十餘人災情極重西江形勢又緊馬口槍聲甚密
page 5	中山縣擴設九區區長人選已發表除三灶外全部調動
page 5	Ｘ機在翠亨村肆虐掃射岐關車搭客死傷七人均係平民
page 5	下滘海面緝私船血戰貨艇死傷三人餘被擒
page 5	嶺東Ｘ艦減少汕頭市情況漸安茶商請求閩茶輸汕僑團推進僑胞教育
page 5	少說話多做事張發奎將軍的主張
page 5	浙東之旅二
page 5	中山縣師復課
page 5	新會裁游擊隊
page 5	中山收容難童
page 6	國府頒佈非常時期專門人員服務條例實行登記擔任戰事工作僑委會轉令華商會知照
page 6	華商籌賑會擬定年宵費節約辦法印發小啟勉港商行實行一元還債結束成績至佳
page 6	九龍將試行雙層巴士
page 6	財委會今可通過津貼東華醫院案英廷已批准共十五萬元財委會並提出追加政費案
page 6	防空展覽
page 6	ＸＸＸＸＸＸ帝航機被擊事件尚未接詳報暫時無表示
page 6	僑委會電僑胞防Ｘ離間切勿輕信謠言
page 6	閒話香江花市
page 6	工業策進合作會恢復香港分會愛蓮女士昨召開座談會
page 6	廣東省政府捐款五萬元辦菓品賑難民
page 6	當局根絕淫穢文字
page 7	菲隊定十六日來港埠隊賽籌備積極總會並接納星洲中華隊月底南來比賽本港埠際試賽下週或可實現
page 7	美國女子游泳界一顆小彗星年僅十二歲的亞絲平娜已保持二百碼俯泳紀錄
page 7	體育與國防
page 7	滬學生網球隊准備大戰
page 7	滬戰一二八七週年孤島沉痛紀念各賽均停止乒乓隊茹素一天體育團體並發表告運動界書
page 8	申匯不動暹匯稍漲其餘匯價俱?縮英匯美匯市初不定後趨緊申匯市況再略緊但少成交
page 8	英金回漲英銀均跌
page 8	糖市疲弱
page 8	買家紛欲吸進股票市再略好轉賣家因堅持不放成交仍不多匯豐銀行將派息昨股價大漲
page 8	八九金市續略堅挺買戶較多價再微漲
page 8	金條頗多成交
page 8	日向淪陷區搜羅各種土貨運日充作軍用及原料之用棉花一項已達七千餘萬元
