page 2	社評要作最壞的打算
page 3	浙東我軍加緊反攻溫州黃巖先後克復何參謀總長由陝豫閱軍返渝抗戰軍事樂觀陝北並無意外
page 3	蔣夫人廣播對英國抗戰表示同情並呼籲救濟中國災民
page 3	布列特促美國再加強援華嚴厲批評蘇日協定
page 3	郭泰祺氏在美各方熱烈招待
page 3	蘇日協定的我見一
page 3	日散播無聊空氣圖試探美意向伊藤撰文主張松岡訪美
page 3	肉麻當有越史達林將松岡擁抱日人視為無上光榮
page 3	滬四行復業捕房負靚嚴密防衛
page 3	岡村與土肥原居然晉陞大將
page 3	日對越南尚未甘心繼續製造侵略藉口
page 3	滬米價仍漲奸商益為猖獗
page 3	日設化兵監管理瓦斯防護事宜
page 3	高斯大使播講對華深具信心自謂視中國為第二故鄉盼望早與在華友好相晤
page 3	蔣夫人電唁謝晉元夫人
page 3	滇緬公路改善路面南僑捐款贊助
page 3	滬日汪爪牙殘害報界中美日報協理被擊傷
page 3	福州日軍殺市民數千宜沙居民食不得飽
page 3	增產運動農林部將發動民眾開墾公荒實施合營
page 3	清華卅週紀念會龍主席演講嚴密注視日軍行動如敢犯滇決予痛擊
page 3	黔省工業加緊創建中
page 3	劉師舜任駐澳公使傳即將發表
page 4	邱吉爾首相演詞重申勝利信念今後將作更艱苦奮鬥但局勢已比去年樂觀
page 4	美方讚揚英相演說義報注意蘇聯態度
page 4	戰雲籠罩下的埃及
page 4	英機猛烈轟炸漢堡濃烟抵雲混成一片
page 4	德在地中海續採攻勢圖消滅英勢力認地中海戰場重要不亞英倫軸心軍侵入埃境六哩
page 4	英軍加緊控制波斯灣派兵在入口處登陸
page 4	雅典電台德語廣播
page 4	蘇紅星報論希臘之戰英仍為地中海主人
page 4	林白辭職頃已呈請美總統
page 4	澳代總理演講團結抗戰決竭全力爭取最後勝利澳洲實行統一政黨
page 4	北非之戰
page 4	蘇聯作何感想
page 4	土肥原大將頌
page 5	省立兩陽中學因壁報文字掀起巨大風潮陽江陽春籍學生意氣用事全校陷入停頓狀態中
page 5	閩省墾荒事業實施五年計劃預定全部經費二百萬元配墾荒地面積十八萬畝
page 5	西康日記第十五編由麗江返昆明
page 5	滬將力謀制止物品非法漲價各業將集議商計抑平辦法目前存米達一百七十萬包
page 5	粵教廳保障合格教師
page 5	廣州灣振災會捐錢勞軍電匯財部五萬元
page 5	遂溪籌備紀念五四青年節
page 5	中山我軍突擊白蕉八區防務益加鞏固
page 6	開發大嶼山委員會將舉行重要會議港督甚關切屆時將出席請領耕地困難傳說不確
page 6	零售米商聯合會籌備會通過會章選出職員規定納費辦法當局批准後即正式成立
page 6	戰債總會特派員吳涵真由粵抵港傳達總會意志協助進行組織香港總隊負責勸募
page 6	詹姆士羅斯福今晨飛渝
page 6	我國名畫家張書旂今日可抵本港
page 6	模型飛機協會舉辦展覽比賽定六月中分在港九舉行昨商定辦法分甲乙兩組
page 6	港國貨團體籌設國貨陳列館編印華僑工廠出品目錄國貨簽證處五月底成立
page 6	昨日開始實行照零沽價每擔十四元八港九米店共四百十十二家
page 6	新運婦女會售花成績共得四千餘元
page 6	港生活程度日高居民患病者多醫局報告死病數字劇增婦科疾病統計為數驚人
page 6	副按察司賈力素今日就職視事
page 6	港府採納奧雲建議刻徵求西商會意見奉聘來港調查本港港口
page 6	文藝協會定期舉行年會
page 6	清華餐舞會歸來
page 6	油蔴地廟街私煙格發生命案琴童卓林被兩道友刺斃謀殺原因謂挖煙灰所致
page 6	兵賑書畫展稍出畫券三千餘元
page 6	燕大同學明日招待司徒雷登
page 6	運輸總監增募輔助團員二百五十人即日起報名可赴總警署填寫志願書
page 6	世界沙龍攝影展覽國人作品多幀入選港攝影會舉辦沙龍影展定十二月初在本港舉行
page 7	東星征澳難產南華鐵定南征東方內部發生糾紛尚待解決馬來亞當局來電准入境
page 7	足球縱橫談十六
page 7	明日足球大戰東方再逢星島
page 7	五邑杯決賽下月開始各隊嚴陣以待
page 7	星島隊在澳全勝最後贏學聯二十三比十九一路領前全隊業於昨晨班師抵港
page 7	東星籃球重賽因雨休戰張陳日內返滬
page 7	恩德杯賽委員會明晚開代表會議決定三強大戰補賽日期
page 7	學界排球賽下月十五舉行
page 7	外匯牌價俱無變更美匯緊靜申匯仍穩
page 7	股票市況不振買賣寥落人心繼續傾談昨日成交總值三萬餘元
page 7	四四金市仍屬沉寂
page 7	國幣市況初堅後淡
