page 2	九一八十週年
page 3	領土主權不容損害東北四省必須收復國境有一敵兵抗戰決不停止九一八十週年蔣委長告國民書
page 3	滇省稻況甚佳秋收九成有望糧食部正著手新政計劃
page 3	我派遣代表團赴緬商洽護照移民問題
page 3	英美對日的包圍陣
page 3	美積極援華我表示欣慰
page 3	中樞各機關編製新預算
page 3	傳荷日談判不久將恢復
page 3	滬日無線電台全部被炸毀計時炸彈爆發
page 3	美國立場不變依舊援助反侵略國家外次傳秉常發表談話
page 3	所傳樂觀消息俱係發自日本
page 3	田伯烈談話美任何安撫我行動均違反中國利益
page 3	日本軍器落後無勝美希望美名記者暢談日本內幕
page 3	滬電車工人又發生工潮
page 3	蔡逆洪田如此下台
page 3	日皇接見豐田聽取外交報告
page 4	列寧格勒形勢轉穩德軍包圍計劃失敗基輔區德兵被殲三萬
page 4	美大西洋艦隊開始武裝護航軍艦百二十五艘出動美總統加速實施租借法案
page 4	胡佛談歐戰承認納粹政權必須覆滅
page 4	防衛美國委會發表外交政策八項主張反對犧牲原則安撫日本
page 4	英蘇軍隊開抵德黑蘭除非局勢惡劣暫不進城英蘇贊同成立立憲政體
page 4	九一八紀念與美日談判
page 4	英方發表進兵宣言
page 4	英駐美大使廣播美工業偉力船塢機廠生產日增人民皆認識援英之重要
page 4	英美援蘇計劃原則已商定深信蘇軍力足應付長期戰事英國代表團名單已發表
page 4	世界最強艦隊美建艦工程全部展開訂製船艦接近三千艘
page 4	美總統代表再謁見教皇
page 4	捷克人心不死
page 4	多此一舉
page 4	巴拿馬向德抗議
page 4	阿根廷政府限制德使行動
page 4	蘇保係瀕於決裂保仍否認助德反蘇
page 4	歐洲反德怒潮
page 5	粵本年度冬耕面積增加六百萬市畝省府業已擬定辦法按步實施並規定作物種類及貸款分配
page 5	中國史上之大教育家十三
page 5	季鸞先生哀思錄
page 5	組訓全國難民三機關舉行聯席會議在衡陽等地設組訓會
page 5	粵省繼續舉辦戰區學生貸金
page 5	中央調整各省糧食行政桂省糧政局定期成立各縣市將增設糧政科
page 5	廣東省銀行爭取僑匯粉碎敵偽之陰謀
page 5	恩陽交界匪患肅清
page 6	今日九一八十週年僑團舉行擴大紀念婦女兵災會舉辦售旗及義舞
page 6	防空工程隊英警目供述拘捕鄺榮經過謂廣榮公司設備簡單昨對防空洞續有查訊
page 6	全港文化界追悼許地山定期二十一日舉行地點在加路連山孔聖堂商務中華等處代收輓聯
page 6	廠商聯會決請援辦戰時保險
page 6	戰稅委員會草定公司設備折舊率法港以外銀行利潤評價法今日將提出立法局討論
page 6	荷印外匯統制處長過港轉往重慶港荷總領事設茶會招待希望促進中荷經濟合作
page 6	鶴山青年會定斯開發起人大會
page 6	流入港內兩水雷當晚即予撈獲昨晨渡輪一律恢復常態
page 6	中大新生名榜即可寄港揭曉港辦事處已奉學校函示陳宗南院長已飛返坪石
page 7	雙下節足球賽戰陣下月六日遴選加一幕中西乙丙組聯隊對抗月內開考足球裁判員
page 7	女子運動談
page 7	港九居民聯合會舉行攀山比賽定雙十節日攀登獅子山明晚開第七次水藝大會
page 7	特別銀牌籃球賽平正迎戰民大雙方盡出精銳勢有劇爭僑星對黑貓改後日開賽
page 7	記者籃球隊今午戰華僑
page 7	球壇雜事記星光友誼戰因颶風取銷本週末義賽陣容或略有更動
page 7	夏翔再求深造赴美研究體育
page 7	中華銀盾賽亞Q出師迎抗馬祿臣
page 7	健康信條
page 7	外匯牌價俱無變更美匯黯淡申匯淡靜
page 7	股票市況堅穩圖利者多拋出價格未跌市況仍有轉趨蓬勃可能
page 7	國幣市況微淡且靜
page 7	滬標金價頗為穩定
