page 2	歐局趨勢興蘇美
page 3	晉南激戰我軍獲勝我克重要據點掃蕩殘Ｘ湘北我軍包圍控制岳陽
page 3	丁克勒被害案英將提抗議日飾詞巧辯企圖卸責綸昌又一英職員斃命
page 3	廣州英僑慶祝英王誕辰
page 3	贛北烽煙Ｘ人奪取南昌並沒攫獲什末秀金寄自修水
page 3	津Ｘ準備對鎖英租界對於引渡犯人事向英提最後通牒
page 3	鼓島談判業已中止進行
page 3	國府明令嚴緝汪逆兆銘通Ｘ禍國圖謀不軌務獲懲辦以肅紀綱
page 3	外艦射擊Ｘ民航機東京未接報告
page 3	蔣委員長電唁徐世昌家屬國民政府明令褒揚
page 3	美使在滇拜會龍主席
page 3	滬股票市場混亂英報著論評法幣跌價謂英匯基金絕未喪失
page 3	英議會討論英日糾紛Ｘ封鎖九口岸事已由克萊琪交涉
page 3	著名郵船Ｘ將不再搜查
page 3	冀南偽軍反戈向Ｘ攻擊
page 3	白主任代表報告戰況Ｘ兵力不敷分配僅能維持交通線
page 4	英蘇法三國協定一般基礎成立史德隆命今日赴蘇預料下星期可望完成
page 4	英國以貨欵方式援助各小國俾擴充軍備抵抗侵略
page 4	英美物物交換仍繼續協商史丹萊闢謠
page 4	英土軍事談判現正順利進行中結果如何尚未悉
page 4	安南王抵巴黎
page 4	美眾院外委會討論中立法伯林姆通過一部分孤立派圖作最後掙扎
page 4	德愛拉不侵條約已正式成立三國外長在柏林簽字德報對此竟自鳴得意
page 4	瑞典計劃擴充海軍
page 4	大道以多歧亡羊Ｘ傾軋愈甚各派對歐政策互有主張反法西斯傾向日益高漲
page 4	國勞大會開幕預備會議通過兩決議案擁護美建議同情我抗戰
page 4	萬山叢中的西昌續西康踏入記二
page 4	比外交政策決保守中立不接受任何軍事約束比屬剛果決不容覬覦
page 4	英王向美京進發中美朝野準備歡迎在此空前盛況的背後將闢兩國邦交新時代
page 4	胡適演說斥思想界新興敗類以破壞和平為能事
page 4	法參謀長甘茂林檢閱英陸軍法報傳甘氏在戰事時將任英法陸軍總司令
page 4	陳介出遊參觀德國工廠
page 4	短評明令通緝汪兆銘
page 4	法幣應速維持
page 5	我軍準備反攻新會江門醞釀大戰Ｘ犯孫涌深壘均被擊退
page 5	汕頭Ｘ艦七日僅泊五艘市面情形仍緊
page 5	廣東臨時參議會首次大會概觀大會圓滿閉幕議長表示樂觀
page 5	撫我孑遺難童赴韶一百八十人受收容
page 5	粵徵募會清查歷次募捐欵項
page 5	新豐罪犯越獄
page 5	粵政四個半月一工作歷程李主席在省參議會的報告
page 6	英王壽辰紀盛港督親臨跑馬地閱軍中午在督轅招待領團
page 6	衛生人員踴躍登記準備回國服務已發出登記表達百餘份港粵兩地登記並行不悖
page 6	梅芳男中前日赴澳門旅行
page 6	抗戰建國第三期書已到港
page 6	學賑會第二服務團西江服務經過團長駱克昨由前線返港前線需藥品望僑胞捐助
page 6	本港西藥大量運入內地各西藥行莫不利市三倍現多購運暑藥准備付運
page 6	實彈射擊印度兵來福槍隊
page 6	培正分校明日舉行國民宣誓
page 6	重慶被炸後遺跡照片駱傳華將携之來港舉行第一次展覽會
page 6	業聯劇團舉行新舊團友大會
page 6	水務官談將再施行制水人口增加濾池不敷用採取寬容政策便利居民
page 6	七七二週年學賬會將隆重紀念
page 6	中戰救護隊決派愉赴汕服務
page 6	預防霍亂方法當局昨佈告促居民注意小心飲食實施預防注射
page 7	本屆棒球聯賽友啤隊成績最佳第二循環賽將於明日開始中華健兒重逢美兵岷甸奴
page 7	拳場秘史喬路易一拳中要害西姆斯神經失常態
page 7	唐寶堃來函已脫離國體
page 7	女子籃球義賽明天開幕七時西南對知行八時中華對華雄
page 7	檀香山游泳賽麥迪加逢勁敵
page 7	加拿大建築大體育場籌開帝國運動會
page 7	世界最偉大體育家勃琪獲生首選榮鷹紐約世界博覽會金桂冠
page 7	亨利魯意斯王位有問題
page 7	今年日對港貿易竟躍居第七位疋頭最大宗佔總數十分之七英美貨物進口數量反見減退
page 7	英金回漲英銀俱平
page 7	士敏土需求大增售價日益高漲
