page 2	美大選後的國防新階段
page 3	欽縣城郊發生激戰日軍狼狽已呈動搖鎮南關爭奪戰猛烈進行中
page 3	桂主席黃旭初談邕寧善後桂南收復地將減免租稅
page 3	成都地震
page 3	傳日人向泰國提出新要求我滯存越商貨退運問題戴古忽食言我將再交涉
page 3	嘉陵盛會中美文協招待美大使蒙古狐裘轉贈羅夫人
page 3	周潛梅光培國府明令褒揚
page 3	板垣返日
page 3	蘇聯國慶紀念蔣委長設宴祝賀中蘇文協會亦舉行盛大茶會蘇大使館昨招待各界
page 3	第二屆參政員正積極選舉中
page 3	駐港日總領由矢野繼任岡崎調印度
page 3	孤島動亂茶商唐季珊被綁中央旅館槍殺案
page 3	新加坡間諜案開審記一
page 3	美新艦長鮑維斯抵渝
page 3	由柳州到邕寧
page 4	大選結束舉國團結美外交益積極英美聞將舉行談判商太平洋聯防問題
page 4	日各報評論均表示惶慮歐戰趨於靜止美將注意遠東
page 4	各州州長競選民主黨佔優勢
page 4	希軍再接再厲肅清境內義軍傳德將派兵假道南國援義
page 4	甘納第表示不願返任
page 4	蓋達著文論美大選
page 4	波前任總統由歐抵美
page 4	義國機師技術低劣
page 4	英對希臘經濟援助
page 4	日僑四百離英返日
page 4	泰訪問團行抵澳洲
page 4	印實施禁止生熟麻運日
page 4	美可使用南美國家據點已獲各國一致默契古巴多明尼加談判完成
page 4	夏威夷劃為美州問題現舉行民意投票
page 4	美國意志集中
page 4	一個證明
page 4	日本海軍質素的檢討
page 4	共和黨領袖電賀美總統各界人士表示願為總統後盾
page 5	華僑子弟效力祖國粵錄用專門人才程度稍差者准入學補習省府電令所屬機關遵辦
page 5	中山日軍續有增加
page 5	岐途中的泰國
page 5	澳門印警被刺斃命警廳懸紅緝兇
page 5	海南島日艦麕集欽防方面日兵紛紛出海南路各地迭被日機濫炸
page 5	青年寫作協會在渝成立
page 5	陳文接任粵七區專員
page 5	兵役視察團視察靈山南路稅務人員多更動 
page 5	西康日記二○二第九編九龍木裏途中
page 5	桂縣政人員招考揭曉四組共取五十九名
page 5	澳門賽馬十日下午舉行
page 5	廣州灣商會賑災會改組繼續收容三百難民
page 5	許複起談泰越僑胞處境均極困難
page 6	限制移民條例內容有職業居民登記領證往來行旅須領通過證
page 6	中國化學分會第三次學術講演講演者為曾瑞顯孔憲保兩博士十二日晚聚餐會後舉行
page 6	追悼魯美音明日在基督教堂開會
page 6	粵救委會昨開會函請港九商店籲請捐助推舉許讓成等負責進行
page 6	港粵航運傳將恢復日人以生絲換港幣
page 6	鎢礦市價
page 6	林中原之死
page 6	全港白書防空演習十八日晨舉行
page 6	白雲故鄉的攝製
page 6	廠商聯會昨日開會擬定國展章程
page 6	時報晚刊今日出版
page 6	警察運動會
page 6	舊衣暢銷
page 6	電油加價每加侖增二毫
page 6	學生振濟會慈善餐舞會九日假半島舉行售出舞券千餘元
page 6	金陵舞廳義舞大會伶星表演節目豐富
page 6	兒童劇場二十四日首次公演
page 6	和平紀念日定為本月十日
page 6	防空洞內幕上
page 6	工廠設備
page 6	工程器械
page 6	人才濟濟
page 6	工作待遇
page 6	疾病醫藥
page 7	判罰十二碼自由球裁判會實行新例游華興與大左芝毆打事件審訊結果判兩人儆誡了事
page 7	裁判小組委會
page 7	南華乙和軍醫四比四先盛後衰
page 7	罌花節義賽一幕插曲記者隊人選決定
page 7	青泳團水運會今晚開賽
page 7	學界籃球比賽參加二十餘隊報名期限再展緩三天
page 7	喬路易定期戰麥考埃
page 7	羅斯福連任美總統美匯市況略傾淡申匯市況昨依然靜穩
page 7	四四金市稍穩但靜
page 7	股票市況好轉人心興奮買賣活躍
page 7	國幣市況昨日沉寂
page 7	為華隊三強敬覆公孫勝
page 7	論明日之戰東海與星九
