page 2	美國接受挑釁
page 3	羅斯福總統嚴厲警告德義美決保衛公海防區海空軍已奉命警戒如發現德義船隻即予射擊
page 3	發揮民族意識維護民主制度
page 3	應即矯正錯覺奮起抵抗暴力
page 3	不願委曲求全取得和平代價
page 3	美國政策堅定對德已具決心英美對羅斯福演說之反響
page 3	拉加第亞演說促採堅決立場將援英物品送到英國
page 3	談冰島
page 3	納粹濫襲商輪無異海盜行徑
page 3	柏林收廳清晰德方未加評論
page 3	近衛謁日皇日本不敢否認海洋自由但謂意欲與美進行談判
page 3	日本對美裝腔作態傳納粹已表示不滿上海所傳東京之動態
page 3	格拉第氏由荷印赴星洲對荷進步備極讚揚
page 3	高斯大使再訪我外部羅斯福總統之演說陪都人士表示失望
page 3	蔣委員長談話美報轟動刊載
page 3	荷印日僑又一批撤退本週內已達千人
page 3	普法姆訪問荷印曾晤荷印總司令
page 3	巴拿馬附近發現德襲擊船荷輪一艘被擊沉
page 3	郭外長之評語倘用匪黨二字代海盜適足描述日人之暴行
page 3	秩父抵西貢勞軍日越軍事協定傳將成立
page 4	紅軍反攻迭有進列寧格勒形勢好轉基輔俄底沙亦固守中
page 4	納粹前線受挫爭作低調宣傳
page 4	英美對蘇援助範圍將甚廣飛機千架正運往蘇聯
page 4	死光發明人馬太逝世畢生研究國防科學
page 4	歐陸淪陷國家反德怒潮洶湧
page 4	伊朗德僑多人被捕
page 4	一對戰死與殉情的同命鳥二
page 4	滇緬公路恢復商運
page 4	去年度我向英購料總數逾五百餘萬鎊
page 4	匈牙利攝政會晤希特勒
page 4	湘北展開殲滅戰大雲山殘敵傷亡慘重湖口敵軍結集又圖蠢動
page 4	後方努力增產發展對外貿易全部計劃正分頭推進中
page 4	婦女慰勞總會籌建榮譽軍人實驗新村
page 4	緬甸免徵過境稅事郭外長函英使致謝
page 4	孤島除奸偽員一死一傷
page 4	兩學術團體將在滇開會
page 4	英空軍襲義高飛逾二萬尺越阿爾卑斯山
page 4	滬日海軍扣留駛廣州灣法船
page 4	德冬賑運動希特勒演說請求人民多多犧牲
page 4	太平洋之霧
page 5	陳雄在紀念週報告桂建設事業近況農工商業交通各方面按照計劃積極發展中
page 5	殺人自首判處徒刑二年半
page 5	委座關懷六邑飭促進地方建設僑胞捐欵廿萬萬元謀恢復繁榮馬超後返渝向廣東建設會報告
page 5	省行近況
page 5	敵大批運輸艦開抵廣州戒備江會敵軍出擾橫岡遭痛擊
page 5	西大易長幾潮已獲解決高陽赴校視事定期上課
page 5	桂省限制鈔票流出運往安南祇准五百元
page 5	靈山財會常委包庇煙賭張世宏畏罪潛逃縣府行緝拿中
page 6	我派遺出國航空學生分由渝昆飛抵港一部入港遠東航空學校其餘將轉往菲美求深造
page 6	菲報業大王郎米路昨飛渝將晉謁蔣委員長致敬唐渭濱昨日設宴招待
page 6	嬰孩出世應於十四日內即向當局註冊人口生死註冊官曉諭
page 6	水塘存水充溢八個月來得兩九十餘吋存水五十九萬萬加侖強
page 6	九龍防空洞建築費用昨日由鄺榮供述防空工程案續審
page 6	限制港澳輪用煤量辦法即可決定當局已派麥基利哥召集輪船公司籌商合理分配
page 6	華商會組新委員會負責籌振工作即席選出林培生等常委由五十五人改為廿五名
page 6	廣州灣實行檢查入口貨物此項辦法由六日開始永和號等輸均被檢查
page 6	妾侍抑繼室糾紛訴訟由鄭國屏解釋中國結婚儀式
page 6	呈報一仙輔幣中英文均可呈報格式規定
page 7	鎮和紀念足球賽港滬今日爭雄下午五進正在加山南華球場鄭洪年開球孫夫人頒發獎品
page 7	鐵城杯賽
page 7	懷念陳鎮和他達到成功成仁的境地聯想到我運動員的修養
page 7	光華會向總會登記
page 7	夏令籃球賽今日兩場黑貓迎戰新青
page 7	七團體足球義賽購券異常踴躍五元券體育記者聯誼會發售服役團籌款概撥作購債
page 7	拳師劉錦東表演蒙古拳
page 7	游泳預賽高妙玲何惠文百碼胸泳冠軍
page 7	籃球聯會下週召開會議
page 7	外匯牌價仍無變更申匯市況微見好轉
page 7	股票益形活躍買胃暢旺存戶亦大量拋出昨成交總值逾五十五萬元
page 7	滬標金價略趨下游
page 7	國幣市況仍甚堅穩最高價為一七五
