page 2	社評如何增加物資供應
page 3	日軍集結越泰邊境反侵略國加強警戒英美荷印軍事全作已有諒解
page 3	美援蘇物品增加放棄海參崴路線美船駛往白海阿昌吉港卸貨
page 3	太平洋航運將愈趨缺乏美海軍上將哈特之表示
page 3	旅英各國名流組反侵略團體討論戰後社會經濟建設
page 3	如此東鄉
page 3	東條內閣仍將投機取巧華盛頓方面之觀察
page 3	東條委派聯絡官員
page 3	東條謁日皇定今日赴關西
page 3	日本親軸心論客反對與英美諒解
page 3	芳澤謙吉定期赴越
page 3	英眾院辯論日拘捕英僑案
page 3	吳忠信飛蘭州考察
page 3	侵華戰費浩大日再增發公債
page 3	中英借款委會在英成立顧大使任主席
page 3	美國將撥巨款助英建根據地史托克在參院之陳述
page 3	赫爾再度呼籲取消中立法限制根據國際法各國均有護航權歐萊陳述廢止之必要
page 3	台灣革命黨在閩設辦事處
page 3	滬蜜密勒氏報主筆鮑威爾被狙擊流彈擦過幸未受傷
page 3	滬慰勞團赴湘北前線勞軍
page 3	浙西我軍出擊豫北敵犯廣武
page 3	緊縮通貨安定物價專家提出建議提供英美經濟代表團參考
page 3	比大使夫婦昨飛返陪都
page 4	中路紅軍易帥戰事愈趨猛烈德軍每日死傷四萬
page 4	暴日佔領越南真相二華僑呈獻一片赤誠擁護領袖抗戰到低敵人的兇殘泯滅不了華僑忠貞的氣節
page 4	德國攻蘇如獲進展勢將再發和平攻勢美外國通訊週刊之推測
page 4	加裏寧城巷戰蘇軍寸土必爭
page 4	德軍又稱突破蘇京外圍防線
page 4	英貴院要求闢西歐戰線殖民大臣代表政府發言無意重蹈鄧苟克之覆轍
page 4	地中海英艦突擊海空夾攻敵據點潛艇亦襲擊德義給養線
page 4	英美專家建新式軍用機戰鬥機可配機槍十挺轟炸機優點超出一切
page 4	新聞圈裏的新聞路透社股票轉讓事曾引起眾院之討論
page 4	裴佛布羅克報告蘇工業資源戰事影響損失雖嚴重蘇聯必能恢復其偉力
page 4	短評美改變援蘇航線
page 5	桂行政會閉幕編造下年預算規定注意事項關於糧食教育問題多所決定
page 5	陪都婦女界致蘇聯女戰友書響應蘇聯婦女領袖對蘇聯婦女及全世界婦女之號召及莫斯科婦女反法西斯大會告世界婦女書
page 5	第四日會議討論教育糧政鄉鎮中心學校設專任校長
page 5	第五日會議討論農業金融陳大寧黃維均有詳細報告
page 5	第六日會議討論軍糧購買田賦徵實標準芷祗求新乾淨
page 5	江會情勢益緊殘敵不難肅清
page 5	湘北戰區秩序漸恢復民眾來歸商店復業粵漢車可通板塘鋪
page 6	財次顧翊群等抵港出席三國金融會議港國幣黑市又起新波動
page 6	先叔文榦與電影事業羅明佑
page 6	港一萬織造工人請求改善待遇提出加薪等要求三項總工會昨具呈勞工司
page 6	新輔政司委定將由金遜繼任定十二月初來港履新史美將俟交代後離港
page 6	官米局司理談米價難望再減官營米業實屬虧本之事港存米百萬包不虞缺乏
page 6	重陽節掃墓注意林木園林監督昨發布告
page 6	豬牛肉價飛漲街市肉商多缺乏肉應市肉商貸款新界農民養豬
page 6	糧食報運出口當局限制加嚴最近查有奸商偷運資敵禁運往港鄰近中立口岸
page 6	傳日晨澳門建築機場葡總領談未接報告
page 6	汽車渡海輪時間更改
page 6	特警警目五十一人昨日舉行出動演習第二批學員廿七日畢業第三批學員定明日開課
page 7	蔡惠全月底可抵港舉行網球義演體育界服役團決定擴大辦理昨成立籌委負責計劃一切
page 7	明晚籃球慈善賽仿林大戰華雄男子組康元對抗黑貓
page 7	夜談隋錄
page 7	體協會定年底舉辦中西長途跑
page 7	男女各組冠軍亞軍
page 7	桂市運會閉幕田徑球類成績多屬於優異擲手榴彈創全國新紀錄
page 7	東方乙足球隊重整軍容出戰士葛隊
page 7	中華溜冰場明午溜冰比賽
page 7	粵體育訪問團抵桂賽程排定
page 7	股票轉趨沉寂昨成交總值僅九萬餘元
page 7	國幣黑市續趨下游
page 7	申匯黑市續略鬆弛英匯美匯依然沉寂
