page 2	日本之南進陰謀
page 3	鄂東我軍攻克麻城附近殘日完全肅清西江戰事轉烈新鶴日軍蠢動
page 3	內政部注意推行新縣制擬定各種補充法規以為各省示範之用 
page 3	勘測瀾滄江考察團下月抵滇預計十個月完成
page 3	邵力子被任駐蘇全權大使行政院常會已通過
page 3	加緊政治建設粵省將召開行政會議檢討過去策劃未來兒童保育會已開幕
page 3	國府明訟修正參政員任期規定一年必要時延長
page 3	渝發掘漢墓江北續發現墓穴九處
page 3	影界抗日協會二屆年會在渝舉行改選職員
page 3	滬續辦平糶將募款百萬元向外廉價購米
page 3	穆聖遷都蘭州回教同胞後日舉行祈禱
page 3	馬關簽約今日為四十六週年台灣革命領袖廣播
page 3	汪派的掃興事主子貪財何能慷慨接收兩路已成畫餅
page 3	汪兆銘抵漢口滇總工會發起為汪鑄像衡陽舉行討汪鋤奸大會 
page 3	國民黨決定徵求女黨員電各級黨部遵行
page 3	津租界封鎖中美僑受留難進出時日哨兵故意苛求美總領向日方交涉無效
page 3	滬日人包庇販賣人口捕房在虹口破獲機關
page 3	美參院議員函覆蓉市紳耆表示注意中日問題贊助對日制裁建議
page 3	孟祿博士抵渝謂美人民對我深表同情日如侵菲美人將起反抗 
page 3	湘省兩縣長貪污有據依法執行槍決 
page 3	滬顧竹軒案解交法院辦理捕房仍偵查中
page 3	日本能否佔領荷印
page 3	吳忠信離藏官民熱烈歡送 
page 3	豫北續攻要點察南重創日軍
page 4	日本南進野心暴露企圖侵佔荷印日閣開緊急會議艦隊將演習美國注視籌商對策
page 4	美擴充海軍海軍軍令部長史托克主對日維持五三比率 
page 4	英機猛襲德根據地
page 4	德軍逼境瑞典戒備
page 4	挪方披露德國橫蠻
page 4	英蘇關係漸入正常化蘇大使迭訪英外相英方態度漸趨好轉
page 4	英駐巴爾幹使節談話結果完滿各使日內即可返任德組織多瑙河艦隊
page 4	麥克納特出發作競選演講
page 4	義國輿論鼓噪否認法國在地中海握有霸權謂足以妨礙義大利根本需要
page 4	南羅協定兩國防軍合作
page 4	加里寧接見芬公使
page 4	一年之後美將參戰紐約郵報記者之觀察
page 4	汛美協會五十週年羅斯福發表演說雖未免被侵之隱憂但巳享真正之和平
page 4	張伯倫壯語未獲勝利以前決不提出辭職
page 4	德比經濟談判已獲得滿意結果
page 4	華南戰事
page 4	英蘇關係
page 4	日本能否佔領荷印
page 4	英軍佔那維克後德礦源被切斷德圖報復聲言將炸英城市英當局加緊執行防空警備
page 5	江會日軍西犯受創我收穫殲滅戰果　西沿岸亦迭起激戰
page 5	粵省各級幹部訓練實施法曲江等十九縣設訓練所南路三行政區設訓練班
page 5	訓練方針
page 5	軍委會派員校閱魯蘇游擊隊張雲川已由魯南抵蘇北 
page 5	次第設立
page 5	湖南新運會積極推動婦運充實幹部注重兒童保育督飭各縣成立婦運分會
page 5	滬日軍庇護私販紅丸由韓人主持其事租界內流毒彌漫
page 5	甚於鴉片
page 5	紅丸公司
page 5	紹興散記
page 5	粵聞彙誌倡行公德競賽
page 5	閩省本年籌辦職校十所分紙業茶葉陶瓷等七科各校一律秋季開學
page 5	組兒童教導隊 
page 5	清遠檢獲日貨 
page 5	游擊班結業禮
page 5	派員赴渝受訓
page 5	從事遏制
page 5	暹羅被捕華僑尚未釋放馮爾和等繼續被寄禁
page 5	上海紗市飛躍騰漲投機商人利慾薰心結果足使平民裸體
page 5	粵省籌劃建設防空新村省會附近先設模範村
page 5	組織管理
page 5	訓練內容本省各級訓練機關之內
page 5	成都的舞台
page 6	丹麥商船巴拿馬號昨抵港任由英國海軍當局處置中國沿岸丹挪商船共七十艘
page 6	丹挪商船未准離港挪輪一艘赴越起卸越政府貨物
page 6	紅磡馬頭圍道昨晨大火三層舊樓被焚傳有婦孺各一慘遭焚斃原因未查明損失達萬元
page 6	深夜失火
page 6	全屋盡燬
page 6	商會席上吳鼎新報告粵北災情慘重善後需鉅款望各界捐助人力物力財力準備充實
page 6	義風慈善社定期舉行成立典禮
page 6	去年粵省財政充裕 
page 6	粵北災情待款救濟
page 6	人口激增結婚者亦多去年較十年前增四倍
page 6	傷兵之友應徵者極踴躍疋頭公會通函所屬響應港九僑工團體熱烈推行 
page 6	下月在中區舉行白畫防空演習下次燈火管制六月舉行不預告日期說並非事實
page 6	黃啟明逝世一周年培正員生墓前致祭
page 6	戰稅徵收法案立法局明日討論財政監理官請組委員會修訂防止迫遷條例一讀
page 6	美巨輪來港
page 6	深圳農村會
page 6	聖保羅女校 
page 6	泰山得子
page 6	龍宮神女
page 6	財政會議
page 6	會議議程  
page 6	林風眠畫展
page 6	學生賑濟會節約徵文比賽二十五日截止
page 6	工合促進社籌辦慈善餐舞會定於五月十七日晚舉行地點在半島酒店玫瑰廳
page 6	明日照相社擴大徵求社員  
page 6	鑿牆逃避 
page 6	勢成燎原
page 7	南華南配足人馬跨海出征光華今日在界限街場舉行
page 7	球迷沒精打采看雛鳳悲鳴一比零敗於洋水兵 
page 7	南華體育會游藝大會門劵開始預售
page 7	菲島籃球埠際賽宿務三戰三勝四二比二五打勝菲勁旅廣東名將蘇祖蔭顯身手
page 7	學運籌賑會各運動員度身
page 7	港圓外匯昨低縮美匯市況復趨緊申匯淡靜英匯仍沉寂
page 7	股票市況堅挺人心興奮需求復見增加賣戶居奇成交八萬餘元 
page 7	瑞典火柴來源中斷日本火柴又乘機活躍
page 7	八九金市復略趨好美匯較緊價格稍漲 
page 7	菲中華女籃球隊今日抵香港賽程排好首戰港女生隊敦請孫夫人行開球典禮
page 7	九龍學籃比賽思思出色男女均獲勝仗
page 7	東方三次奏捷五比一大勝托蘭隊
