page 2	社評英空軍的活躍
page 3	美蘇加緊援華步驟大批飛機源源運到德夫古柏抵印即將來華訪問
page 3	西貢登陸日軍陸續開往泰邊金蘭灣建築大海軍港
page 3	日本發言人否認將侵泰
page 3	南市成地獄貧民多餓斃敵軍封鎖搜查升米售至四元
page 3	陪都各報評論讚揚美禁油令
page 3	日方宣傳荷印讓步調整貿易商得諒解
page 3	澳陸長再發表聲明帝國屬土不容侵犯
page 3	曼谷評論家述泰國前途
page 3	星洲自由報論遠東危機
page 3	日政論家抨擊近衛外交弱點
page 3	美民意測驗結果多贊成制裁日本
page 3	太平洋學會調查報告日本空軍劣勢飛機過於陳舊效能不符標準欲以武力獨霸遠東殊少機會
page 3	馬來亞對港匯款不受官方限制
page 3	龍田丸滿載而歸旅客三百餘人多數為日僑領得許可證運潤滑油返日
page 3	美日商務前途暗淡石射坦率表示
page 3	滬敵方發言人承認蘇日軍曾發生衝突
page 3	馬鴻達捐資興學
page 3	滬電車工潮正在調解中交通一部已恢復
page 3	日花言巧語誘泰國上鈎
page 3	贛北修水河岸激戰我軍克復新溪源宜昌北殘敵被我圍殲
page 3	傳華中敵軍有撤退模樣上海方面如此觀察
page 3	日僑自德撤退
page 3	美國準備派輸撤退在日美僑
page 4	美蘇延長商約美國保證儘速援蘇
page 4	德國第五縱隊在日本日本軍政外交都受支配恩源譯自紐約前鋒論壇報
page 4	赫爾國務卿將返部視事
page 4	美參院辯論延長兵役案孤立派乘機攻擊政府指總統為最大獨裁者
page 4	南美掀起反納粹高潮納粹陰謀離間美洲團結各國不受利用嚴予查究
page 4	英新型戰鬭機槍砲火力強烈無匹被擊中者爆炸支解
page 4	維希政府一幕滑稽劇將越南奉送日本後謂不至再出賣領土
page 4	貝當演說態度含糊
page 4	墨索裏尼對黑衫軍演講謂義大利之勝敗事實上早已昭示
page 4	駭人聞聽美怠工者擬用飛機炸毀各處國防工廠
page 4	英與伊朗貿易談判英擬收購棉花與棗
page 4	美建艦工程有驚人進展上月份三十四艘下水另六十三艘安置龍骨
page 4	蘇日小衝突
page 4	現實的寓言
page 4	陳介大使談話我與德斷絕邦交德官民極感震動
page 4	空軍節全國慰勞總會發動慰勞空軍將士運動
page 4	敵機竄擾湘桂各地桂林投彈三枚炸毀學校教會
page 4	敵濫造謠言經於院長否認斥為無聊無恥
page 5	余漢謀氏報告糧食及兵源問題廣州敵軍似有某種蠢動模樣今年全省糧食收成可稱滿意
page 5	自由中國氣象蓬勃奠定新經濟基礎國防工業品謀自給自足農村復興計劃逐步實現
page 5	中大易長風潮平息當局仍令張雲接任
page 5	粵建長鄭豐談今後建設方針將側重國防與民生需要配合各方情形擇要推行
page 5	滬工廠紛紛內遷發展內地工業奠定永久基礎前途樂觀
page 5	厓門古井敵軍增援江會西江我防務鞏固
page 5	澳門米潮始末記
page 5	粵閩僑胞感情敵方陰謀離間派員赴某地活動企圖發化我分電海外僑團密切防範
page 5	國府明令公布糧食庫券條例自本年九月一日起發行
page 5	粵省召開婦女會議出席代表百餘人蔣夫人來電致祝
page 6	華僑匯款當予便利正當商務可獲外匯港凍結令下對華僑金融措施
page 6	外匯統制局今日遷往匯豐辦理外匯事宜
page 6	許地山教授昨日大殮舉殯中外聞人致祭者達千人各文化團體舉行追悼會
page 6	中大聘定監考委員新生考試八日起
page 6	港府擬教育難民生產學習紡織農業俾能自維生活
page 6	美名演說家向美廣播戰時香港動態時局緊張居民鎮靜如恒香港如被襲中英將合作
page 6	渡海小輪準備增價油麻地已在考慮中天星擬取銷家庭票
page 6	港教育司實行統一英文課本廢用納氏文法等三十種明年九月起用教科書
page 6	日郵船公司失火原因未明
page 6	公平糶米會決定發售廉價糙米每擔準備只售十二元醫務當局令醫院採用
page 6	商會新職員明日就職並開首次值理大會
page 6	英廣播日封鎖沙面此間當局未予證實美領亦表示未獲消息
page 6	僑建協會指導僑生歸國就學
page 6	澳門難民收容所建築因葵缺乏致延期現趕建中望短期內完成
page 7	南華今日開執委會商討各項要政東方繼續合作函商借用場地強化組織足球委員會
page 7	中西游泳義演改廿三舉行中國水球隊昨夜產生西隊定八日再度試賽
page 7	國際棒球大戰中國隊集合中南華精銳而成理想陣容的商討
page 7	鐵城杯南華對平正友聯戰民大
page 7	我網球國手許承基在星獲單打冠軍
page 7	華人游泳會募債運動展期十五結束
page 7	中華溜冰場今晚溜冰遊藝
page 7	股票市況仍靜昨日成交二萬八千餘元
page 7	外匯牌價越匯回縮美英申匯市況沉寂
