page 2	四存學校的抗戰精神
page 3	鄱陽我軍克大磯山鄂中Ｘ渡河計劃被我擊破余漢謀談踞粵Ｘ絕難進展
page 3	我空軍炸星子Ｘ機昨亦肆虐
page 3	一週戰況自三月八日至十四日軍事委員會發表
page 3	白崇禧將軍談中國不能被征服爭勝方法賴全體性戰爭白氏招待文化界之報告
page 3	Ｘ國愈窮蹙回港僑胞一席談
page 3	黔官商合辦筑東煤礦業已籌備就緒
page 3	Ｘ施用毒氣我在德安獲得文件證據確鑿無可狡賴
page 3	蔣委員長昨晚宴法大使
page 3	金融會議閉幕孔院長訓詞要抓住這可貴的機會對國家社會有所貢獻
page 3	李漢魂主席就軍管區司令將召開全省兵役會議
page 3	馬相伯百齡慶典改四月六日舉行
page 3	郭大使演說威脅中國門戶開放英國繁榮將受影響
page 3	Ｘ擬定三年計劃經濟侵略華中實行統制第三國貿易並攫奪我國紡織工業
page 3	滬演劇隊在上饒表演
page 3	黔積極實施精神總動員國民月會五月初實行
page 3	津Ｘ沒收法幣外人尚未被搜查
page 3	Ｘ艦砲轟海門毀民房數十間
page 4	希特勒抵捷京正式宣布併捷德軍佔領重要機關並向斯摩兩省推進
page 4	德併吞捷克後今後治理方針
page 4	新捷領袖加達發表施政宣言
page 4	張伯倫發表聲明斥責德國違約英仍願以談判方法解決糾紛實現和平
page 4	艾登演說認為時機已至應下重大決心
page 4	捷克事變的內幕中
page 4	波匈接壤實現匈軍佔領小俄羅斯先頭部隊抵波邊境
page 4	德三砲亡捷捷方死一傷三
page 4	英商務大臣受歐局影響決展期赴德
page 4	工黨議員格林福爾宣稱今日乃英恥辱
page 4	英法正談判軍事合作英空軍實力激增戰時準備進行中
page 4	伏羅希洛夫抨擊侵略不費力而成功益思尋新目標
page 4	依照預定計劃蘇拍賣漁區冇田答覆眾院質問時期期艾艾態度極狼狽
page 4	戰局新形勢
page 4	捷克的血仇
page 5	Ｘ機廿五架前日狂炸清遠英德粵漢路黎洞站路軌稍毀海康法天主教堂亦被害
page 5	深圳難民營失火難上加難一千餘眾流連失所
page 5	上官雲相統率正規軍三師展開京滬線游擊
page 5	Ｘ圖渡河不逞古勞墟又遭慘炸投彈八枚燬屋多間
page 5	順德陷後Ｘ犯容奇被擊退江門輪渡安抵容奇
page 5	粵地政局計劃墾植粵北
page 5	粵教廳長許崇清返韶將召各縣教育科長討論戰時教育問題
page 5	廣州灣種痘禁獵
page 5	韶關響導旅客
page 6	港大特別委員會議事程序已編定候杭立武來港後開會討論與我國大學合作
page 6	中山僑商代表飛渝請免洋米入口稅先急其急暫免相當數額同時籌款購米辦理平糶
page 6	老羅斯福之孫昆丁將來港研究印度支那民族
page 6	嶺南大學概況民廿七年九月至廿八年二月
page 6	滬大同學會餐舞籌賑明晚在會所舉行
page 6	廣州上空我機活躍轟炸白雲機場市面冷落烟賭遍地劫案頻生金山輪昨返港乘客二百餘人
page 6	保護兒童會賣花成績四千六百餘元
page 6	港督夫人昨晚作廣播演講女青會之工作
page 6	東華總理往年以一任為榮今日則退避三舍
page 7	兩兄弟交兵嘉山南華南穩取兩分結果四比二大家一笑收場
page 7	籃球守衛的足部動作
page 7	葉北華前日由汕來港
page 7	公開草地綱球陳志強敗于徐煒培司徒璧不敵李安納
page 7	英網球選手又提新要求
page 7	威爾士足球隊勝愛爾蘭結果三比一
page 7	日台杯代表山岸的悲哀
page 7	昨日外匯牌價美菲荷略縮英匯沉寂美匯微緊但靜申匯市況略淡買賣尚多
page 7	八九金市堅穩但靜成交數量依然不多
page 7	股票市略形活躍成交總值逾四十八萬元香港匯豐銀行股為最多
page 7	英金再漲英銀不動
