page 2	送邵大使中蘇關係的新考察
page 3	何部長談鄂北大捷收穫空前意義重大日軍十五萬人被我全部擊潰對汪偽組織不啻一致命打擊
page 3	桂南日軍出擾晉南我迫陽城
page 3	苦難中的河北同胞冀省振委會負責人談施振情形 
page 3	豫鄂我軍獲勝各方紛電祝捷
page 3	日師團長在贛受傷
page 3	黃勗吾遵父命捐款獻國國府頒給獎章
page 3	工合西南辦事處改變工作方針按照各地工業部門分區俾可就地取材便於發展
page 3	桂林柳州同降冰雹
page 3	滬美商刊物橫被日截留各發行人對此不法舉動將採取相當之報復措施
page 3	粵省教育廳訓練國教師資下月起設訓練所六十處並實行小學教員總登記
page 3	植物生長素清華大學仿製成功
page 3	國府明令褒揚張敬文
page 3	駐華各國軍官互相接受約束歐戰即擴大仍和平相處日報紙仍企圖趁火打劫
page 3	滇省續發現重要礦產當局決定徘徊開採
page 3	粵當局在東江設巡邏處維持治安保障行旅
page 3	滬難童中學下季遷渝復校
page 3	政務巡視團第一組赴芷江
page 3	南僑慰勞團第二分團由湘赴贛
page 3	工業合作運動中的投資問題三
page 3	鄂中我軍向東挺進湘北鄂南積極出擊 
page 4	德軍突破法防線後遭遇猛烈堵擊聯軍統帥激勵反攻比境戰事亦在變化中
page 4	比京及盎凡爾失守聯軍已轉移新陣地
page 4	法德坦克車遭遇戰互相衝擊戰情激烈
page 4	德機損失達千餘架英空軍炸德交通線
page 4	美共和黨領袖擁護擴軍計劃美兩大政黨齊一步驟實屬首次大戰後創舉
page 4	東南歐國家警戒不稍懈羅匈採取必要步驟義國態度猶豫未決
page 4	我駐比大使錢泰離比京王景岐在法途遇空襲夫人及女公子受微傷
page 4	英將改善檢查辦法
page 4	堀內訪赫爾日對荷印仍表關懷
page 4	邱吉爾訪法曾極受歡迎
page 4	暹羅幼王將離開瑞士
page 4	歐戰白熱化
page 4	美加緊擴軍
page 4	英蘇關係有好轉可能倫敦外交界作如是觀並謂英將派特使赴蘇
page 4	從日本統制石油問題觀察日本的內部衝突一
page 4	總司令甘茂林勗部屬殊死戰
page 5	日軍殘兵三萬又開抵廣州集中連日大舉拉伕企圖不明西江形勢略緊我已嚴防
page 5	工業新姿態各方面均在邁進中
page 5	日機襲粵三年來統計
page 5	赤忱表現南通日軍測驗民眾心理雖在暴力下仍堅持信念
page 5	粵衛生處籌設振濟醫院免費收容貧苦病民
page 5	粵省財政維持無困難省府規定發放經費辦法
page 5	粵軍民合作社設通訊網以求工作聯繫
page 5	浙省府制定辦法統制收購絲繭規定人民不得自由收運
page 5	浙省建廳籌製樟腦規定樟樹徵用價目
page 5	安定物價之對策
page 5	推行節約
page 5	消費合作
page 5	用代用品
page 5	疏散人口
page 5	吸收游資
page 5	禁止信用買賣
page 5	鞏固法幣信用
page 5	加強平價機構
page 5	徵戰時利得稅
page 6	憲報昨日公布統制輪船糧食供給電碼非經許可不得擅藏存煤超過十噸即須呈報 
page 6	嚴禁擅藏電碼
page 6	輪船糧食供給
page 6	煤炭儲藏辦法
page 6	華界海面日機炸沉本港貨船五人受傷返港醫治
page 6	防空總監擬就應變辦法向市民呼籲宜未雨綢繆嚴密組織速受防空訓練
page 6	廣州貨物禁由汽船運港
page 6	第五縱隊當局注意在港活動喇沙書院闢集中營
page 6	市政衛生局下星期二舉行例會
page 6	時代書店昨日正式開幕
page 6	香港舊書店寄售張世祿教授藏書
page 6	警察局訓練華警增加便裝偵探力量
page 6	國民戲院
page 6	學賑會第四屆年會定六月二日舉行會員學校登記廿八日止探訪隊定明日出發探訪
page 6	香港仔兒童工藝院昨舉行周年頒獎禮到華民司及何東等四百餘人各部獲獎學生四十餘名
page 6	宣佈開會
page 6	英國人的生活和思想二英國的家庭
page 7	五百人看棒球水兵氣走港啤七比六局面吃緊扣人心弦今日一場中華戰工程
page 7	昨晚公開籃球星島大捷銀聯隊輸得慘
page 7	菲籃球埠際賽宿務打勝怡朗怡朗女隊獲最後勝利岷埠男女兩軍獲全勝
page 7	學界排球賽昨因雨改期 
page 7	美菲瑞匯牌價回縮申匯市況又略好轉
page 7	八九金市略轉堅挺
page 7	滬外匯市穩定國幣回漲最高到達二七四
page 7	股票市益疲弱存戶紛紛拋出市場供過於求歐局惡化各股價格均告低跌
page 7	征貢埠際足球隊昨晨返抵港四戰勝負參半印象深刻越南球例大異港方吃虧
page 7	東方足球南遊隊定廿二乘機出發
