page 2	為工商界請命
page 3	羅斯福邱吉爾會晤一幕揭開英美發表聯合宣言說明八項共同原則消滅侵略武力尊重民族自決兩領袖聯名函史達林表示欽佩
page 3	越南日軍準備進犯泰緬日軍艦續駛抵西貢
page 3	英美澳加會議討論遠東局勢德夫古柏氏警告日本在遠東不能肆意妄動
page 3	美製英飛艇在遠東巡邏
page 3	日自定國界竟遠及菲島
page 3	日本蓄意投機試探英美態度並警告泰國勿接受英美保證
page 3	緬人疾惡如仇決起迎擊侵略日人對緬宣傳徒增笑柄
page 3	美國供給品將大批運華滇緬路運輸力可增兩三倍
page 3	談ABC路線
page 3	日裝油船兩艘空船由美返日若杉隨輪離美
page 3	澳洲戰時內閣再度會議進一步討論遠東局勢在野黨擁護政府主張
page 3	美國務部幫辦加拉第抵檀島將赴遠東各地視察防止原料流入日本
page 3	日總動員委會通過四項法案
page 3	英美堅決援蘇日本無可奈何
page 3	納粹第五縱隊引誘日本攻蘇
page 3	日本火山爆發朕兆平沼被刺受傷兇手託名訪晤拔槍射擊
page 4	蘇德戰事轉劇紅軍棄守斯摩倫斯克鳥克蘭前線依然穩定
page 4	美國無限緊急時期的賦稅與凱衍斯計劃一
page 4	倫敦官方評論維希之沒落貝當屢次投降屈辱人心離散傾向聯軍
page 4	土熱烈歡迎英蘇保證納粹陰謀受嚴厲打擊
page 4	美總統將提出二次租借法案數額為六十萬萬元購買糧食飛機大砲
page 4	李濟深報告敵軍窘狀對華戰事毫無辦法南進北攻亦屬徬徨
page 4	英蘇加緊對德空襲英重轟炸機炸柏林
page 4	魯西北敵軍蠢動三路進犯均不逞
page 4	何明華就任新加坡主教
page 4	德防聯軍反攻加強北歐工事
page 4	川行政會議渝區開會張主席致開會詞
page 4	傳德壓迫保國出兵東線侵蘇
page 4	爭取最後勝利建立強大空軍航委會為空軍節告同胞書
page 4	敵機襲恩施
page 4	馬來亞公益官員盛讚我進步工業教育著有成效對新世界貢獻甚大
page 4	英美聯合宣言
page 4	平沼被刺
page 4	印度加緊對日封鎖堵塞凍結命令漏洞
page 4	紀念空軍節各地熱烈舉行
page 4	伊郎拒絕土國調解英伊問題
page 5	粵田賦下月起開徵一年間實物蔣委長電令切實辦理省務會通過施行細則
page 5	陸費伯鴻先生生平略述
page 5	田賦徵實施行細則
page 5	陳水雲案判決朱興樹判處徒刑十五年被告不服向高院提起上訴
page 5	偽軍投誠漢奸伏法
page 5	工務局計劃發展大韶關市全部面積約一千平方公里分行政工商住宅療養五區
page 5	中山敵軍強封民船非法封鎖水陸交通
page 5	雷殷抵韶視察對粵政治進步甚表讚許禁煙工作成績尤稱良佳
page 6	港防衛力量堅強足應付任何事變莫德庇司令對美記者談話
page 6	中國國貨陳列所今晨宣布開幕虞洽卿葉蘭泉主持典禮昨招待新聞界報告經過
page 6	青年團體昨舉行空軍節紀念會模型飛機展覽昨日開始演放比賽定十七日舉行
page 6	港華商銀行獲准辦理轉匯僑款美國僑款故可經港內匯購買棉紗所需外匯亦可核准
page 6	華南兒教會成立教養院開始收容難童
page 6	全港中西人士聯合歡送港督日期定下月二日地點在娛樂戲院
page 6	獻金第二日情況仍熱烈
page 6	大埔各界勸募戰債分組二十隊努力進行
page 6	文藝大眾化問題中國文協會文化講座演詞續
page 7	本屆足球聯賽全部賽程編妥決定明年四月十二日即結束協會報告再辦鎮和學額義賽
page 7	鎮和足球籌款賽擬下月舉行各華會對此多表示贊同暨大定期招待各會代表
page 7	記者水運參加踴躍
page 7	卓雄杯賽太古戰錦輝
page 7	中華游泳場三次水藝定二十日舉行
page 7	公開丁組網球賽南華獲冠軍六比三打倒中華遊樂會丙丁兩組錦標成該會囊中物
page 7	夏籃賽委會舉行戶內獻花為華雄義學籌募經費明日譚進杯決賽
page 7	樂斯杯籃球戰康元壓倒悠悠
page 7	鐵城杯賽今晚有兩戰
page 7	股票略見活躍人心漸趨安定買賣增加昨日成交共達十六萬元
page 7	外匯牌價俱無變更美匯沉寂申匯淡靜
page 7	國幣市況昨較疲弱
page 8	香港中國國貨陳列所開幕獻詞
page 8	國貨陳列技術的現代化
page 8	創始也簡將畢也鉅
page 8	國貨陳列所功用的一端
page 8	籌設中國國貨陳列所經過
page 8	國貨陳列所誌謝
