page 2	畢德門的對日禁輸案
page 3	我軍打回南昌市區激烈巷戰開始正圍殲Ｘ軍奉新圍益緊城內發生大火
page 3	贛北方面
page 3	鄂中方面
page 3	豫晋方面
page 3	華北偽鈔又跌滬英文大美晚報著論認Ｘ幣制政策已失敗
page 3	全面戰爭與全面戰術二白主任在福州講演
page 3	西康屯懇計劃刻正積極進行中
page 3	徵募藥品中央社會部發起
page 3	菲僑胞服務團到達戰區工作
page 3	Ｘ圖擾溫州海面嘉興一帶Ｘ受創
page 3	贛省戰役嘉獎有功人員
page 3	雅納爾六月底任滿返國
page 3	成都行轅特別黨部五月一日成立
page 3	陳介下月往遊漢堡
page 3	平Ｘ製造木人兩千開上前線增防
page 3	桂省決增加麵粉產量開拓種麥地區
page 3	渝特別市不久即可實現
page 3	畢德門向國會提法案主限制美日貿易為破壞九國公約者戒日方對之表示極不安
page 3	侵略者的結果日本國內失業日增戰費不敷濫發公債
page 3	Ｘ機又肆虐寧波宜昌遭轟炸
page 4	希特勒演說拒絕美國建議英德海約德波協定均同時被宣布廢止
page 4	美積極準備推進陸海空偉大計劃大艦隊已駛抵大平洋
page 4	英徵兵法案兩院同時通過工黨修正案卒被否決張伯倫解釋徵兵理由
page 4	張伯倫報告
page 4	蘇飛行家出發赴美作不著陸飛行
page 4	勃魯姆呼籲英工黨勿反對徵兵
page 4	拉愛兩國表示決不放棄主權答覆蘇聯所提之警告
page 4	傳英向蘇致節略提實際建議蘇政府將發宣言要求相互的保證
page 4	Ｘ人又增兵了
page 5	我軍收復單水公益台山開平轉危為安沙坪劇戰鄧部殲Ｘ千餘江會Ｘ兵大增全線激戰
page 5	我軍奮勇抗戰擊退新昌榴山Ｘ三埠民眾仍在疏散
page 5	繆培南赴前線厲行整軍
page 5	恩開台赤聯防備戰分設自衛總隊部
page 5	中山零簡演戲籌款慰勞戰士舉辦平糶救濟米荒
page 5	麻章嚴厲緝私
page 6	茶香室血案被告李炳津判處徒刑七年些路頓據情為被告申辯陪審員一致認為誤殺罪
page 6	吳鐵城談粵省糧食問題應與湘桂各省產品調劑發展交通解決粵省米荒
page 6	保良局新總理顏成坤任主席昨日選出男女共十二人
page 6	肺癆症十四週內二千餘宗
page 6	從數字上比較本港食物價格較一九三五漲百分六十比較去年約廉百分之十
page 6	中西婦女實習防毒昨舉行防毒氣試驗
page 6	台山商會挽救台開新恩米荒會所押款購運白米
page 6	任鴻雋談中央研究院近況各所分遷昆明重慶桂林西南工作戰後繼續進行
page 6	生活手冊最新版本到港
page 6	交通部在港設立廣州郵件轉運處處理寄往華南各地郵件可免被非法檢查與扣留
page 6	時人往來
page 6	太平劇團今晚演完即告散班
page 6	中藝劇團日夜在中央公演
page 7	甲組亞軍爭奪戰今日東方對海軍下午四時半在嘉山場舉行文奎秋亭善敬初顯好身手
page 7	球人近事
page 7	東方南征足球隊西貢戰績追紀三軍用命七比二大破南圻乙
page 7	今夕籃球賽南華逢培英
page 7	草地網球賽昨因雨改期
page 7	尖事兩則
page 7	參加鑑泉盃乒乓賽感言
page 7	荷滙牌價續縮英美滙市況穩靜申匯市亦穩靜買賣仍不多
page 7	八九金市仍穩但靜全日買賣依然不多
page 7	過去一週間股票市乏生氣成交總值僅三十餘萬元
page 7	英金不動英銀俱平
