page 2	社評英蘇進軍伊朗
page 3	伊朗邊境略有戰事英蘇軍隊繼續推進土國情緒激越英蘇正疏通中
page 3	時局新中心的伊朗
page 3	英蘇依然期望與伊成立諒解英蘇兩大使訪土外長
page 3	兩國緊密呼應戰線獲得聯擊援蘇路線今後可確保
page 3	伊王發出命令實行武裝抗拒
page 3	美總統將提出新租借法案數達五六十萬萬元現正向各部徵詢中
page 3	英蘇兩國控制伊朗美國援蘇將更便利
page 3	列寧格勒近郊展開空前血戰基輔以東蘇猛烈反攻南路蘇軍死守尼勃爾河西岸
page 3	菲島物資將可大量運蘇專員官署有權簽發執照
page 3	德以高壓手段制止法人反德破環鐵路案達數百起
page 3	美總統返抵華盛頓曾約晤國會領袖
page 4	在太平洋作戰英美已有決意陪都方面對英相演詞之觀察赫爾謂美日進行非正式談話
page 4	日在泰越邊境仍不斷增兵中星洲人士正密切注意
page 4	日自承禍首謂邱吉爾演詞無乃先後顛倒
page 4	荷印原料不願再輸日萬穆克鄭重表示
page 4	泰警察部總監兼代總理職務
page 4	澳洲工黨拒絕參加聯立內閣
page 4	日圖阻美援蘇揚言封鎖海面
page 4	日羅掘俱窮以木軌代鋼軌
page 4	德夫古柏警告日本冒險時機已失澳空軍元帥抵新加坡
page 4	莫斯科否認中蘇會議謂係日方造謠
page 4	最近蘇德戰局
page 4	詹森赴澳履新途次發表談話
page 4	中樞積極改進國內外貿易經濟會議擬定具體方案
page 4	敵機瘋狂轟炸下渝市民鎮靜如恒
page 4	日佔越南後的南洋三
page 4	緬甸訪問團下月初出發緬各團體紛電歡迎
page 4	陳教長發表告全國教師書以興仁復禮為要務
page 4	工程師學會十月在築舉行年會翁部長等均將出席
page 4	浙東敵三路進犯我正迎頭痛擊中
page 4	行政院會議通過劉建緒主閩張開璉任省府秘書長
page 4	印度國民大會代表黛維夫人飛渝觀光蔣委長夫婦設宴招待
page 4	兵役署長程潤談各省役政大體滿意
page 4	上海日軍發言人談對兩租界無封鎖意
page 4	自承禍首
page 5	川厲行教育競賽實施辦法已擬定計分國民教育等六組成績優良者分別獎勵
page 5	贛省水泥廠各部設備多已完成於短期內即可成立
page 5	侵入越南日軍暴行種種重要港口機場均被佔據外僑不堪壓迫紛紛離境
page 5	西大校長高陽接事被阻經過黃主席談將以堅毅態度處置
page 5	粵北物價調查外匯動盪刺激日用品上漲油粘米每擔達一百廿九元
page 5	滇省獎勵種植木棉推廣會議定辦法
page 5	桂下年度預算歲出一萬萬元
page 5	廣西企業公司重要職員決定
page 5	粵北軍官團近況受訓官兵共達三千餘人闢路種植均為日常勞作
page 5	我國合作事業的演進五
page 6	一元獻機運動九月三日開始組織大網昨已草定
page 6	四華人代表歡宴港督夫婦中英文協週末歡送港督我當局派代表參加歡送
page 6	今晚周壽臣歡送港督舉行音樂演奏會
page 6	我新外次錢泰由歐返國抵港定日內離港飛陪都履新刁作謙昨宴我外交人員
page 6	女子輕生記者渡海期間目睹兩女投海
page 6	港府奉項當局令限制港貨輸澳對澳本身需要不予禁止目的在防止軍用品資日
page 6	公平糶米會昨開會售賣米飯進行積極計劃再設米站售賣糙米司徒永覺呈請政府補助
page 6	大華鐵工廠房屋傾塌三工人受傷
page 6	今日孔子誕辰港九教育界慶祝教師節在娛樂戲院開紀念大會
page 6	泰國派輪航駛來港挪荷國輪大秕航遠東線美郵船三艘暫恢復東駛
page 6	市政衛生局昨日會議通過要案多項
page 6	僑匯限額解除個人每月准匯港幣五百按家庭人數之多寡遞增
page 7	兩幕足球慈善賽下月中旬舉行服役團召集三華會及婦女會定明日在告羅士打酒店會議
page 7	體協會昨開執委會劉滇光撤回提案
page 7	蔡惠全參加林山賽
page 7	青泳團約戰東居聯隊
page 7	本屆足球聯賽三華實力探討拉伕跳槽當無去年之盛滬將孟義良南下助星島
page 7	南華會友田徑標準測驗感言
page 7	譚進杯決戰金銀冠軍正社力抗不敵
page 7	華人游泳會開四次水藝會
page 7	教部擬訂計劃發展國民體育特別注重青年及兒童並規定五項基本運動
page 7	卓雄杯賽今日兩場
page 7	銀牌賽報名廿九截止中華贈出獎品
page 7	外匯牌價俱無變更美匯沉寂申匯靜穩
page 7	股票市況穩定昨日成交總值四萬餘元
page 7	國幣市況仍屬堅穩
