page 2	Ｘ人Ｘ華進路的檢討
page 3	瓊島我軍堅苦奮鬭Ｘ企圖北侵南昌南攻北海潮汕一帶昨又遭Ｘ機濫炸
page 3	晉西形勢呂梁山側我軍神勇堅壁清野重困Ｘ軍
page 3	心勞日拙又要搬出溥儀
page 3	蘇聯幼童在滬被綁架帶有政治性
page 3	中國地質學會翁文灝演說謂我國地質學已有地位
page 3	第二期抗戰宣傳綱要一軍委會政治部第三廳發表
page 3	全國教育會議昨在渝開幕出席者二百餘人陳立夫部長主席
page 3	渝昆電話昨開始通話聲音清晰成績良好今日正式開放營業
page 3	大阪軍火庫起火爆炸電車乘客受傷
page 3	趙丕廉等昨離渝飛陝轉晉
page 3	財部召集地方銀行會議顧翊群等到桂準備飛渝參加
page 3	蘭州舉行慰勞空軍大會並電蔣委員長致敬
page 3	滬特二法院王思默辦理移交
page 3	英皇家機昨由仰光飛滇
page 3	滬昨日炸彈傷人Ｘ憲兵搜查曹家渡暗殺談判繼續進行
page 4	張伯倫在眾院答覆工黨質問彈劾政府案已遭否決貴院將辯論華南戰事
page 4	海軍預算公佈將大規模造艦
page 4	西總統已辭職內閣秘密會議
page 4	英抵制日貨會勸人民勿購日製絲襪領帶並大放有援華標語之氣球
page 4	東歐動態保國王已抵南斯拉夫羅外長明日聘問華沙
page 4	美繼續購銀共和黨議員所提修正案眾院討論後已予以否決
page 4	法西斯兩巨頭將舉行會議重行考慮德義軸心政策義波談話結果德甚失望
page 4	本報記者潮汕視察記三嶺東的黑暗面給我們一個好官呵下
page 4	日本覬覦華南漁業將設水產公司實行經濟侵略
page 4	日又向英提抗義
page 4	英法增強遠東防務英在星洲一帶築軍港法在岡郎灣建設要塞
page 4	英猶代表舉行非正式會議討論猶人反對英建議事阿人對英建議未置可否
page 4	比議員蘇頓受命組閣
page 4	美空軍演習業已結束經過良好
page 4	日貴院通過去年追加預算
page 4	義擬增兵北非
page 4	保政府大捕反動份子
page 4	日本要使溥儀復辟
page 4	機微的轉點
page 4	教皇選舉秘密會議開始明日可望揭曉
page 5	鞏固東江沿海防務軍事當局有新部署公路河道均經澈底破壞別働隊訂五項信條飭屬遵守
page 5	Ｘ在瓊州海峽搜查英輪公司將請政府交涉
page 5	侵瓊Ｘ軍成弩末王毅決發動廣大游擊戰Ｘ機四架首次轟炸雷州
page 5	轟炸雷州
page 5	Ｘ艦動態
page 5	由汕頭到汕尾一
page 5	鶴州歡送縣長
page 6	省港復航商定辦法日輪每週一次英輪兩週一次祇准載郵載客不能載貨
page 6	華商籌賑會舉行餐舞籌款會定十一日在思豪酒店向僑胞呼籲慰勞傷兵
page 6	劫案統計上月中二十九宗匪徒一百零八名
page 6	平民宮昨未如期開幕
page 6	暹羅政府對我貨加重徵稅潮州商會電呈僑務委會
page 6	中國工程師學會香港分會成立抗戰期間為國家效力爭最後勝利準備復興
page 6	深圳被炸後本港難民增加平民三千餘軍人四名由政府各難民所收容
page 7	星洲中華足球隊本月杪由菲來港預定比賽三場人選大致已定全隊人材濟濟實力未可小覷
page 7	英拳擊名手法爾返國在美時已訂婚
page 7	體育教育上的一個貢獻一
page 7	職業網球名將被邀赴印雙方尚在磋商中
page 7	男子公開草地網球賽六日開始角逐集合中西名將堪稱空前熱鬧
page 7	八九金市略穩但靜全日買賣寥寥無幾
