page 1	"社評朝鮮遠東的火藥庫"
page 2	"司徒雷登發表聲明否認美將單獨與日簽約我航業界反對日輪來華運貨必要時將封鎖港口以為抵制"
page 2	"平保線國軍攻徐水太原郊區形勢漸趨緩和鄂北國軍越自忠進迫襄陽"
page 2	"急宜改革的現行課程"
page 2	"白崇禧忙於晤談昨天曾訪何應欽"
page 2	"浙贛路即全線通車南昌萍鄉段加緊修復中杭州至永嘉將籌建鐵路"
page 2	"總統在莫於山不擬接見賓客"
page 2	"李宗仁在平小住短期內不去桂林"
page 2	"長江水漲不休鄂境新堤以北決堤附近六縣將受嚴重災害"
page 2	"蓉城慘劇南門大橋　牆堤腳崩塌堤上市民多人慘遭滅頂"
page 2	"淞滬警備司令傳鄭介民繼任宣鐵吾辭意甚堅"
page 2	"漢口酷熱"
page 2	"萊普漢赴平"
page 2	"預算案今送回政院例會討論後交總統簽署本月生活指數尚未評議決定"
page 2	"國大經濟研究會請政府改革幣制"
page 2	"中國的西疆和蘇屬中亞的東境"
page 2	"七五血案如何善後東北民眾慰問團提出意見請政府懲辦許惠東陳繼承"
page 2	"長沙匪劫金店憲警追緝未獲線索"
page 2	"修訂外匯政策原則通過細節尚待決定輸出入委會將在滬公布辦法"
page 2	"監院昨續開會決議行署巡察團同時成立行署監委推選辦法亦決定"
page 2	"秘魯今國慶蔣總統電賀"
page 2	"馮友蘭等抵瀋"
page 2	"寂寞蕭條雞公山山上洋房多成殘垣斷壁避暑盛地變為避難處所中原臨時中學打算設在這裏"
page 2	"華僑赴新幾內亞澳規定管理辦法"
page 3	"杜魯門與共和黨鬥法促國會授權管制物價要求制定法律遏止通貨膨脹同時下令取締種族歧視現象"
page 3	"西德制憲問題解決各邦總理接受三國建議選派代表參加議會組織"
page 3	"仰光通信最近緬甸政局的演變"
page 3	"三國要員齊集倫敦開始會商柏林局勢考慮對蘇採取進一步驟"
page 3	"蘇陸空部隊德境大演習"
page 3	"馬里內閣正式組成昨向總統介紹閣員觀察家料新閣壽命不過數月"
page 3	"蘇供應柏林糧食決定下月起實行"
page 3	"蘇捕獲外國間諜據說多是打聽鐵路情報"
