page 2	請僑胞注意工業合作
page 3	Ｘ軍在西北西南積極準備大舉進犯張發奎吳奇偉巡視各地花縣激戰後我轉移陣地
page 3	河津各山口殘Ｘ均被我肅清
page 3	詹森抵美京謂中國勝利大有希望
page 3	湘鄂Ｘ蠢動張公渡再度淪陷
page 3	南潯Ｘ厭戰戰鬥力已全失
page 3	廣東西北區問津
page 3	蘇州迭有戰事Ｘ軍死亡四千人滬郊我軍仍活躍
page 3	拒絕透支還債我政府實逼出此在招待記者談話會上財部發言人解釋理由
page 3	內部禁烟委員
page 3	土肥原抵平
page 3	美國數百萬人民祝中國最後勝利南京國際救濟委員會主席在美宣傳Ｘ軍Ｘ行著成效
page 3	五中全會
page 3	將討論要案增加抗戰力量等案美聯社重慶電報告
page 3	滬領事法庭推事三人選定
page 3	龍雲擁護中央吳鼎昌已回貴陽
page 4	顧代表在政院提出重要建議禁運飛機汽油赴日各國應採平行行動
page 4	法艦隊擧行冬操演習摩洛哥攻守戰法海長有重要演說
page 4	法已對日提出照會內容與英美照會相同美不重視日外交烟幕
page 4	晉境偽組織經濟活動苛雜重重經營兵工廠破壞金融濫發流通券中央社記者郭從周
page 4	齊亞諾赴南目的促進匈南邦交締結條約尊重現界擬邀羅馬尼亞參加
page 4	張伯倫親自指導巴勒斯丁會議英義談話前即已決定伊拉克總理決赴倫敦
page 4	孟哲斯德發生炸彈案多起與愛爾蘭事有關
page 4	美購銀問題參議員湯森提案
page 4	倫敦失業者臥街示威雨中歷一刻鍾交通為之阻塞
page 4	巴薩隆納城外槍聲隱約可聞西政府軍已大舉反攻叛軍宣稱仍繼續推進
page 4	裏賓特羅甫赴波期定日程擬定與柏克會談波政府準備隆重招待
page 4	法國對日照會
page 5	虎門之Ｘ數百侵擾中山黃閣鄉強行登陸後前日已退去另一報告Ｘ昨與我團隊在大岡交戰
page 5	東江別働隊東博馬嘶退X兵X欲突圍迄未得逞兩度激戰斬獲頗多
page 5	廈Ｘ險謀蠱惑民軍我已查覺並嚴密防範
page 5	九江Ｘ兵圖蠢動陳村勒流又遭洗刼龍江漢奸大開煙賭
page 5	袁帶將就游擊副司令職
page 5	近東訪問團歸國抵滇各國回教同情抗戰一致進行抵制日貨
page 5	虎口餘生述廣州混亂現狀市面時有空襲道路多被阻塞Ｘ兵形容頹喪盜賊持械晝行
page 5	西江迂迴記
page 5	中央銀行設河內通訊處
page 5	桂軍大員到西江貝水等自衛團強化廣三線Ｘ尚無異動
page 5	江門恢復行車
page 6	本港遇難漁民中樞將分期救濟並籌設漁民免費義學遇劫漁民多被威脅禁報案
page 6	本港西醫人數最近突見增加共計有二百八十三人西醫代表請李察爵士注意
page 6	學生救濟會登記即截止第二期由廿日起
page 6	婦女界擴大紀念三八婦女節四婦女聯會昨開會議決
page 6	商會籌賑會昨開常委會馬頭涌平民屋經已築成出租
page 6	國貨展覽農曆元旦舉行章程全部擬定
page 6	嶺大農科輔助深圳農村服務團將檀島穀種發難民種植該校畢業生擬參加合作
page 6	英海軍當局增派封鎖海口艦駐港港府設各區防毒訓練所各學校均須派教員參加
page 6	港大售旗得三千元
page 6	港府收容難民人數共九八八三名
page 6	林柏生傷勢仍未脫險疑兇今晨提堂案情已有眉目
page 7	後日麗華杯足球賽陸軍聯陣容產生米杜息為全軍主幹實力雄厚屆時逢戰西文員勢將有惡鬥
page 7	力格斯談台杯錦標美國仍有希望
page 7	溫布爾頓賽人材恐慌
page 7	昨晚女子籃球賽華僑戰勝雪花南華思思亦均先後千捷
page 7	遠東網球錦標賽兩選手已返港司徒壁與格斯脫前日到達蔡永善尚待比賽完畢後
page 7	美印網球賽雙方各勝二次
page 7	黃伯長在港對手尚未覓得
page 7	美菲申滙價均漲英匯靜寂美匯略淡申匯市况仍淡且靜
page 7	八九金市殊乏生氣較前低回八仙七五
page 7	股票市愈形慘淡買戶寥寥多存觀望
page 7	英金微跌英銀俱落
