page 2	近衛又將出台
page 3	襄西我軍加緊合圍當陽西南戰況猛烈荊門附近日軍二千餘盡被殲
page 3	日機再襲重慶英法領館全部炸毀英使館中彈未爆炸英僑多人險遭不測
page 3	天水辦公廳谷正鼎繼任副主任
page 3	農婦深明大義送子受訓衛國殺日馬主席特贈款示獎
page 3	國府明令褒揚方旭
page 3	蓉教會大學聯合舉行畢業禮
page 3	陳嘉庚等由洛陽抵鄂北老河口
page 3	粵淪陷區日人將加緊掠奪集各地偽商會主席商討辦法
page 3	滇省發現大金沙礦
page 3	喜饒嘉錯等覲見林主席
page 3	對越南問題我外部王部長發表重要宣言日本如圖以武力侵犯越南我將被迫採必要自衛措施 
page 3	行都兩次空戰大戰果二十二日重慶航訊
page 3	黔省農貸四聯與省府已商妥款額增至二千萬元
page 3	政務巡視團西北組由陝赴甘
page 3	日兵怕死身懷我通行證以備投降之用
page 3	日軍汽艇在滬浦江起火一艘全部焚毀
page 3	宋子文抵檀香山轉道赴美
page 3	南路日軍展築鐵路將由欽縣通至越邊
page 3	滬法方將土山灣移交日偽管理原有警備已完全撤退該區將成第三歹土
page 3	蘇聯真理報論襄西戰局我軍取得主動日軍困難日增各報重視蔣委員長報告
page 3	僑慰第二分團離韶關赴桂林電慰瓊島軍民英勇抗戰
page 4	法代表又僕僕抵羅馬聽候義國宰割新政府將在英成立美國準備承認支持法艦隊行蹤仍未判明
page 4	法艦行蹤飄忽傳多在英領海
page 4	英責貝當媾和背棄神聖協定
page 4	近東法軍領袖決定繼續抵抗
page 4	美共和黨開始起草宣言國防上主張和平準備外交上主張不參加歐戰 
page 4	美國記者論德義蘇關係軸心國與蘇聯之磨擦因巴爾幹問題而益顯
page 4	日急圖打開內外苦悶近衛辭樞院議長新黨運動將進入新階段
page 4	英機在法境作攻勢巡邏並低飛轟炸飛機庫
page 4	德國的二十一條
page 4	德法休戰條款如此二十一條倫敦方面已全文發表柏林猶謂係完全虛構
page 4	英國電台發表聲明不再承認貝當政府
page 5	寶安日軍增至六千陷龍岡進犯淡水我扼守淡水河正猛烈堵截中廣九路中段醞釀大戰
page 5	日機狂炸惠陽淡水
page 5	竄擾李朗被我擊退
page 5	常平寮步鏖戰激烈 
page 5	粵省嚴禁放穀花各地糧價已穩定
page 5	桂省修學貸金訂定臨時補救辦法三條
page 5	連陽等四縣實施新縣制七月十五日開始
page 5	楊福晉韋文謨發明顏色印油分別試驗結果尚稱良好桂省府傳諭嘉獎
page 5	西康日記一○九第四編康定及其附近西康風俗概述  
page 5	省府撥款補助各校遷移回粵中大將於暑期後全部遷回
page 6	英陸軍司令賈乃錫昨巡視邊界各地日軍撤退半里避免誤會英界與華界交通已斷絕
page 6	日領發表談話謂追擊我游擊隊
page 6	港寶小輪復航港鯊交通則仍未通 
page 6	貝當政府投降後港法僑地位尚無變動法領館久未得政府訓示港越班輪未斷均告客滿
page 6	難民約五千 
page 6	省振會急振
page 6	港越班輪照常開行
page 6	僑民出國攜備旅費辦法超過限制轉呈財部給照海外募捐須得政院核准
page 6	工合香港促進社下月初售花籌款使香港工合單位加速完全現已開始銷售戶內名譽花
page 6	防空處
page 6	周雍能
page 6	寶安商會
page 6	法航機 
page 6	廣州灣
page 6	高等法庭提審羲皇台血案關麗珍昨認罪晏打遜律師代被告辯護昨日審訊未完今晨續審
page 6	越南當局遷就日本 
page 6	老鼠嶺方面
page 6	文錦渡擠擁
page 6	南路工合事業縫紉及木器合作社成立教育工作仍待積極推進
page 6	沙頭角情形 
page 6	各界關懷深圳難胞逃入英界者有五千之眾亟待各界迅予救濟
page 7	體協會交代聲中有六團體退出同人大會定今日下午舉行下屆職員今夜即產生 
page 7	昨夜公開籃球精勵勇克記者
page 7	今日學籃
page 7	夏令籃球後天開代表會
page 7	港圓外匯牌價回漲美匯傾淡申匯穩靜
page 7	八九金市昨日價格略跌
page 7	股票益形不振價格繼續低跌
page 7	國幣略淡
page 7	尖沙嘴體育會小球義演得款五百餘元
page 7	南華女排球股開始招收球員
page 7	星島足球南遊隊出發期尚須有待
