page 2	世界的煤油問題
page 3	豫南我軍攻克羅山鄂中鄂北日軍竄擾均被擊退鎮南關外圍據點已全部克複
page 3	美國成立緊急救濟會募款英金一百萬鎊救濟中國戰區災民
page 3	美海長諾克斯演說美國同時援助中英嚴密監視日本行動蘇聯否認與日妥協停止援華
page 3	法商務代表團定週內赴日談判簽訂經濟協定我存越商貨仍無法運出
page 3	陪都新聞界發起組中國新聞學社全國各地均紛紛響應 
page 3	周佛海等一行十名赴日
page 3	平美僑一部赴秦皇島乘輪返國滬美僑延期行成
page 3	諒山日軍加緊西撤
page 3	滬浙航運被迫中斷
page 3	張群主川發表後川人竭誠歡迎張氏定二十日就職視事
page 3	社會部司長人選內定後日正式辦公
page 3	喬萬選孫紹康政府撤職通緝滬法租界法院無形停頓
page 3	西南聯大新生限期報到
page 3	財部電滬嚴禁違法金融機關
page 3	粵反侵略支會歡迎日反戰工作隊
page 3	湘主席薛岳平抑物價
page 3	新生中的邕寧市面漸繁榮居民續歸來
page 3	粵臨參會四屆大會閉幕
page 3	日機飛滇肆虐分四批先後向昆明騷擾經我高射砲猛擊後遁去
page 3	歐戰特約通訊大時代的巴黎6
page 4	英艦隊向義挑戰直薄義大利領海月下艨艟相接鐵鳥翺翔
page 4	德境上空英空軍活躍出動機數較往為多英格蘭遭遇最猛烈空襲
page 4	本報渝版致賀英海軍達蘭多灣之勝利使日人聞之喪膽
page 4	美工廠爆炸案並無蓄意破壞證據
page 4	畢德門葬禮蔣委員長送獻花圈
page 4	屈降者的命運羅蘭法籍居民每日大批被逐
page 4	美受訓新兵下週召集入伍
page 4	錫考斯基演說英波兩軍共同作戰打擊瓜分波蘭國家
page 4	布列特辭職迄未邀准
page 4	坂西一郎任駐德武官
page 4	蘇德談話結果德方極事渲染蘇報首次論述未加鋪張
page 4	美加緊興建西印根據地
page 4	日本海軍又多三個大將
page 4	吳部長抵星星代督瓊斯特設讌歡迎
page 4	義羅會商汽油問題原則上已獲得同意羅籍德人享受完全獨立
page 4	希特勒簡單演說鼓勵軍火工人努力從事生產
page 4	羅齊安抵葡京曾與賀爾會晤
page 4	美海長之堅決表示
page 4	德國擴大水雷戰爭
page 4	史汀生氏並無去職意
page 4	童軍創辦人患間歇心臟病
page 4	英海軍挑戰
page 4	蘇聯國防原料的檢討三
page 4	德義軍事首腦在奧舉行會議
page 5	粵南路防空工作詹指揮出巡佈置沿海各地密佈監視哨各縣空防較前更充實
page 5	越澳首班輪定期由澳返越越米出口並非完全禁止小廣東輪日間再行來澳
page 5	王造時過桂赴重慶談江西近事
page 5	桂省加緊籌辦驛運派員分赴各線視察
page 5	全國高考初試桂林區開始報名報名處設教育廳本月底報名截止
page 5	博羅圓頭械鬥潮解決
page 5	中山大學補招新生本月十五至廿五日報名三十日及下月一日考試
page 5	中山進出記一
page 5	申匯牌價回縮美匯市況仍淡
page 5	股票市況復形堅挺昨成交七萬餘元
page 5	國幣市況依然穩定
page 5	潮汕陷淪區遍地賭博
page 5	川公路局增加貨車三年增加一萬餘輛
page 5	桂林防空節獻金獎券二萬張請盲人開彩
page 6	移民局組織完竣十八日開始辦公限制移民條例下月實施我外交部向英政府洽商
page 6	淡茜鯊救護站即將開始工作江氏兩隊長於日前來港需用藥品希望各界捐助
page 6	戰時畸形繁榮煙酒在港暢銷各大煙廠莫不加緊生產洋酒漲價土酒銷路好轉
page 6	李景樅飛返昆明中蘇航線暢通無阻
page 6	中國化學分會徵求化學人才應省立某專門學校之託擔任該校教授月薪甚豐
page 6	新督湯瑪斯將過港赴星
page 6	和合石墳場啟用尚無確期棺柩須移九龍七號墳場政府擔任用駁艇運棺柩
page 6	崇正總會將開委員大會
page 6	三鳳粉莊在永吉街設門市部
page 6	聖雲仙會明日舉行慈善賣物
page 6	團體旅行九廣路局廉價票有十名即可購買
page 6	藥行商會捐款代藥匯贈傷兵難民
page 6	前往越南旅客須先領返港證書有效期最近在一年以上本港法國領事館昨公布
page 6	各地回教徒朝覲聖地頗受歐戰影響
page 6	兩文協舉行藝術觀賞會今日在馮平山圖書館
page 7	星島會出戰米杜息地頭蛇迎擊警察會今日義勇軍演習多場改期
page 7	中西籃球第二戰今晚南華對美兵
page 7	米軍對星島
page 7	光華足球會排出新陣明日過海出征
page 7	華人游泳會明晚表演健身術
page 7	小球友誼賽中央對大眾
page 7	守門技術談門球與十二碼罰球
