page 2	美總統的外交新政
page 3	襄西日軍進犯受創殘部狼狽回竄荊門我軍追擊克復九里關朱家店
page 3	神鷹揚威湘北
page 3	晉綏我軍活躍
page 3	日對泰越糾紛干涉野心益熾傳泰國已準備與越休戰戴古待命進行談判
page 3	日艦一隊泊在越境日駐兵數目地點已超過原定範圍
page 3	荷印將答覆日秘密備忘錄聲言對日無偏愛雙方談判甚少進展
page 3	星澳軍事當局會商遠東防務
page 3	中緬會商內容涉及多方面緬代表團任務完成分訪我方當局辭行
page 3	中印直接航線雙方現正在談判中三月內即將有結果
page 3	羅斯福總統接見記者對寇里來華未發表評論
page 3	關於囗囗
page 3	近衛各方奔走圖苟延殘喘小川出頭向議員疏通議會問答狀類昏迷
page 3	西北醫院設置規模宏大下半年可開幕
page 3	朱子橋遺柩移厝大興善寺儀式隆重哀穆
page 3	滬日人行兇案英向東京提出抗議英美僑態度鎮靜納稅人會將續開
page 3	上海五舞廳昨夜被人擲彈
page 3	國民外協會舉行春宴招待各國大使
page 3	甘分三區推廣植棉
page 4	羅國內亂擴大西馬領導鐵衛軍極端派與安東尼斯科正面衝突
page 4	美飛行家主張首先援華制日消滅遠東威脅方能全力援歐威爾基飛抵葡京轉英
page 4	英大使抵美美總統躬迎哈里法克斯發表談話感謝美國之慷慨援助
page 4	英西簽訂購麥契約英將准其通過封鎖
page 4	喬治五世留美兩日
page 4	英報評論哈氏使美
page 4	南保簽訂友好條約
page 4	阿特里講戰後施政
page 4	東非英軍攻入阿國邊境阿愛國志士聞風起義希軍距瓦隆那灣僅三公里半
page 4	端納溫離南赴雅典事前曾與南將領會談
page 4	德國覆文傳將送抵維希美大使訪法內長詳談
page 4	美國飛機品質最優道格拉斯之廣播
page 4	美國購膠總額定四十三萬噸
page 4	美代表團抵達英國
page 4	解鈴繫鈴
page 4	荷印態度堅強
page 4	英作家逝世
page 4	美國務部幫辦講和平原則應包括一遠久政策不斷減少貿易障礙
page 4	汛美中立區內法輪被扣留巴拿馬發起提聯合抗議
page 6	周啟剛談籌辦華僑建國銀行曾向委座請示已蒙批准股份定為國幣一萬萬元
page 6	港九照相業商會請華人代表援助反對移民證照片一家專營列三項理由向移民局質詢
page 6	遵守中央四季規定粵僑務處轉飭僑團
page 6	郵費加價下月一日起實行
page 6	本港間訊青黃黑豆
page 6	歲暮市面景況
page 6	那魯麟晉任輔政司港府昨發表委任一束如
page 7	麗華杯足球初賽海軍戰西文員下午三進半在九龍會場開火雙方實力相埒必有劇烈爭持
page 7	界限街展開激戰星島勝警察二比零復前仇得償大願榮才奮身搶險表演出色
page 7	球圃菜根集
page 7	九比零九龍贏約瑟
page 7	士葛最後努力六比四贏香港
