page 2	社評阿部內閣的總評價
page 3	歐局形勢似緊又弛德國再度提出覆文英閣舉行重要會議縝密研究德方相信有進一步談判可能
page 3	蘇聯強化遠東政策密勒氏評論報八九卷十二期
page 3	渝報評論Ｘ內閣改組能否衝破難關仍屬疑問
page 3	美準備萬一如歐洲戰事終難避免將召開國會援助英法
page 3	美國檢查德國商輪
page 3	滬觀察家對歐局益樂觀
page 3	艾登向美廣播一切解決糾紛辦法接納須有一定限度
page 3	Ｘ新內閣成立首相阿部廣播演說發表三點施政方針
page 3	派兵護送運河船隻
page 3	新閣人物及其特點
page 3	陸海軍人提出要求
page 3	財界表示支持藏相
page 3	美財長由歐返國
page 3	巴本奉令赴安喀拉
page 3	寺內大角成海外游魂日陸海軍電令請其自由行動
page 3	日報輿論印象不佳
page 4	嶺東我軍反攻克復烏塔岡蓬洲山湘北各線發生激戰
page 4	林參謀長報告國際新局勢德國希望威脅取勝Ｘ仍採取投機政策
page 4	美國外交政策基礎四
page 4	歐局拾零
page 4	倫敦機關紛紛遷移
page 4	法國外僑踴躍投軍
page 4	印度表示效忠英王
page 4	颶風又掠滬馬路多處水深尺許浦江交通幾全停頓
page 4	波蘭公使即將離滬返國
page 4	滬反英潮仍秘密進行中
page 4	天津水勢繼續降落
page 4	滬大美晚報編輯朱惺公被刺殞命連接汪逆恐嚇信結果遭奸人毒手
page 4	曾養甫免粵省委職
page 4	汪逆在滬導演醜劇反對抗戰決心附Ｘ觀顏發言恬不知恥
page 4	傳滬外輪將被徵用航商尚守秘密
page 4	津引渡案滬律師再受委托將二次提出申請
page 4	僑胞回國懇殖滇省府積極籌備
page 4	桂慰問團抵宜
page 4	尼赫魯飛蓉
page 4	國府命令
page 4	象棋籌賑賽將在昆明舉行
page 4	刺范石生案日內即可宣判
page 4	Ｘ機數十架昨分批犯桂在貴縣遷江投彈
page 4	歐局的嚴重性
page 4	蘇聯外交政策
page 4	尼赫魯飛蓉
page 5	我反攻廣州積極北路迫近市郊中山沿海Ｘ艦調回虎門集中新鶴路我軍同時推進
page 5	省振會撥米石舉辦平石已分配三水四會遠等縣並以小部份辦理難民急賑
page 5	湘桂路上四軍用車露宿在郊野
page 5	信平輪屍體已撈獲三十九具
page 5	潮汕方面我軍屢有收穫
page 5	瓊崖戰事Ｘ犯白延不逞
page 5	粵北各縣動員會成立
page 5	省行濟銷粵北食鹽分電各縣購領每月劃撥一萬七千擔先以每縣三萬斤為度
page 5	暹羅僑胞的苦難
page 6	邊境Ｘ軍調動擴大對港封鎖線東起大亞灣迄南頭赤灣本港陸軍今日開始演習
page 6	當局再接再厲空防益臻完密連晚舉行敵機空襲演習九龍倉定今午試放警報
page 6	救國公債第二期息今日開始支付
page 6	暹僑代表本港僑團籌備歡迎
page 6	難童工藝院音樂會之成績
page 6	華商籌賑會定期義演粵劇九月九至十一連演三日銷券隊報告擔任銷券額
page 6	自衛圍籌備委員昨開會街坊代表會收
page 6	歐局和戰未定郵船航班紊亂德義商輪中途更易航線本港海軍徵用茂利輪船
page 6	港督昨實施緊急法令召海軍義勇隊五十名即刻報到服務
page 6	婦女防空會趕作戰前準備
page 6	民鋒半月刊第三期已出版
page 6	捉拿胭脂虎皇后平平安今日同映
page 7	加拿大籃球隊抵港首戰擊敗南華隊五十三比四十三加領事行開球禮今晚八時正再戰星島
page 7	南遊日記
page 7	一英里跑麥奇慘遭敗北
page 7	籃球聯會今晚開會議
page 7	澳台杯代表隊征加詳記勃魯維區威風八面
page 7	南華師次萬隆首勝意尼隊三比一馮二叔兩球振輝一隻
page 7	電話室
page 7	歐局變化莫測中港滙市勢仍不定美菲荷越申瑞牌價俱告回漲申匯市況穩靜銀行較少拋出
page 7	股票續有進展各低價股票買戶極踴躍惟買家堅持成交尚不多
page 7	八九金市轉趨下游價較上日約跌二元
