page 2	社評美國政策的轉捩點
page 3	來栖謁羅斯福總統美日談話繼續舉行赫爾說明一切未越初步階段
page 3	日侵略政策不變美日無協調可能
page 3	蔣委員長歡宴蘇聯軍事顧問
page 3	日眾院通過議案猛烈抨擊美國並鼓勵政府完成侵略程式
page 3	氣比丸沉沒案日拒絕蘇覆牒東條島田在議會宣稱陸海軍準備應付一切
page 3	三十八萬萬圓軍費貴眾兩院匆促通過
page 3	平準工作之檢討上
page 3	後方經建動態當局決心增加物資生產省營企業公司普遍設立
page 3	敵擴軍備戰總數增至二百萬人機械化部隊極脆弱
page 3	滬美防軍決定下週撤退三國將討論接防問題
page 3	徵補壯丁川區廿七萬人將於月底配齊
page 3	芳澤會晤越督要求增加駐軍越日軍西移陳兵泰邊
page 3	國民參政會翁部長報告經濟
page 3	泰越邊境糾紛泰警與法憲兵曾起衝突
page 3	菲島後備兵已奉令入伍
page 3	菲島日僑婦孺定期大批撤退
page 3	徐謨公使與澳當局商討華僑在澳地位
page 3	我軍加緊肅清中牟負嵎殘敵
page 4	克里米亞戰爭形勢依然嚴重德軍揚言已佔克爾治
page 4	德又發動和平攻勢巴本談話威脅土國
page 4	美煤礦工潮尖銳化總統將予制裁決取嚴厲手段制止罷工議員亦敦促國會採迅速行動
page 4	康納里提出應付罷工案
page 4	美大批技術人員過檀島來華根據租借法案赴滇緬路工作
page 4	德科毒化蘇聯淪陷區已委出所謂行政長官
page 4	戈林右手鳥達特斃命希特勒許國葬
page 4	甘茂林病重已由拘留所移送醫院
page 4	李維諾夫抵德黑蘭
page 4	美總統要求國會撥款武裝商輪中立法修正案已簽署
page 4	蘇印之間闢新供應線將取道破俾俾路芝與東伊朗美英援蘇貨物源源抵波斯灣
page 4	伊拉克將斷絕對日外交關係對維希亦採同樣措置
page 4	英帝國各地防務均增强星督湯姆斯演說
page 4	顧大使歡宴英外相
page 4	納粹在歐濫殺人質拉丁美洲提出抗議德竟要求墨國撤銷抗議
page 4	魏剛在維希繼續討論行政問題將於本週內返北非
page 4	赫爾的幽默
page 4	日議會之趣劇
page 5	廣西滑翔熱大公報第二號飛赴桂南表演桂省分會决議舉辦訓練班婦工會獻機定名桂林婦女
page 5	桂市臨參會開第三次常會黃鍾岳在駐委會中報告財政貪污人員判處徒刑
page 5	宣慰桂湘粵各地負傷戰士歸來四
page 5	粵滑翔運動計劃開展中
page 5	粵省府提前組織政務視導第一團以省會隣近各縣為視區域巡視導期間一月定本月底出發
page 5	桂南晚造收成良好
page 5	戰地縣分籌劃實施新制組織將有變更
page 5	中央拔款救濟潮屬災黎陳志　出發調查散振
page 5	曲江青年團選拔優秀青年
page 5	由漯河到鄭州
page 6	美國航行遠東輪船駛往星洲裝配砲位孖地臣輪駛滬接載撤退美防軍
page 6	港府籲請店員參加防衛部隊最近參加之保衞團員八十人定期分區訓練
page 6	青年會昨日起慶祝成立四十週年紀念籌募基金及服務團經費昨日招待記者報告會程
page 6	加拿大勇士訪問記
page 6	港電影教育協會昨歡送羅靜予羅明佑談南洋影業市場羅靜予報告我電影事業
page 6	平糶會向當局請求准許農民建化糞池九龍增設飯堂在進行中大坑平民營平糶衛生米
page 6	英人丈夫團舉行大會討論仍無結果
page 6	運輸汽車失事所載鏹水互撞突然爆炸車上五人被灼均受重傷
page 6	上海劇團今晚出演
page 6	攝影家何鐵華將舉行展覽攝影家何鐵華之父何同
page 6	警察昨嚴查出口印刷品
page 7	督憲杯足球第一戰決定擇日舉行足球部會昨日秘密審查一切進行順利賽期週末公布
page 7	網球籌賑會今日開會議
page 7	學界籃球壓軸戲南貨運地搞皇仁今日如打勝仗即獲錦標昨日英皇克保羅
page 7	七七乒乓賽華僑五邑獲勝
page 7	今年星洲足球兩大錦標回顧華人不幸為山九仞功虧一簣空軍神勇獲得雙料冠軍
page 7	陳來泉朱成貴不暇來港星島接到電報
page 7	球國什錦錄蔡周二雄參加東方練球週末聯賽蘇九之戰改期
page 7	申滙市况仍乏生氣英滙美滙依然沉寂
page 7	滬標金價昨少起落
page 7	股票轉趨沉寂昨日成交三萬六千餘元
page 7	國際長途跑各界報效獎品卄五截止報名
page 7	校際乒乓賽廿五開始全部秩序編定
page 7	國幣價格昨少波動收市價為一四○
