page 2	再論外匯政策
page 3	湘北殲滅敵軍三萬捷報傳出舉國歡騰各地爆竹齊鳴情緒空前熱烈本報昨特電薛司令長官祝捷
page 3	粵敵總退却士氣頹喪喬裝潛逃
page 3	粵我軍反攻得手克復廣海清遠四邑殘敵已全部肅清李主席派員趕辦戰區善後
page 3	格拉第談話ABCD陣線完全合作將赴重慶討論援華問題
page 3	贛北敵軍分股竄擾錦河北岸戰事猛烈
page 3	豫北敵又蠢動企圖偷渡黃河
page 3	華盛頓舉行中國呼聲大會
page 3	粵北美教會被敵機炸毀
page 3	天文學年會在蘭州舉行
page 3	湘北日軍的敗退
page 3	美訪華軍事團飛抵馬尼拉逗留數日即行來港轉渝
page 3	東京又放煙幕謂近衛內閣動搖
page 3	馬來亞英軍官呼籲人民警覺
page 3	英國力量增強前途充滿自信德夫古柏在星談話
page 3	地磁台測日蝕曾獲美滿成績
page 3	日渴澤而漁又發行債券
page 4	三國會議閉幕英美代表聯合宣言保證對蘇充分援助史達林表示深切感謝
page 4	從蘇聯內部說到蘇德戰爭三在中國文化協進會議會講辭
page 4	美代表團赴赤道非洲包括軍事外交人員
page 4	辛克萊預料德機又將襲英德人生產力依然強大須提防冬季空中攻勢
page 4	倫敦定期舉行國際青年勝利大會蔣夫人對該會將廣播演辭
page 4	蘇軍退出波爾泰華南路德軍曾受重創
page 4	全蘇民眾開始軍訓
page 4	英外長艾登再度警告芬蘭芬報促政府從速停戰
page 4	蘇境西南部前線連日大雪列寧格勒蘇軍施突襲衝破德軍包圍線四處
page 4	美海長深信軸心國必敗美有擊潰德義日之責主與英成立百年聯合
page 4	德在捷境濫捕殘殺數日內處決百餘人前捷總理亦被處死
page 4	倫敦捷克政府呼籲捷人慎重
page 4	敵軍無路可退
page 4	近衛不會倒
page 4	三國會議閉幕
page 4	美政府債務日見增加正開徵新稅從事補救
page 4	美三汽車公司全力製造坦克
page 4	保希人民武裝反抗納粹當局忙於應付
page 4	羅斯福再邀見赫爾商中立法問題修改建議或將延期提出
page 5	四邑我軍乘勝追隨者擊江會敵軍退取守勢
page 5	桂省呈報中央農業生產狀況擴大耕地面積補充勞力推廣牲畜副業改進特產
page 5	粵省敵軍蠢動係牽制性質目的在呼應湘北戰事韶關被狂炸損失慘重
page 5	肇梧道上哀鴻遍野高信奉派南下慰問四邑災民
page 5	粵省請中央撥款設國立華僑中學並擬恢復惠中收容東江學生計劃實施抽簽強迫入學辦法
page 5	電波傳播與日蝕
page 5	廣州灣貨運難困各種綢緞布疋價格奇昂赤坎市內發生狙擊血案
page 5	成都近事
page 6	我空軍人員百餘人昨赴美學習航空分別進入航校工廠實習由日撤退美僑同輪返美
page 6	清季中國之海軍嶺大教授冼玉清昨廣播
page 6	美來華軍事代表團今日鞏難到港英美派來港丙經濟專家亦因事須七日始能到達
page 6	港九僑工團體昨成立一元獻機委會勸募期間預定為三個月鄭植之等即席認捐巨款
page 6	史柏堅三度作供敘述金卑路服毒後情形對劉美美關係再作表示
page 6	我飛機一架昨飛深圳偵察在該處上空盤旋甚久日軍極惶恐紛紛走避
page 6	上月份天氣大致晴朗曾遇颶風日蝕
page 6	少女梁少芳被遺棄案由長資略解釋我法律
page 6	英丈夫團請設特委會審查疏散婦孺措置該團函立法局議員援助華籍議員函表示同情
page 7	全港游泳冠軍賽各項成績美滿四百四十碼泳男女創新紀錄男二百碼接力星島名列前茅
page 7	會友田徑測驗今日截止報名
page 7	中華青年棒球團積極埋頭苦幹炳芬燦森錦湘宇鈿四隊交兵規定每星期比賽兩場
page 7	有朋自遠方來渝地對籃球頗感興趣足球賽英雄無用武地
page 7	鐵城杯今晚有兩場平正警察有看頭
page 7	週末足球比賽秩序
page 7	登山比賽後日截止報名
page 7	青支會友籃球賽緣隊小挫黃隊三十二比三十僅勝一球黃隊梁子超獨取廿五分
page 7	股票市况好轉湘北我軍大捷人心興奮買戶活躍價格有回漲可能
page 7	外匯牌價俱無變更美匯靜寂申匯仍穩
page 7	國幣市況依然穩定價格續漲希望仍濃厚
