page 2	社評英土協定與歐局
page 3	豫南我軍空前大捷唐河之役一夜傷斃Ｘ千人我克復岳口禮山繼續挺進
page 3	東線我軍聲勢浩大蘇浙皖Ｘ迭受重創
page 3	生產會議蔣委員長親臨致訓勉出席各專家努力發展生產
page 3	閩省沿海續遭Ｘ機轟炸
page 3	生產會議孔院長開幕詞二抗戰時期經濟建設着重西南西北各省
page 3	Ｘ侵佔鼓浪嶼英政界表示焦慮眾院開會將有討論英美海軍準備行動
page 3	血與火的洗禮新重慶在誕生中貽徵八日寄自重慶
page 3	華中偽銀行定今日開幕某金融家發表意見認其結果必歸失敗
page 3	紐約我領館招待美賓宣讀王外長電詞
page 3	濫炸重慶對英美法抗議Ｘ擬強詞拒絕
page 3	張鴻謀殺Ｘ成仁
page 4	但澤形勢轉緊波國防部長赴巴黎與法國商軍事問題
page 4	墨索里尼再發表演說亟欲解決各項問題
page 4	蘇對英提出覆文已交西慈轉達英政府蘇官方報紙贊許英土
page 4	土耳其向英大批購貨祗鐵路機貨車達百五十萬鎊
page 4	希特勒突抵西部考察國防
page 4	美煤礦勞資又起衝突堪德基州當局派隊前往彈壓
page 4	斯洛伐克舉行檢閱各種部隊均參加
page 4	羅斯福注意歐局發展將再呼籲和平
page 4	美大規模宣傳擴充軍備舉行精神的擴軍運動國內外名流一致贊助
page 4	外蒙騎兵進人滿境關東軍起恐慌採取警戒措置
page 4	捷人民反德當局統制新聞消息不易傳出
page 4	半月來之國際五月一日至十五日
page 4	英王行蹤又遇大霧船行極慢
page 4	第二新加坡薩維爾赴澳後雪梨將築軍港
page 4	德義在西志願兵傳定期撤退瑪德里勝利巡行又傳十九日舉行
page 4	義國在非洲的威脅譯自莫斯科新聞二摯
page 4	德當局發表宣言攻擊外國政府竟謂虐待德國僑民
page 4	哈里法克斯週末赴日內瓦出席國聯常會
page 4	美軍事當局撥欵武裝波多黎哥建築空軍根據地及砲壘以加強加勒比海之防務
page 4	東鄉訪蘇外長廢然而返所談各問題皆未得要領
page 4	鼓浪嶼事件的嚴重性
page 4	ＸＸ華興偽幣
page 4	國聯同志會世界總會下月在美舉行我代表已選出
page 5	Ｘ大舉增兵四邑戰事轉趨緊張會城東門激戰昨日情況不明杜阮棠下爭奪劇烈現仍對峙
page 5	對鎖牛灣港澳三埠交通仍舊翰渡仍可照常來往
page 5	Ｘ機飛炸台荻車站
page 5	九江Ｘ兵陸續增加
page 5	粵建設廳長朱暉日昨日到廳供職
page 5	桂行營通令文武官吏遵照委員長指示尊重民意尊重民命慎用民力慎取民財
page 5	東江防務極嚴密南北兩岸戰事沉寂我機飛莞增炸Ｘ陣
page 5	省澳輪十八日初次試航
page 5	重慶來鴻Ｘ機轟炸傷人近萬紅會營救趕運藥包
page 5	下游兩岸戰事沉寂
page 5	我機飛炸莞增殘Ｘ
page 5	前日Ｘ機廿六架狂炸粵北翁源附近受損較大
page 5	粵省府撥款獎勵清遠縣抗Ｘ團隊鰲頭戰功分給獎金
page 5	各地簡訊澳門商逆被逐
page 6	難童救濟會教師登記已結束港方逾千人澳門尚不知分區商借校址開設義學
page 6	中國婦女會獻車紅十字會王正廷代表該會接受致答詞希望各界捐贈
page 6	中環街市商販虧本原因新例限制太多影響生意提早閉門截住大幫買賣
page 6	愛國小販陳新長期義賣五毫本金獲利二百元分期繳交婦女兵災會
page 6	賑聯會常會昨議決兩要案
page 6	戰地救護隊書畫義賣定期舉行
page 6	粵慰勞會募集短衣昨收到二千餘套
page 6	海壇輪寄碇汕頭之際竟被Ｘ機襲擊
page 6	香港曼谷間空航期定星期二五由港飛谷星期一四由谷飛港
page 6	閩軍事當局警告商輪注意海面飄浮水雷
page 6	大風旬刊第三十七期出版
page 6	聖約翰救傷隊昨舉行週年大操港督親臨檢閱備致嘉許將派專員負責救護工作
page 6	海防改為自由港訊法副領事談或不易實現航業界息則謂越府贊成
page 6	諾貝爾司令昨乘艦離港赴滬
page 7	南華會征期已定全隊選手二十人招賢納士侯榕生單騎投奔臨別表演星期六出戰港聯
page 7	臨別表演港聯人選決定
page 7	旭和盃賽南華革新戰陣
page 7	滬泰晤士報評許承基
page 7	籃球界對盧振暄請求聯賽制裁書
page 7	台杯第二週賽義淘汰摩納哥南國仍以二比一佔優勢
page 7	亨克爾重獲德國網球錦標
page 7	職業網球賽收入可觀勃琪將成富翁
page 7	今晚籃球冠軍爭奪戰南華再會星島下午六時半在中青舉行
page 7	法國足球巴黎馬會冠軍
page 7	申匯略漲荷匯微縮英美滙先靜後穩申匯市況穩靜買賣仍不甚多
page 7	股票市仍堅挺買戶尚多給價亦高昂全日成交達十四萬元
