page 2	社評租借法實施的展望
page 3	聯軍各國共同宣言重申反抗侵略決心非至獲得勝利決不中止戰鬥在暴力壓迫下決無和平可言
page 3	禁止汽油運日美正考慮中我海員會函美總統籲請迅即下令實行
page 3	敵機擾衡陽
page 3	抗戰四年來的中國工程師二
page 3	滇緬公路西段積極驅除煙瘧
page 3	滬法籍名律師呂夫被狙殞命
page 3	日濫造謠言泰予以駁斥
page 3	屍灰千罐運抵廣州
page 3	謀刺丁默　事機不密續有多人被捕
page 3	糧食增生節約贛省釐訂方案督促各縣遵行
page 3	穩定日圓英鎊匯率日單相思英認其有政治作用洞燭其奸決不上當
page 3	荷印態度鎮定靜候日方答覆
page 3	邊教會議圓滿結束
page 3	魯斯暢談遊華印象對我軍隊英勇抗戰備極讚揚滇緬路為通海要道必須保護
page 4	晉南激戰未已敵軍犯稷王山不逞殘部潰退萬泉稷縣
page 4	貝魯特與大馬色英軍已抵近郊英軍艦開火掩護前進
page 4	維希要求英軍退出敘利亞英政府已予以駁斥
page 4	里海曾晤貝當談聚利亞問題
page 4	美自次開映我抗戰影片
page 4	國務部當局正縝密檢討
page 4	船員數十人料皆已失蹤
page 4	美輪羅賓摩爾號確被德艦擊沉料美將提最強硬抗議德當局謂決繼續襲擊政策
page 4	由敘利亞之戰說到誰是法蘭西民族人的救星二
page 4	盛傳德國大軍集中蘇波邊境
page 4	蘇日商約簽訂後美與論反響認史達林欲促成美日戰爭
page 4	直布羅陀被炸飛機國籍不明
page 4	雅納爾著文論述美海軍兩洋作戰
page 4	聯軍重申信念
page 4	英帝國東方集團供應問題已擬就具體程序
page 4	美參院通過徵用私產案如有罷工稽延生產總統有權接收工廠
page 5	諸暨克復後浙東大局趨穩定閩西北義民載途亟待收容皖推行耕種荒地救濟米荒
page 5	犯斗門日軍被我擊潰
page 5	瓊島近況孤軍堅忍苦鬥形勢好轉民心振奮深具必勝信念
page 5	韶興公路修理竣工日內可恢復通車
page 5	就技術觀點論防空洞內窒息問題
page 5	教部令飭各校暑假一得延長西南聯大敘永分校暫不遷昆
page 5	陽江事變首要洪成創就擒曾在麻汕組會勒收民槍民眾大會要求縣府緝獲
page 5	日機投擲毒素傳單粵防空當局飭屬嚴防
page 5	桂檢考放榜科別及格者七十三名全部及格者七名
page 5	調整戰區機構粵劃設六指揮處
page 6	今晚午夜開始時鐘撥早一小時輔政司對本報記者談節省陽光新例之意義
page 6	中大工學院長來港主持招生招生簡章昨航寄到港
page 6	糧食出口證改由糧食局簽發由本月十六日起
page 6	港府正考慮限制報紙頁數最近曾為此事開會討論目前正進行縝密研究中
page 6	中華溜冰場定明日開幕三時半正式營業
page 6	普益商會昨出發募債共得八萬餘元銀行聯誼會購債極熱烈教團各組進行不遺餘力
page 6	港赴菲旅客須攜防疫證
page 6	收購鮮鹹魚評價會昨重訂各魚價新價較原定者略為提高捕魚正值淡季購貯仍少
page 6	王濟遠畫展昨舉行揭幕禮史樂施對王氏之各作品備極讚揚及作誠摯推崇
page 6	防空總監強調聲言防空洞極安全因各洞有空氣調節裝備對於重慶窒斃案極注意
page 6	歐籍後備衝鋒隊昨舉行防止暴動演習全副武裝分三大隊出發馳往驅散圖謀暴動分子
page 6	娛樂消息
page 7	漆咸道棒球聯賽南華出戰中華下午二時一刻工程對抗岷甸奴第二幕雙方勢力均力敵必有劇爭
page 7	南華負於軍聯再論失敗癥結
page 7	居聯首次水藝會比賽秩序排定今日起開始報名十九日截止音樂晚會照常舉行
page 7	培英綠實力強培正力戰不敵三二比四五戰來吃緊友誼賽南華智取新青
page 7	公開風箏賽報名展期定廿二日截止
page 7	星華團體足球賽華友榮獲冠軍三比一輕易擊敗華體一球員負傷離場
page 7	遠東時局影響股票市況趨靜昨日成交總值一萬餘元於仁保險公司定期派息
page 7	外匯牌價俱無變更美匯淡靜申匯仍穩
