page 2	社評向美國忠告兩點
page 3	鄂西我軍砲轟沙市江陵以東敵軍敗退鄭州激戰中我一度攻入城內
page 3	美日談話瀕決裂日各報繼續抨擊美國中野正剛提出請願書
page 3	蔣夫人赴湘北勞軍將在湖南建榮譽新村
page 3	東條入宮有所報告
page 3	西伯利亞奇寒降至零點二十一度
page 3	敵陸軍省人事更動小原任陸軍省發言人馬淵調派遣隊指揮官
page 3	坪上奉召返日泰說咸覺驚異日誣稱泰反日運動蔓延
page 3	就建軍問題論效率經濟續惟有建設機械化部隊兩個條件始兼而有之
page 3	格拉第講演對太平洋防務印象深刻並盛讚蔣委員長之偉大
page 3	星洲舉行防禦演習
page 3	荷印故總司令喪儀備極哀榮
page 3	德國財政金融底枯竭一
page 3	海外僑胞踴躍捐輸
page 3	荷印注意葡日關係
page 3	滑翔運動積極推進
page 3	海南島我游擊隊活躍衝入文昌縣城
page 3	高等普通考試分別評閱放榜
page 3	津偽組織驅逐白俄
page 3	苗培成抵湘北慰問軍民
page 3	緬甸議員多人被捕
page 3	陝甘推行募捐戰債
page 3	運輸統制局調整內部機構設立四處三會增加效率
page 3	中央撥款振濟湘北災黎虞洽卿捐巨欵勞軍
page 3	陝南各界獻機領袖復電獎許
page 3	四聯總處本年工業貸款數達六千萬元
page 3	交通部規定民航機顏色
page 3	澳駐華公使下週可到渝
page 5	馬來亞經濟統制下書籍被限制輸入香港限額減低上海完全斷絕學校教科書大感缺乏
page 5	敵機狂炸之後聯大如期開學梅貽琦作簡短精警報告十月六日業已正式上課
page 5	晚秋慶豐收四
page 5	韶關存鹽豐厚價格連日回跌
page 5	粵省企業公司開始辦理購運派員組設興寧衡陽等辦事處撥款二十萬擴充互勵社
page 5	中央政校曲江區招生放榜共取錄四十四名
page 5	粵省進行改良粵劇設粵劇改良所擬分四區招生
page 5	韶關首次舉行燈火管制演習市面秩序寧靜成績尚佳
page 5	督促學生鍛煉體魄教部令專上學校設法預防傳染病
page 5	農部將在桂省設畜牧實驗所作為全國畜牧事業中心
page 5	一年以來四十懷感之作
page 6	中英美金融會議港會議告一段落三國代表即飛往重慶竭見我最高當局會商
page 6	港府昨通告解釋鎳幣恐慌情形立法局將通過印輔幣券華商總會派員謁財政司
page 6	關於黨治問題孫院長在復旦大學同學會講
page 6	立法局今日會議羅文錦質問鄺榮被拘案提請通過發行輔幣券案
page 6	周壽臣主席在募債會上報告時情形
page 6	戰債分會昨舉行募債成績報告共募得一千六百餘萬元但目前繳款者只達半數
page 6	港督昨參觀難民營並參觀防空洞
page 6	今晨防空工程案續審劉美美再作供副工務皮亞士昨日供述工程訂立合同合法手續
page 6	香港中學一部房舍未領執照違背法例被控處罰
page 6	五金買賣修正條例貯存三噸以下之鐵料不須領照三十元以下之五金可自由易貿
page 6	中央儲蓄會本屆中彩號碼發表頭彩九二九四八號
page 7	夏籃決賽酌收門券響應獻機運動比賽地點將假中青會籃球房七七乒乓杯開始報名
page 7	籃球裁判
page 7	勵進團週年水運會今晚起開始
page 7	全港樣際游泳定週末決賽英皇喇沙約瑟勢成鼎足華仁聖士提反亦有劇爭
page 7	中青冬泳團下月開始訓練
page 7	愉園乙組足球賽星島輕取傑志八比二局勢成一面倒南華勝士葛東方敗北
page 7	青支會友籃球白隊出師黃隊上陣迎抗
page 7	新聞兩則
page 7	申匯黑市續趨鬆弛英匯美匯仍屬不振
page 7	股票仍欠靈活僅低價股票較多需求昨成交總值七萬餘元
page 7	國幣黑市猛跌全日成交約達五千萬元預料今日或有回漲可能
