page 2	社評我軍攻入宜昌
page 3	我軍完全控制宜昌城內殘敵即將肅清大批敵機竟飛宜昌投毒氣彈
page 3	粵各界響應季鸞獎學金
page 3	我軍圍攻鄭州殘敵死守待援
page 3	湘北我軍追擊克復重要據點
page 3	駐浦東敵軍一名遇狙擊斃命京滬路發生炸彈
page 3	陪都熱烈慶祝國慶郭外長招待外賓美軍事代表團亦被邀參加
page 3	緬甸總理抵達倫敦
page 3	陪都文化團體組印度訪問團
page 3	海內外同胞作盛大慶祝
page 3	本年稅收旺盛直接稅較去年激增
page 3	三十年建國史中樞紀念週林主席報告
page 3	格拉第抵菲認安撫日本絕不可能對我人力物力獲有深刻印象
page 3	英美蘇各友邦賀我國利物浦郵報撰評稱本屆國慶意義重大
page 3	加強外交行政效能外部訂定調遣辦法
page 3	張伯苓氏病愈出院
page 3	英大使卡爾昨晨抵陪都
page 3	傳德迫日參戰美日談話仍在僵局中
page 4	租借法二次撥款案美眾院已通過羅斯福已向國會咨文請廢止中立法第六條
page 4	莫斯科外圍戰情愈趨緊張德軍企圖一舉消滅紅軍主力
page 4	英軍訓練登陸部隊
page 4	蘇報呼籲非生即死
page 4	納粹間諜活躍美總統致史達林一函德通訊社將內容發表
page 4	列寧格勒蘇軍反攻
page 4	莫斯科正西面魯澤赫夫激戰
page 4	德軍向卡科夫再展開新攻勢
page 4	美國的經濟戰略四恩源譯自八月份幸福雜誌
page 4	英美代表團團長已由蘇返英談蘇聯抗戰精神高張英美援愈趨具體化
page 4	蘇方希望英攻歐陸英報認為尚非其時
page 4	巴拿馬發生政變親軸心總統離國新政府組成美巴關係仍維持不變
page 4	東京的動態
page 4	中印交歡
page 5	愉園今午有劇戰星島東方爭勝負宋靈聖决上陣許竟成不出場乙組賽星東會師三時半開始
page 5	攀山比賽李玉峰冠軍
page 5	星東兩實力談
page 5	甲組聯賽形勢
page 5	一比零米軍贏水兵阿當士建奇功
page 5	公開排球賽培英勝海風今日南華對保羅
page 5	光華士無鬥志九龍勝八比二上半時四比二下場多贏四球中鋒衣梨神勇過三關
page 5	雙十足球追記華聯兄弟獲勝
page 5	在體育路上
page 5	南華初次告捷四比二勝約瑟
page 6	中英美三國金融會議連日賡續進行中第一日中英美代表報告會議內將移重慶舉行
page 6	全港僑團學校熱烈慶祝國慶婦女團體舉行升旗禮各界聯合開慶祝大會
page 6	港報界在國慶日慰問留港孤軍營內各處頗清潔整齊司徒永覺等招待參觀
page 6	大夏大學設電訊專修班由交部囑託辦理
page 6	當局採有效措置抑制鎳幣恐慌如經查出有不法行為者撤銷營業牌照
page 6	美軍事代表團已離港飛重慶將晉謁我最高軍事當局並擬分批視察我各戰區
page 6	港府昨日宣布兌換輔幣手續費換一毫者不得超過百分之一一仙者則以二百分之一為限
page 7	四邑殘敵肅清後我軍已重新佈防增編自衛隊加強力量
page 7	四邑西北江戰鬭經過我奮勇迎擊已恢復原狀敵軍所到各處盡成廢墟
page 7	粵教廳發言人談高中生升學問題擬多設先修班盡量容納
page 7	韶市第一肥人暴斃棺木早經製定
page 7	外匯牌價不動申匯市況靜穩
page 7	股票市況依然呆滯昨成交十一萬元
page 7	韶關商務恢復常態物價亦趨於安定
page 7	韶關舉行第三屆集團結婚盛況秋月正團圓此日群英歌好合國家猶多難他年生聚教復仇
page 7	國幣靜穩價格甚少起跌
page 7	滬標金略漲
