page 2	社評美國政策的綜合觀察
page 3	邕寧日軍秩序混亂各路潰敗勢如山倒我乘勝推進鹵獲軍用品無算
page 3	皖境砲兵逞威日艦傷沉累累鄂中日軍傷亡奇重勢已動搖
page 3	深入綏西日軍遭我痛擊潰退日軍圖掩飾又稱目的已達
page 3	復地救鄉團夜襲金門島衝入城內並槍決偽維持會長
page 3	軍委會發言人揭露日虛妄宣傳欲圖掩飾敗績結果更遭慘敗所謂自動放棄全係自欺欺人
page 3	日本的經濟危機
page 3	漢奸下場南海官窰偽區長拉夫不力被槍決
page 3	渝慰勞團一行飛抵桂林即赴前線勞軍
page 3	放下屠刀松井石根將入空門
page 3	馬尼拉一僑胞獨捐國幣萬元救濟國內傷兵
page 3	政府改進茶產茶葉收歸國營調整機構擴展外銷
page 3	滬西群奸擾攘爭權奪位忙另組和平建國大同盟安插各黨各派份子
page 3	討汪通電雪片飛來
page 3	瓊島我孤軍一年來戰績
page 3	渝市當局防空新措置蔣委長撥款念五萬元在郊外建造新住宅區
page 3	美國對義善意的勸告
page 3	粵國選監督民廳長何彤兼任
page 3	進口物品申請購買外匯規則財部公佈施行細則
page 3	日本色厲內荏兵源枯竭老弱亦均充數米荒嚴重勸人民少吃飯
page 3	滬虹口閘北宵禁取消出入亦較自由
page 4	增加信用貸款案美參院已通過對日禁運案提出討論
page 4	美民眾多贊同對日實施禁運
page 4	美眾院討論龐大海軍預算眾院當局力主關島設防堅強遠東政策監視日本
page 4	日對美貿易入超七千萬美元我對美貿易出超
page 4	史托克陳述歐亞洲現況
page 4	倫敦日記五一月十六日劍橋航信
page 4	張伯倫表示歡迎韋爾斯並將供以機密情報美政要商歐洲事務
page 4	改善關島港已開始工作
page 4	海軍根據地正迅速興築
page 4	戈培爾又發狂言向中立國提出警告責其輿論抨擊德國
page 4	美國防計劃實捨此莫屬
page 4	日輿論抨擊政府經濟無辦法外交乏獨立性議員又攻擊軍人干政有田報告美日間懸案
page 4	白畫說夢日擬與美菲訂約保證菲律賓中立
page 4	巴爾幹問題匈羅關係依然緊張有匈願隸屬義國說
page 4	國際簡訊
page 4	日軍的秘術
page 4	蘇軍猛烈進攻芬軍肉搏苦戰蘇馬紅軍續有進展曼諾海姆展開激戰
page 4	東南歐之暗流
page 4	西線無戰事
page 4	美建大郵船
page 4	駐英美大使
page 4	駐英美大使
page 5	日猛犯橫坑粉洲古井亦發生激戰
page 5	一片討汪聲南洋各屬華僑團體紛紛通電聲請
page 5	瓊崖戰事日軍出擾受創
page 5	檳城籌賑會副總務莊明理被令出境莊氏已於六日飛仰轉滇
page 5	柘林海面日艦窺伺我已嚴加防範
page 5	嶺南師管區募集志願兵三千壯丁應命投効
page 6	中美文協港分會昨日歡宴美大使事前有約不作政治談話明日赴海防將由滇轉渝
page 6	香港社會福利事業英國遠東情報局昨晚播講
page 6	民族文化書院將在港招考學員以曾在大學畢業為合格伍藻池主持許地山評閱
page 6	救濟失學青年社籌備舉行換物會籌款興辦小學與職業學校
page 6	捷和鋼鐵廠出品精美不讓舶來
page 6	港財委會今日開會討論追加預算案
page 6	興中華劇團今晚起在太平公演
page 6	中茶公司總理壽景偉來港接洽推銷國茶大體就緒中茶公司改為國營機關
page 6	商務印書館增設九龍支店
page 6	難音工藝救濟院賣物會昨日開幕黃強夫人剪綵儀式簡單觀眾擁擠會其尚有兩日
page 6	擴大籌募慰勞金運動華商總會籌賑會昨復會決組織沿門勸募八隊
page 6	趙不煒提琴獨奏會改二十三日舉行
page 7	西貢隊臨別表演華聯點將迎戰比賽日期尚待商榷決定協會接納派隊出戰裁判員
page 7	跑的藝術中距離和接力
page 7	球迷兩封書
page 7	德從軍體育健將陣亡者已有多人
page 7	本週足球秩序總會昨日編定
page 7	籃球聯會明日召開會議
page 7	星洲單車賽定期舉行途長五十六里
page 7	英匯呆滯美匯微緊申匯穩定牌價續漲
page 7	昨日本港股票市況仍堅穩買賣範圍依然廣闊
page 7	八九金市昨日仍無生氣
