page 2	義大利今後的動向
page 3	南潯鐵路被我切斷贛垣日軍陷入重圍南路我軍襲邕欽路斬獲甚多
page 3	史沫特萊女士由前線抵渝盛讚我前方軍民合作日兵怕死士氣極銷沉
page 3	主子不發經費汪偽黨將解體汪將派代表赴東京謝恩
page 3	桂各界捐款為汪鑄像
page 3	日封鎖津租界美國提出交涉白銀問題英日繼續磋商
page 3	整頓全國鹽務鹽務總局正在改組中將實行貸款增加生產
page 3	黃元彬談粵經濟建設將協助商人發展工商業澈底解決人民困苦生活 
page 3	渝警報聲中兩件悲喜事
page 3	抵滬德人談日本危機日深物資缺乏影響日常生活人民對現政府漸感失望
page 3	贛日軍陰謀訓練大批間蝶派往各地活動
page 3	川江船隻失事決定澈底查究行政院令有關當局辦理
page 3	蘇聯扣留日本漁船
page 3	何廉由滇返渝
page 3	英對荷印問題願與美合作望美方能出面領導防止日本侵佔企圖
page 3	滬偽晶報因登載猥褻文字掛名出版人被拘
page 3	五原之役五日軍官被擊斃
page 3	歐戰爆發後之馬來亞四
page 3	晉南迭克要點豫東攻入開封
page 4	挪威中部英軍推進主力戰將展開德軍紛由海空增援
page 4	德海空軍損失重大
page 4	東南歐空氣仍緊義國舉棋不定傳德義曾協議進侵匈南
page 4	德機狂炸南蘇斯城
page 4	美海軍上將陶錫演講美日戰爭難免日為一窮兵黷武國家其國際諾言毫無價值
page 4	美海軍部表示態度
page 4	莫洛托夫接見日使東鄉
page 4	英軍增設三副總參謀減輕三軍參謀長重擔 
page 4	德機飛襲巴黎結果未得逞
page 4	英加緊建艦主力艦五艘已竣工船堅砲利威力無匹
page 4	蘇艦隊演習海參崴及黑海同時舉行演習
page 4	陶錫上將之言
page 4	蘇聯的遠東政策一
page 4	蘇報評論美艦隊演習認為對日警告 
page 4	德羅商約業已簽訂羅以巨量煤油供給德國德付款辦法亦較前通融
page 5	四邑我大軍雲集掃蕩殘日極得手
page 5	中山群醜圖獻媚承歡鮮廉寡恥利慾薰心明爭暗鬥
page 5	訓練方面
page 5	改進農業技術三機關共撥助一萬萬餘元產品運輸問題正設法解決
page 5	粵聞彙誌黨務會議開幕
page 5	西南聯大的學生生活
page 5	嚴禁沿海奸民走私資日閩浙兩省軍事當局頒布限制海岸航運
page 5	桂省提高縣長待遇訂定八級支給 
page 5	槍決漢奸一名
page 5	宣傳服務
page 5	救濟東江糧食
page 5	十七素食一天
page 5	廣東青年團兩個月來工作概要各縣分團已紛紛成立
page 5	組織方面
page 6	港紅　字會新廈昨舉行落成典禮港督夫人主持以金匙啟門李思浩報告該會宗旨工作
page 6	李思浩報告
page 6	王正廷演詞
page 6	紅　會職員
page 6	本港出口鎢礦將祗准運往美國以免經由第三國轉德定於五月一日起實行
page 6	蔣夢麟赴滇
page 6	文協座談會
page 6	李應林演講
page 6	主辦義學各團體聯呈教育當局教育新則例請免予執行貧童數千失學影響社會
page 6	食物店附例修正條文昨通過赤柱村內實行定期洗屋市政衛生局昨舉行例會
page 6	百餘義學聯署禀章
page 6	稟章列舉八項理由
page 6	港府未設平民學校
page 6	學校家庭環境孰佳
page 6	利舞台
page 6	太平戲院
page 6	國民戲院
page 6	立法局明日會議戰稅徵收法案將提請三讀新防止迫遷條例可獲通過
page 6	孟祿昨離港
page 6	愛國女藝人張超超抵港前在澳洲各地上演籌得善款二十萬元
page 6	賑聯會昨議決七七戶內售花推鐘聲社為籌委會主任常委十二人為籌備委員
page 7	菲中華女籃球隊今夜大戰港星打法採用男子例必夠刺激南華巧逢星島先作表演賽
page 7	飛剪號因故延開東方今午凱旋在菲共七賽六勝一負勝球凡三十負僅八
page 7	足球補賽今天兩場 
page 7	嶺南大學校運今晨開始預賽明日行開幕典禮
page 7	外匯牌價俱無變動美匯申匯市況穩靜
page 7	今年首季本港貿易激增一萬萬元
page 7	八九金市先穩後堅人心較好價格稍漲
page 7	買戶久屈思伸股票市況穩定全日成交共十六萬餘元
page 7	大華戰思豪零比零和局
page 7	旅港閩僑歡宴菲中隊
page 7	體壇雜感錄想到即寫隨便談談
