page 2	社評馬尼拉會議結束
page 3	巴爾幹戰局益嚴重英德大戰即將展開羅馬傳阿境希軍已開始撤退德義兩軍會師南國全陷包圍
page 3	巴爾幹局勢緊張中邱吉爾氏發表演說英國已准備應付大西洋戰事
page 3	德機濫施轟炸南都慘遭毒手
page 3	英新型轟炸機猛炸德國援軍
page 3	美軍需生產有顯著進步今年可製機一萬八千架坦克車每日可製成十輛
page 3	美快艇十艘讓與英國白宮已正式公布
page 3	直布羅陀加緊戒嚴軍事準備日趨緊張
page 3	英機猛炸柏林投下大量炸彈及燃燒彈英機共有八架失蹤
page 3	蘇紅星報論巴爾幹之戰
page 3	蘇聯對德將採驚人策動土京人士如此預料
page 3	伊拉克國會將會議選舉新攝政
page 3	美總統將稍作休憩擬赴喬治亞州溫泉
page 3	英軍固守多布魯克坦克車在附近佈防主力部隊正在集中
page 4	贛北我軍繼續挺進攻佔南昌外圍碉堡安義敵國最後掙扎中
page 4	上高東北戰場一瞥敵慘敗跡象到處可見
page 4	松岡與莫洛托夫再舉行談話東京傳蘇日將簽訂商約
page 4	英美荷遠東聯防已開始完成三方將再舉行會議澳重申制止侵略決心
page 4	敵水電公司大汽鍋爆炸滬虹口昨日之慘案
page 4	對美加緊援華敵更感不安大橋向地方官發出哀嗚永野繼伏見任軍令部總長
page 4	瓊島台灣敵艦大增大舉南侵企圖益明越南敵軍進佔呼圖重要機場
page 4	戰時英國勞工問題二楊剛
page 4	敵陸軍省發表木村任陸次吉田百武均有新職
page 4	敵人怕空襲令國內加緊空防
page 4	我游擊隊進襲虹口
page 4	日文教科書鼓吹反英英屬南洋禁止入口
page 4	滑翔總會決定製機百架本報亦將再購獻一架
page 4	華董選舉問題滬工部局進行幕後談判
page 4	美新主力艦北加羅林號威力為世界軍艦冠
page 4	滬申報職員又一人被綁
page 4	閩省立醫學院發起募款獻機
page 4	滬杭車觸雷機車被炸毀多輛
page 4	高斯大使謁美總統請訓即將首途來華履新
page 4	海明威赴蓉
page 4	滬英商會主席痛斥日汪暴行新秩序陰礙工商發展
page 4	鐵路工程會議今日閉幕決議案凡百餘件
page 4	邱吉爾演詞
page 4	永野之新職
page 5	刁作謙抵星宣慰談此行三大使命增進中英友誼視察僑胞振務並對僑胞報告祖國抗戰近況
page 5	南僑師範學校積極籌備進行陳嘉庚致函各幫僑領望合力相助以底於成
page 5	民族掃墓節韶公祭先烈
page 5	美國海軍論三
page 5	西康日記二六四曾昭徐第十西編麗江雜記
page 5	南路各縣鼠疫盛行防治已收成效
page 5	雲照坤報告省行今後工作集中全力推行省毫券便利僑匯及推廣農貸
page 5	粵省發展運輸事業改良手推車利用人力物力計劃開闢曲清線
page 6	十七日燈火管制演習海陸交通統制辦法封鎖港口禁止船艇進出渡海小輪仍准照常行駛
page 6	新界西貢巡禮
page 6	洋衣工會今日招待各界
page 6	防癆協會十八日舉行會議
page 6	記者公會慈善換物會各廠商續捐物品
page 6	美醫生在港行醫日內可正式核准中華西醫兩學會不反對醫務副總監談登記辦法
page 6	某富婦遺失鑽石扣針值萬五千元
page 6	購機籌款彩票昨日搖珠開彩按察司在半島酒店主持八四零一七號獲得汽車
page 6	商賑會昨歡迎關德興
page 6	梁又銘畫展將再度舉行
page 6	南開校友昨晚聚餐到百餘人盛況空前
page 6	化粧品稅昨開徵由下午二時起繳納稅款海關監督通告各商知照
page 6	香港學生號獻機運動刻正積極進行中
page 6	少青服務團將再返內地工作
page 6	廠商聯會昨舉行理事會議
page 6	港澳振委會開辦義學辦法以短期義務教育為原則港九澳各處設立廿五所
page 6	吳敏墀昨飛渝報告赴美經過
page 7	東方足球征菲隊昨晨安然返港劉始讚談東依事變經過籃球隊留菲定十六趁輪南返
page 7	嶺南校運功德圓滿
page 7	東方足球征菲發生慘劇別記
page 7	美籍神父熱腸可嘉舉辦壘球義賽振難
page 7	恩德杯排球賽南華甲戰培英明日下午三時在青支會加印特刊免費贈閱
page 7	星友籃球隊今日迎戰商務
page 7	居聯競走隊積極訓練有志者可參加
page 7	明日銀牌南華陣容排定
page 7	單人乒乓比賽昨夜揭幕週末有四場
page 7	南華泳場二十開放
page 7	季末足球比賽秩序
page 7	外匯牌價俱無變更美匯沉寂申匯靜穩
page 7	國幣市況依然不振
page 7	股票市況沉寂昨日成交僅六千元
