page 2	社評英德空權的爭奪戰
page 3	贛北我軍大舉反攻日軍南竄豐城不逞高安附近重要據點先後收復蘇浙邊境日又蠢動我正迎戰中
page 3	松岡昨抵蘇今日即轉赴柏林
page 3	星洲海軍兵站司令英當局派多林充任
page 3	訪澳美艦隊駛離雪梨轉赴比里斯本港
page 3	日擬設省專管煤鐵
page 3	話說當今英格蘭捌進攻的故事一九四零年的悲喜劇倫敦航信
page 3	日外交人員須學習劍鬥
page 3	德國設立遠東委會
page 3	越南當局討論安南獨立問題日人如此謠傳
page 3	川定期舉行高普檢定試
page 3	要聞簡報
page 3	西比利亞蘇軍演習完畢注重山谷中駛雪橇及與冰雪阻礙搏鬥
page 3	商震率代表團抵達加爾各答不久即將轉赴新德里
page 3	第戰區將士春祭關岳並公祭鄧鏗上將
page 3	韶關發生桃色命案
page 3	中行職員被架案日汪公開自承被架百餘人釋放無期
page 3	滬租界工董日要求增一日人英美未允讓步
page 3	法租界工潮勞資談判僵持
page 3	晉專員會議已在吉縣開幕
page 3	蔣委員長邀蘇使遊春野餐賀耀組等多人作陪
page 3	中國農民經濟研究會在渝舉行二屆年會
page 3	鄺炳舜昨離渝飛港
page 3	顧大使函述法國生活苦況食無奶油肉類亦奇缺
page 3	美決擴大援華官方宣露大批飛機將起運國務部公布蔣委長電全文
page 4	巴爾幹風雲緊急中蘇土友友誼增進不久將發表聯合宣言傳蘇對土已予新保證
page 4	南國徬徨歧路軍方反對接納德國要求內閣政潮至今尚未解決
page 4	英美勸告南國採取慎重態度
page 4	美國協助英航運代建商船四百艘第一稻十一月完竣
page 4	英國大軍續在希登陸墨索里尼驅其殘餘夜襲希軍又告慘敗
page 4	進攻的故事以上接第三版
page 4	義軍增援克倫圖挽東非殘局自由法軍助英作戰
page 4	直布羅陀囤糧備變
page 4	地中海英艦隊確保運輸航路依然控制東西地中海
page 4	美總統出遊在海上垂釣將作十日勾留
page 4	美國製成龐大轟炸機可載炸彈十八噸能容軍隊百餘人
page 4	英人不畏轟炸普里茅斯災情慘重居民依然笑容滿面
page 4	義國情嚴重美駐義武官談
page 4	美當局擬就振濟法人辦法由美監督散振事宜英同意兩法輪通過封鎖線
page 5	我軍掃蕩江會殘日新鶴線進迫佛子坳
page 5	赤溪血戰記
page 5	開發桂省金鑛經部派探勘隊抵桂主持並向省內羅致幹員合作
page 5	動盪中的上海參戰國僑民最近動態
page 5	滬日用品亦被操縱售價逐步上漲
page 5	西康日記二五一第十三編永寧麗江途中
page 5	吳康抵粵籌設中華文化學院
page 5	浙省將試辦六年制中學教廳奉令後已積極籌備自本年度起先辦一二校
page 6	旅港藝術界發起籌款獻機運動採用義賣辦法今日會商預定目的籌港幣一萬元
page 6	泰駐港總領談泰米照常運港傳受控制出口並非事實抽木食監刻亦大宗運港
page 6	菲入預測美將參戰國際新聞社記者談
page 6	印航空公司派員入中航實習駕駛以前派來學習已畢業經返印服務擔任駕駛員
page 6	兒童節舉行紀念慶祝各團體籌備中
page 6	防空署調查人口總數月底可公布新界及各小島未有調查水上居民人數已有統計
page 6	電器商會捐輸得力吳部長贈獎勉勵昨派秘書孫璞代表頒獎該會節食捐薪迄未中輟
page 6	金蟬脫殼歹徒得手騙去大批文具共值八百三十餘元警署據報嚴緝歸案
page 6	港九電影院由下月起增價增加娛樂稅由觀眾負擔數目由五仙至二角不等
page 6	崇正救難會擴大救濟工作古瑞庭昨晚宴請各界希望對該會予以贊助
page 6	赤溪商會救濟桑梓已募得一萬元
page 6	春行夏令居民多提前換季
page 6	省振會辦理義民墾殖新擬辦法次第實施僑胞投資逾六百萬
page 6	開發大嶼山勘得地點八處當局擬將民移往墾殖
page 6	兩路警探搜查字花賭窟歷兩小時共破獲五處男女財匪多人被拘獲
page 6	民族文化書院添招新生
page 7	聖約瑟以卵擊石南華輕易取勝七比一獲得銀牌決賽權乙級賽星島隊全軍覆沒
page 7	籃球義賽第一幕東方戰南華下午五時半在九龍青支上演東方滬濱好手上陣形勢一新
page 7	東方籃球六傑
page 7	越野跑成績優良李玉峯獲冠軍時間三十三分四十秒女組謝歡玉稱雄
page 7	恩德杯賽東方三比一勝英皇
page 7	漢文中學廿七開陸運會
