page 2	所謂日汪談判
page 3	軍事將入重要階段最高當局周密準備晉東南我軍發動反攻
page 3	炸彈毀滅不了行都方面活躍如常市民充滿奮發精神桂美教會全部炸毀
page 3	某戰區經委會通過重要決議案澈底廢除苛雜鼓勵物內運召開四省會議商討物產互濟
page 3	獻機運動抗建會川分會發起購機百架呈獻政府
page 3	海內外各團體紛電將士致敬
page 3	駐滬英軍最後一批撤退
page 3	陝婦女團體工作努力開始徵募寒衣代金
page 3	日新體制輔助幹事人選六名發表
page 3	小林謁近衞商荷印問題將由六省共派人員本月底隨小林出發
page 3	要有去腐存新精神希望堅持團結到底陳嘉庚對本報記者談話
page 3	藥品通過緬甸路尚在談判中金寶善林可勝發表談話
page 3	上海旅館中青年被人勒斃租界巡捕拘獲恐怖分子
page 3	方秋葦被日本包圍的越南
page 3	邕欽路日軍受創襄西我機動出擊
page 4	千餘架德機繼續襲擊英國平民遭受損失最重
page 4	德機大隊侵英被襲範圍廣闊
page 4	羅匈談判僵局傳又有轉機何時再行談判現尚未定德勸匈用和平方式解決
page 4	羅匈談判決裂經過
page 4	哈瓦斯社將改別名法政府將予接收
page 4	美機出口數量較去年增三培美復興銀公司貸款擴充兩飛機製造廠
page 4	美墨油廠糾紛難期解決美孚油公司表示墨法院判決不公
page 4	法技師發明人造汽油在各代用品中首屈一指
page 4	加報巨子捐資助英組麥克康乃爾機隊
page 4	阿根廷總統辭職不獲立法會議通過挽留
page 4	法國草擬新出版法報館理事編輯須呈政府審核
page 4	日小劇院運動被警視廳解散
page 4	希臘內閣召開緊急會議義反希運動繼續展開
page 4	羅土商約宣佈成立
page 4	溫莎夫婦行抵巴哈馬首府各界熱烈歡迎
page 4	戰局大勢
page 4	剷除走私
page 4	巴拿馬防第五縱隊調查德人行蹤
page 4	印度生鐵限制運日惟每月仍可運萬噸
page 4	拉丁美洲的隱憂
page 4	美代表首途赴加出席聯防會議中南美各國軍事領袖將訪美美雜誌主制止日野心
page 4	泰晤士河河口高空展開激戰
page 5	郎擎天揮戈反日復興軍精銳投誠
page 5	廣三線上襲擊日軍大欖鎮內發生激戰
page 5	大後方收成良好雜糧最佳稻米九成本年民食絕無問題
page 5	粵憲政協會發表宣言促進憲政主張三點
page 5	岐關車路果然行不得也我游擊隊時起突擊日軍無法揚言改期
page 5	桂高中學生兩屆會考免試升學及格者三十九名已佈告
page 5	粵五區倡導築塘墾荒着手建築者數百起
page 5	西康日記一五五第八編九龍見聞
page 5	桂上林縣擒獲黃飛龍戰區傳令嘉獎
page 5	三水焚燬日貨
page 6	本港教育界明日慶祝孔子誕辰第七屆老師節同時舉行普益商會遵國府令祀孔
page 6	大會秩序
page 6	普益商會
page 6	畫家張善子九月由美返國所到各處無不大受歡迎港中各界籌備開會歡迎 
page 6	明晚防空演習日落起管制燈火深夜發出警報表示空襲砲台高射砲位發砲演習
page 6	新新酒店職工捐寒衣代金五千元
page 6	昨晨豬價突然飛漲因颱風後來源不繼大寶石輪昨已運來
page 6	我郵政總局招考助理機工監事報名者多不按手續
page 6	九一八僑團學校籌備紀念
page 6	冒收報費昨日被拘押候
page 6	八一三獻金普益商會得萬餘元昨日匯呈國民政府
page 6	香港商務專門學院
page 6	教部及僑委會組織僑教設計委員會計劃僑教之改進與推廣建議籌劃僑民教育經費
page 6	中國文協續辦第二期巡迴演講各校開課定十月間開始秋後將舉辦文化講座會
page 6	僑光小學增設兒童運動場
page 6	本港韶關間闢航空線航程僅需一小時
page 6	佛山輪案月內難解決
page 6	青記外聯聯合紀念記者節聯絡同業感情不舉行儀式九月一日假溫莎餐室聚餐
page 6	豬百餘頭途被十二海賊劫去貨主脫險逃返本港
page 6	注射防疫針港島工作昨已完竣今日開始九龍工作
page 6	張善子造像
page 7	棒球義賽精彩選手隊否極泰來愛殊和艦獨力戰群英結果三比六首次敗績
page 7	夏令籃球賽昨日結束初級紅鷹隊棄權高組華僑勝晨鐘
page 7	本週游泳節目星期三東方對抗勵進禮拜四南華四次水藝
page 7	我國對印貿易今年大告增進
page 7	過去七個月內煤柴進口均較去年增加
page 7	南華組織女子壘球全隊人選一時之雄
page 7	德權鼎賽今日震寰戰裕源
page 7	短距離游泳應設終點評判鍾聲事件前車可鑑
page 7	星島歸鴻
page 7	隨征一得
